,project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,data_source,source_file
77,KE10032,Kozhikode Constituency,Kozhikode,Kerala,200000,0.0,0.0,recommended,90,2024-08-09,2024-11-07,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv
78,TA09296,Chennai Constituency, Chennai,Tamil Nadu,300000,150000.0,61500.0,ongoing,730,04-09-2023,03-09-2025,,PWD,sanitation,44.0,synthetic,sample_projects_synthetic.csv
79,AN09824,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1500000,0.0,0.0,recommended,90,2023-07-18,2023-10-16,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv
80,RA10617,Jodhpur Constituency,Jodhpur,Rajasthan,1500000,750000.0,562500.0,ongoing,180,2023-04-21,2023-10-18,,Rural Dev Dept,irrigation,60.3,synthetic,sample_projects_synthetic.csv
81,WE09227,Howrah Constituency,Howrah,West Bengal,500000,250000.0,169262.81,completed,270,2024-06-19,16-03-2025,2025-03-13,Jal Nigam,road,100.0,synthetic,sample_projects_synthetic.csv
82,TA09945,Chennai Constituency,Chennai,Tamil Nadu,200000,200000.0,108000.0,sanctioned,90,14-01-2024,13-04-2024,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv
83,KE09290,Ernakulam Constituency,Ernakulam,Kerala,300000,300000.0,283778.47, ongoing ,730,03-09-2024,2026-09-03,,Zilla Parishad,school,18.1,synthetic,sample_projects_synthetic.csv
84,RA09753,Jaipur Constituency,Jaipur,Rajasthan,500000,0.0,0.0,recommended,270,11-11-2024,2025-08-08,,Jal Nigam,electricity,,synthetic,sample_projects_synthetic.csv
85,KA09938,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,300000,0.0,0.0,recommended,270,2023-08-31,2024-05-27,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv
86,BI10231,Patna Constituency, Patna,Bihar,200000,0.0,0.0,RECOMMENDED,545,06-05-2024,02-11-2025,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv
87,WE09925,Howrah Constituency,Howrah,West Bengal,500000,0.0,0.0,RECOMMENDED,270,2024-09-30,2025-06-27,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv
88,AN09873,Guntur Constituency,Guntur,Andhra Pradesh,2000000,2000000.0,1232431.16,completed,270,05-04-2023,2023-12-31,2024-07-05,PWD,sanitation,100.0,synthetic,sample_projects_synthetic.csv
89,WE10609,Kolkata Constituency,Kolkata,West Bengal,200000,200000.0,126000.0,ongoing,545,26-08-2024,2026-02-22,,PWD,irrigation,80.7,synthetic,sample_projects_synthetic.csv
90,UT10075,Varanasi Constituency,Varanasi,Uttar Pradesh,750000,750000.0,528168.98,sanctioned,270,30-12-2023,2024-09-25,,Jal Nigam,road,,synthetic,sample_projects_synthetic.csv
91,MA09204,Pune Constituency,Pune,Maharashtra,500000,500000.0,210000.0,ONGOING,90,2024-09-05,2024-12-04,,Jal Nigam,school,56.7,synthetic,sample_projects_synthetic.csv
92,TA09304,Madurai Constituency,Madurai,Tamil Nadu,200000,0.0,0.0,recommended,365,2023-10-11,10-10-2024,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv
93,KE10422,Kozhikode Constituency,Kozhikode,Kerala,750000,375000.0,285000.0,sanctioned,270,19-09-2024,2025-06-16,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv
94,UT09845,Varanasi Constituency,Varanasi,Uttar Pradesh,500000,500000.0,310439.44,ongoing,90,2023-12-02,2024-03-01,,PWD,electricity,58.4,synthetic,sample_projects_synthetic.csv
95,AN10469,Guntur Constituency,Guntur,Andhra Pradesh,1000000,0.0,0.0,recommended,365,19-11-2023,2024-11-18,,Zilla Parishad,road,,synthetic,sample_projects_synthetic.csv
96,UT10420,Lucknow Constituency,Lucknow,Uttar Pradesh,200000,,100800.0,stalled,270,2023-05-17,11-02-2024,,Rural Dev Dept,drinking water,93.8,synthetic,sample_projects_synthetic.csv
97,TA09054,Chennai Constituency,Chennai,Tamil Nadu,750000,375000.0,157659.42,STALLED,365,12-08-2023,2024-08-11,,PWD,school,49.6,synthetic,sample_projects_synthetic.csv
98,AN10384,Guntur Constituency,Guntur,Andhra Pradesh,200000,100000.0,67450.8, stalled ,270,2023-10-18,2024-07-14,,Zilla Parishad,electricity,92.0,synthetic,sample_projects_synthetic.csv
99,TA10676,Coimbatore Constituency,Coimbatore,Tamil Nadu,1000000,1000000.0,787399.81,sanctioned,180,2024-01-21,2024-07-19,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv
100,MA09499,Pune Constituency,Pune,Maharashtra,750000,0.0,0.0,RECOMMENDED,270,2024-09-08,2025-06-05,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv
101,AN09554,Guntur Constituency,Guntur,Andhra Pradesh,200000,0.0,0.0, recommended ,90,2023-01-06,06-04-2023,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv
102,BI09080,Gaya Constituency,Gaya,Bihar,200000,100000.0,44309.59,completed,90,2023-03-10,2023-06-08,04-06-2023,Rural Dev Dept,sanitation,100.0,synthetic,sample_projects_synthetic.csv
103,WE10573,Howrah Constituency,Howrah,West Bengal,500000,250000.0,156388.88, completed ,90,12-08-2023,10-11-2023,2023-11-19,Rural Dev Dept,irrigation,100.0,synthetic,sample_projects_synthetic.csv
104,RA10379,Jodhpur Constituency,Jodhpur,Rajasthan,2000000,1000000.0,427347.12,completed,270,15-02-2023,2023-11-12,2024-03-04,Jal Nigam,sanitation,100.0,synthetic,sample_projects_synthetic.csv
105,KE10581,Kozhikode Constituency,Kozhikode,Kerala,500000,500000.0,310936.57,sanctioned,90,2023-10-06,2024-01-04,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv
106,RA10031,Jodhpur Constituency,Jodhpur,Rajasthan,200000,0.0,0.0,recommended,270,2023-10-16,12-07-2024,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv
107,BI10566,Muzaffarpur Constituency,Muzaffarpur,Bihar,1000000,0.0,0.0,recommended,365,04-09-2023,03-09-2024,,Zilla Parishad,road,,synthetic,sample_projects_synthetic.csv
108,TA09289,Coimbatore Constituency, Coimbatore,Tamil Nadu,1000000,0.0,0.0, recommended ,270,2024-04-13,2025-01-08,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv
109,UT09887,Lucknow Constituency,Lucknow,Uttar Pradesh,500000,500000.0,492330.65,COMPLETED,270,2023-10-03,2024-06-29,2024-10-19,PWD,electricity,100.0,synthetic,sample_projects_synthetic.csv
110,WE10145,Kolkata Constituency, Kolkata,West Bengal,200000,200000.0,146828.1, stalled ,270,2024-09-27,2025-06-24,,PWD,irrigation,77.5,synthetic,sample_projects_synthetic.csv
111,WE09430,Howrah Constituency,Howrah,West Bengal,500000,500000.0,240047.83,sanctioned,730,02-07-2023,01-07-2025,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv
112,UT09017,Lucknow Constituency,Lucknow,Uttar Pradesh,1000000,1000000.0,690000.0,ongoing,545,16-05-2023,2024-11-11,,Rural Dev Dept,school,91.2,synthetic,sample_projects_synthetic.csv
113,WE09515,Kolkata Constituency,Kolkata,West Bengal,1500000,1500000.0,1290000.0,stalled,180,2024-09-10,2025-03-09,,Jal Nigam,irrigation,54.6,synthetic,sample_projects_synthetic.csv
114,UT10103,Lucknow Constituency,Lucknow,Uttar Pradesh,750000,0.0,0.0,recommended,90,2023-03-13,2023-06-11,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv
115,MA09235,Pune Constituency,Pune,Maharashtra,1000000,1000000.0,650000.0,sanctioned,180,2024-05-09,2024-11-05,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv
116,UT09277,Lucknow Constituency,Lucknow,Uttar Pradesh,2000000,2000000.0,1164903.24,completed,90,2023-06-10,2023-09-08,27-02-2024,Jal Nigam,school,100.0,synthetic,sample_projects_synthetic.csv
117,BI09831,Muzaffarpur Constituency,Muzaffarpur,Bihar,200000,0.0,0.0,recommended,730,2023-01-14,2025-01-13,,Jal Nigam,community hall,,synthetic,sample_projects_synthetic.csv
118,AN10577,Visakhapatnam Constituency, Visakhapatnam,Andhra Pradesh,1500000,750000.0,457500.0, stalled ,270,2023-07-21,2024-04-16,,Zilla Parishad,electricity,83.3,synthetic,sample_projects_synthetic.csv
119,WE10533,Kolkata Constituency,,West Bengal,1000000,500000.0,377522.67,completed,365,2023-03-15,2024-03-14,2024-06-19,Rural Dev Dept,sanitation,100.0,synthetic,sample_projects_synthetic.csv
120,RA10340,Jodhpur Constituency,Jodhpur,Rajasthan,1000000,1000000.0,881462.33,ongoing,270,2023-10-05,01-07-2024,,PWD,drinking water,22.2,synthetic,sample_projects_synthetic.csv
121,KA10085,Mysuru Constituency, Mysuru,Karnataka,500000,500000.0,469570.31,ongoing,90,2024-10-12,2025-01-10,,Rural Dev Dept,irrigation,87.1,synthetic,sample_projects_synthetic.csv
122,KA10434,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,750000,750000.0,372314.44,stalled,365,2023-06-19,18-06-2024,,Jal Nigam,school,73.8,synthetic,sample_projects_synthetic.csv
123,KE09975,Kozhikode Constituency,Kozhikode,Kerala,1500000,0.0,0.0,recommended,270,2023-01-09,06-10-2023,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv
124,TA10494,Coimbatore Constituency,Coimbatore,Tamil Nadu,2000000,0.0,0.0,recommended,730,29-11-2024,2026-11-29,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv
125,KA10024,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,2000000,1000000.0,730169.89,ongoing,545,2023-10-23,2025-04-20,,Rural Dev Dept,sanitation,30.3,synthetic,sample_projects_synthetic.csv
126,BI10380,Patna Constituency,Patna,Bihar,500000,0.0,0.0,recommended,730,06-03-2023,2025-03-05,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv
127,KE10364,Ernakulam Constituency,Ernakulam,Kerala,500000,500000.0,245000.0,sanctioned,90,2023-10-17,2024-01-15,,PWD,electricity,,synthetic,sample_projects_synthetic.csv
128,KE10766,Ernakulam Constituency,Ernakulam,Kerala,500000,0.0,0.0,recommended,270,08-04-2023,2024-01-03,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv
129,WE09535,Howrah Constituency,Howrah,West Bengal,1500000,1500000.0,694457.46,sanctioned,545,2024-08-23,2026-02-19,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv
130,TA09614,Chennai Constituency,Chennai,Tamil Nadu,500000,500000.0,495439.21,ongoing,180,03-04-2024,30-09-2024,,PWD,community hall,25.1,synthetic,sample_projects_synthetic.csv
131,MA09098,Pune Constituency,Pune,Maharashtra,200000,0.0,0.0,RECOMMENDED,545,2023-04-21,2024-10-17,,PWD,school,,synthetic,sample_projects_synthetic.csv
132,KE09261,Ernakulam Constituency,Ernakulam,Kerala,750000,375000.0,298265.51,completed,90,20-04-2024,2024-07-19,23-07-2024,Rural Dev Dept,irrigation,100.0,synthetic,sample_projects_synthetic.csv
133,AN09581,Guntur Constituency,Guntur,Andhra Pradesh,300000,150000.0,125476.78,completed,365,2024-03-02,02-03-2025,2025-02-21,PWD,school,100.0,synthetic,sample_projects_synthetic.csv
134,UT09577,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,750000,,304500.0,sanctioned,180,2024-11-20,2025-05-19,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv
135,TA09835,Chennai Constituency,Chennai,Tamil Nadu,750000,750000.0,562500.0, stalled ,90,2024-05-04,2024-08-02,,PWD,sanitation,12.1,synthetic,sample_projects_synthetic.csv
136,BI09545,Patna Constituency,Patna,Bihar,2000000,2000000.0,1737166.89,sanctioned,180,2023-09-18,2024-03-16,,PWD,school,,synthetic,sample_projects_synthetic.csv
137,MA09737,Nagpur Constituency,Nagpur,Maharashtra,750000,0.0,0.0,recommended,730,2024-11-10,2026-11-10,,PWD,sanitation,,synthetic,sample_projects_synthetic.csv
