project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent
KA1957,Mysuru Constituency,Mysuru,Karnataka,500000,0,0,ONGOING,2023-06-17,2024-06-16,,Zilla Parishad,school,25.8
TA1943,Madurai Constituency, Madurai,Tamil Nadu,500000,500000.0,244696.82, recommended ,2023-10-06,2024-10-05,,Rural Dev Dept,sanitation,
UT1931,Lucknow Constituency, Lucknow,Uttar Pradesh,500000,500000.0,472078.66,sanctioned,2023-11-15,14-11-2024,,Rural Dev Dept,sanitation,
UT1948,Lucknow Constituency,Lucknow,Uttar Pradesh,300000,150000.0,118293.87,RECOMMENDED,2023-08-25,2024-08-24,,,sanitation,
UT1933,Varanasi Constituency,Varanasi,Uttar Pradesh,300000,150000.0,75101.02, completed ,25-12-2023,24-12-2024,2025-01-28,,sanitation,100.0
KA1956,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,500000,500000.0,357744.45,sanctioned,22-11-2023,2024-11-21,,PWD,school,
AN1901,Krishna Constituency,Krishna,Andhra Pradesh,300000,,378449.13,sanctioned,25-04-2023,24-04-2024,,PWD,community hall,
TA1908,Chennai Constituency,Chennai,Tamil Nadu,300000,300000.0,187304.49,stalled,2023-11-08,07-11-2024,,Rural Dev Dept,school,24.5
BAD7686,,,,400000,,0,ongoing,,,,,road,
AN1913,Krishna Constituency,Krishna,Andhra Pradesh,300000,0,0,recommended,2024-04-19,19-04-2025,,PWD,sanitation,
AN1938,Krishna Constituency,Krishna,Andhra Pradesh,500000,500000.0,428656.88,RECOMMENDED,2024-01-16,2025-01-15,,Rural Dev Dept,road,
UT1936,Varanasi Constituency,Varanasi,Uttar Pradesh,1500000,1500000.0,892512.75,ongoing,2023-01-15,2024-01-15,,Zilla Parishad,road,53.9
KA1950,Mysuru Constituency,Mysuru,Karnataka,1500000,1500000.0,1482697.17,completed,2024-04-22,2025-04-22,2025-06-13,Zilla Parishad,sanitation,100.0
TA1934,Madurai Constituency, Madurai,Tamil Nadu,500000,0,0,ongoing,2024-03-11,11-03-2025,,Rural Dev Dept,road,82.5
KA1904,Mysuru Constituency,Mysuru,Karnataka,500000,500000.0,410546.09,ONGOING,18-04-2023,2024-04-17,,Rural Dev Dept,community hall,71.5
BAD4559,,,,400000,,0,ongoing,,,,,road,
AN1935,Krishna Constituency,Krishna,Andhra Pradesh,1000000,1000000.0,840277.18,completed,2023-12-29,2024-12-28,06-01-2025,Zilla Parishad,road,100.0
UT1907,Varanasi Constituency,Varanasi,Uttar Pradesh,1500000,1500000.0,1212255.07,stalled,16-03-2024,16-03-2025,,PWD,school,20.3
UT1914,Varanasi Constituency,Varanasi,Uttar Pradesh,750000,750000.0,369658.57,stalled,05-12-2023,2024-12-04,,Zilla Parishad,road,36.7
AN1920,Krishna Constituency,Krishna,Andhra Pradesh,750000,,718446.46,stalled,2024-01-19,2025-01-18,,,drinking water,87.8
KA1958,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,750000,0,1334925.09,completed,2024-05-08,2025-05-08,27-04-2025,PWD,sanitation,100.0
TA1902,Chennai Constituency,Chennai,Tamil Nadu,1000000,500000.0,201949.63,completed,2023-10-29,28-10-2024,08-12-2024,Rural Dev Dept,community hall,100.0
TA1937,Chennai Constituency,Chennai,Tamil Nadu,500000,500000.0,688270.67,completed,2023-08-18,2024-08-17,2025-02-05,Rural Dev Dept,sanitation,100.0
KA1939,Mysuru Constituency,Mysuru,Karnataka,500000,500000.0,282293.4,recommended,2023-12-29,2024-12-28,,PWD,community hall,
KA1940,Mysuru Constituency,Mysuru,Karnataka,500000,0,0,ONGOING,2024-04-26,26-04-2025,,Rural Dev Dept,road,20.3
AN1912,Guntur Constituency,Guntur,Andhra Pradesh,300000,0,0,COMPLETED,08-01-2024,2025-01-07,2025-03-04,PWD,sanitation,100.0
UT1941,Lucknow Constituency,Lucknow,Uttar Pradesh,1500000,750000.0,499224.45,stalled,2023-07-14,2024-07-13,,Zilla Parishad,drinking water,87.4
AN1905,Guntur Constituency,Guntur,Andhra Pradesh,500000,0,0,ongoing,2023-07-25,2024-07-24,,,drinking water,29.0
UT1928,Lucknow Constituency,Lucknow,Uttar Pradesh,1500000,1500000.0,1005062.78,sanctioned,2024-01-16,15-01-2025,,,road,
UT1949,Lucknow Constituency,Lucknow,Uttar Pradesh,500000,,228161.86,recommended,2023-05-22,2024-05-21,,,drinking water,
TA1951,Madurai Constituency,Madurai,Tamil Nadu,750000,0,0,COMPLETED,21-02-2023,2024-02-21,04-06-2024,,road,100.0
TA1906,Chennai Constituency, Chennai,Tamil Nadu,1500000,,959460.45,stalled,08-08-2023,2024-08-07,,,community hall,29.7
AN1960,Guntur Constituency,Guntur,Andhra Pradesh,750000,750000.0,541895.97,recommended,2023-02-19,2024-02-19,,Zilla Parishad,sanitation,
KA1916,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1000000,,425559.35,ongoing,23-08-2023,22-08-2024,,Rural Dev Dept,road,16.5
KA1924,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,1500000.0,1098971.23,completed,2023-06-17,2024-06-16,2024-08-28,Rural Dev Dept,school,100.0
UT1903,Varanasi Constituency,Varanasi,Uttar Pradesh,1500000,,0,completed,2023-02-10,2024-02-10,2024-05-31,Zilla Parishad,road,100.0
UT1944,Lucknow Constituency,Lucknow,Uttar Pradesh,750000,750000.0,1094412.9, completed ,2023-02-11,2024-02-11,2024-06-13,Rural Dev Dept,community hall,100.0
UT1945,Varanasi Constituency,Varanasi,Uttar Pradesh,1500000,1500000.0,992296.49,ongoing,03-04-2023,02-04-2024,,,sanitation,83.3
BI1911,Gaya Constituency,Gaya,Bihar,750000,750000.0,1320981.41,sanctioned,04-10-2023,03-10-2024,,,school,
UT1944,Lucknow Constituency,Lucknow,Uttar Pradesh,750000,750000.0,1094412.9, completed ,2023-02-11,2024-02-11,2024-06-13,Rural Dev Dept,community hall,100.0
KA1929,Mysuru Constituency, Mysuru,Karnataka,750000,0,0,sanctioned,2023-03-19,2024-03-18,,Zilla Parishad,sanitation,
AN1953,Guntur Constituency,Guntur,Andhra Pradesh,750000,0,0,ongoing,03-07-2023,2024-07-02,,Zilla Parishad,sanitation,23.1
