project_id,project_title,description,mp_id,constituency_id,state_id,district_id,agency_id,category,sanctioned_amount,cost_estimate,released_amount,expenditure,project_status,sanction_date,start_date,expected_completion_date,actual_completion_date,progress_percentage,latitude,longitude,data_source
PRJ-2026-0017,Infrastructure Work 18,Construction and development of infrastructure facilities.,9,9,6,9,9,Infrastructure,85998923.84,85998923.84,0.0,0.0,recommended,2024-04-05,,2025-04-05,,0.0,23.4576,73.9583,REAL_MPLADS
PRJ-2026-0018,Water & Sanitation Work 19,Construction and development of water & sanitation facilities.,9,9,6,9,9,Water & Sanitation,61001076.16,61001076.16,61001076.16,61001076.16,completed,2024-04-17,2024-05-04,2025-04-17,2024-11-20,100.0,17.7641,86.2859,REAL_MPLADS
PRJ-2026-0019,Education Work 20,Construction and development of education facilities.,10,10,1,10,10,Education,74509215.41,74509215.41,74509215.41,74509215.41,completed,2024-02-08,2024-02-25,2025-02-07,2024-09-12,100.0,20.5792,76.3427,REAL_MPLADS
PRJ-2026-0020,Roads & Pathways Work 21,Construction and development of roads & pathways facilities.,10,10,1,10,10,Roads & Pathways,73307093.70000002,73307093.70000002,51314965.59000001,34157632.76,ongoing,2024-02-18,2024-03-07,2025-02-17,,71.41,27.5797,77.4082,REAL_MPLADS
PRJ-2026-0021,Healthcare Work 22,Construction and development of healthcare facilities.,11,11,6,11,11,Healthcare,116605913.54,116605913.54,81624139.478,39743809.54,ongoing,2024-03-22,2024-04-01,2025-03-22,,45.01,25.7175,72.1913,REAL_MPLADS
PRJ-2026-0022,Education Work 23,Construction and development of education facilities.,11,11,6,11,11,Education,72116342.57000001,72116342.57000001,0.0,0.0,recommended,2024-03-20,,2025-03-20,,0.0,20.5265,76.4301,REAL_MPLADS
PRJ-2026-0023,Healthcare Work 24,Construction and development of healthcare facilities.,12,12,5,12,12,Healthcare,66328747.26,66328747.26,46430123.081999995,20931142.4,ongoing,2024-04-19,2024-05-02,2025-04-19,,46.37,17.2549,79.2139,REAL_MPLADS
PRJ-2026-0024,Healthcare Work 25,Construction and development of healthcare facilities.,12,12,5,12,12,Healthcare,154171252.74,154171252.74,0.0,0.0,sanctioned,2024-04-13,2024-05-05,2025-04-13,,0.0,18.0728,75.2163,REAL_MPLADS
PRJ-2026-0025,Roads & Pathways Work 26,Construction and development of roads & pathways facilities.,13,13,2,13,13,Roads & Pathways,54450257.21,54450257.21,54450257.21,54450257.21,completed,2024-03-23,2024-04-13,2025-03-23,2024-10-30,100.0,21.4247,84.643,REAL_MPLADS
PRJ-2026-0026,Education Work 27,Construction and development of education facilities.,13,13,2,13,13,Education,92549742.78999999,92549742.78999999,92549742.78999999,87922255.65,ongoing,2024-02-04,2024-02-18,2025-02-03,,9.39,23.9672,80.7011,REAL_MPLADS
PRJ-2026-0027,Infrastructure Work 28,Construction and development of infrastructure facilities.,14,14,7,14,14,Infrastructure,64123042.52,64123042.52,0.0,0.0,sanctioned,2024-02-07,2024-03-06,2025-02-06,,0.0,27.3985,87.9218,REAL_MPLADS
PRJ-2026-0028,Roads & Pathways Work 29,Construction and development of roads & pathways facilities.,14,14,7,14,14,Roads & Pathways,82876957.47999999,82876957.47999999,58013870.23599999,55113176.72,ongoing,2024-04-16,2024-05-04,2025-04-16,,4.25,21.0029,83.768,REAL_MPLADS
PRJ-2026-0029,Education Work 30,Construction and development of education facilities.,15,15,3,15,15,Education,77736247.59,77736247.59,0.0,0.0,recommended,2024-01-29,,2025-01-28,,0.0,21.7074,79.2221,REAL_MPLADS
PRJ-2026-0030,Infrastructure Work 31,Construction and development of infrastructure facilities.,15,15,3,15,15,Infrastructure,69263752.41,69263752.41,0.0,0.0,recommended,2024-01-31,,2025-01-30,,0.0,20.9859,82.8461,REAL_MPLADS
PRJ-2026-0031,Water & Sanitation Work 32,Construction and development of water & sanitation facilities.,16,16,7,16,16,Water & Sanitation,52861010.33,52861010.33,52861010.33,52861010.33,completed,2024-03-13,2024-04-11,2025-03-13,2024-10-28,100.0,26.8399,80.2558,REAL_MPLADS
PRJ-2026-0032,Roads & Pathways Work 33,Construction and development of roads & pathways facilities.,16,16,7,16,16,Roads & Pathways,94138989.67,94138989.67,94138989.67,94138989.67,completed,2024-01-21,2024-02-01,2025-01-20,2024-08-19,100.0,20.8874,72.3612,REAL_MPLADS
PRJ-2026-0033,Roads & Pathways Work 34,Construction and development of roads & pathways facilities.,17,17,5,17,17,Roads & Pathways,83545237.87,83545237.87,58481666.509,28689672.06,ongoing,2024-01-16,2024-01-26,2025-01-15,,45.95,21.6027,74.9586,REAL_MPLADS
PRJ-2026-0034,Education Work 35,Construction and development of education facilities.,17,17,5,17,17,Education,63454762.129999995,63454762.129999995,63454762.129999995,63454762.129999995,completed,2024-02-01,2024-02-13,2025-01-31,2024-08-31,100.0,22.5808,73.3709,REAL_MPLADS
PRJ-2026-0035,Infrastructure Work 36,Construction and development of infrastructure facilities.,18,18,5,18,18,Infrastructure,77027816.14,77027816.14,0.0,0.0,sanctioned,2024-03-23,2024-04-11,2025-03-23,,0.0,24.3224,80.1416,REAL_MPLADS
PRJ-2026-0036,Healthcare Work 37,Construction and development of healthcare facilities.,18,18,5,18,18,Healthcare,69972183.86,69972183.86,0.0,0.0,sanctioned,2024-01-21,2024-02-07,2025-01-20,,0.0,26.847,77.0957,REAL_MPLADS
PRJ-2026-0037,Education Work 38,Construction and development of education facilities.,19,19,5,19,19,Education,79694172.5,79694172.5,55785920.75,13425127.87,ongoing,2024-02-09,2024-02-24,2025-02-08,,24.5,17.3263,83.1703,REAL_MPLADS
PRJ-2026-0038,Roads & Pathways Work 39,Construction and development of roads & pathways facilities.,19,19,5,19,19,Roads & Pathways,67305827.5,67305827.5,67305827.5,67305827.5,completed,2024-04-19,2024-05-02,2025-04-19,2024-11-18,100.0,21.3933,77.2795,REAL_MPLADS
PRJ-2026-0039,Education Work 40,Construction and development of education facilities.,20,20,8,20,20,Education,79057097.16,79057097.16,0.0,0.0,sanctioned,2024-02-01,2024-02-17,2025-01-31,,0.0,25.4772,86.1319,REAL_MPLADS
PRJ-2026-0040,Water & Sanitation Work 41,Construction and development of water & sanitation facilities.,20,20,8,20,20,Water & Sanitation,67942902.84,67942902.84,47560031.988,11704523.87,stalled,2024-03-03,2024-03-27,2025-03-03,,24.61,22.1771,81.8252,REAL_MPLADS
PRJ-2026-0041,Education Work 42,Construction and development of education facilities.,21,21,3,21,21,Education,53425579.62,53425579.62,53425579.62,53425579.62,completed,2024-03-29,2024-04-19,2025-03-29,2024-11-05,100.0,23.0443,72.159,REAL_MPLADS
PRJ-2026-0042,Infrastructure Work 43,Construction and development of infrastructure facilities.,21,21,3,21,21,Infrastructure,93574420.38,93574420.38,65502094.265999995,14227054.87,stalled,2024-03-06,2024-04-02,2025-03-06,,21.72,24.3219,74.5394,REAL_MPLADS
PRJ-2026-1042,Community Hall Construction,Building a multi-purpose community hall in local area.,22,22,9,22,22,Infrastructure,5000000.0,5000000.0,4500000.0,4200000.0,ongoing,2023-01-10,2023-02-15,2024-01-09,,15.0,18.6125,72.7602,PROTOTYPE_SYNTHETIC
PRJ-2026-0044,Roads & Pathways Work 45,Construction and development of roads & pathways facilities.,22,22,9,22,22,Roads & Pathways,80011858.17,80011858.17,56008300.719,24290881.35,ongoing,2024-01-24,2024-02-12,2025-01-23,,43.54,17.3642,81.888,REAL_MPLADS
PRJ-2026-0045,Education Work 46,Construction and development of education facilities.,23,23,1,23,23,Education,44236531.07,44236531.07,44236531.07,42024704.52,ongoing,2024-04-21,2024-05-09,2025-04-21,,9.54,20.8771,87.4473,REAL_MPLADS
PRJ-2026-0046,Education Work 47,Construction and development of education facilities.,23,23,1,23,23,Education,102763468.93,102763468.93,0.0,0.0,recommended,2024-02-09,,2025-02-08,,0.0,22.5831,86.4643,REAL_MPLADS
PRJ-2026-0047,Healthcare Work 48,Construction and development of healthcare facilities.,24,24,10,24,24,Healthcare,60342377.15,60342377.15,0.0,0.0,sanctioned,2024-03-22,2024-04-03,2025-03-22,,0.0,19.2862,76.6187,REAL_MPLADS
PRJ-2026-0048,Education Work 49,Construction and development of education facilities.,24,24,10,24,24,Education,86657622.85,86657622.85,60660335.99499999,8492447.04,stalled,2024-03-30,2024-04-11,2025-03-30,,14.0,24.1377,76.7907,REAL_MPLADS
PRJ-2026-0049,Healthcare Work 50,Construction and development of healthcare facilities.,25,25,11,25,25,Healthcare,112371024.82,112371024.82,78659717.37399998,32874472.69,ongoing,2024-03-20,2024-04-11,2025-03-20,,40.29,25.391,86.9896,REAL_MPLADS
PRJ-2026-0050,Water & Sanitation Work 51,Construction and development of water & sanitation facilities.,25,25,11,25,25,Water & Sanitation,89528039.29000002,89528039.29000002,62669627.50300001,41976116.5,stalled,2024-03-22,2024-04-14,2025-03-22,,66.98,25.7857,76.3668,REAL_MPLADS
PRJ-2026-0051,Healthcare Work 52,Construction and development of healthcare facilities.,26,26,1,26,26,Healthcare,65474433.61,65474433.61,45832103.526999995,33723261.78,stalled,2024-04-21,2024-05-19,2025-04-21,,73.58,18.2313,81.542,REAL_MPLADS
PRJ-2026-0052,Roads & Pathways Work 53,Construction and development of roads & pathways facilities.,26,26,1,26,26,Roads & Pathways,81525566.39,81525566.39,81525566.39,81525566.39,completed,2024-02-20,2024-03-01,2025-02-19,2024-09-17,100.0,24.1322,84.4046,REAL_MPLADS
PRJ-2026-0053,Water & Sanitation Work 54,Construction and development of water & sanitation facilities.,27,27,12,27,27,Water & Sanitation,52293155.73,52293155.73,36605209.01099999,28497155.22,stalled,2024-03-17,2024-03-28,2025-03-17,,77.85,17.4855,86.2187,REAL_MPLADS
PRJ-2026-0054,Water & Sanitation Work 55,Construction and development of water & sanitation facilities.,27,27,12,27,27,Water & Sanitation,113398388.38000003,113398388.38000003,79378871.86600001,29676703.16,ongoing,2024-01-15,2024-01-29,2025-01-14,,39.46,25.0242,83.0876,REAL_MPLADS
PRJ-2026-0055,Education Work 56,Construction and development of education facilities.,28,28,13,28,28,Education,96934030.87,96934030.87,0.0,0.0,recommended,2024-03-06,,2025-03-06,,0.0,23.4953,87.1485,REAL_MPLADS
PRJ-2026-0056,Education Work 57,Construction and development of education facilities.,28,28,13,28,28,Education,50065969.129999995,50065969.129999995,35046178.390999995,7266249.01,ongoing,2024-02-17,2024-03-02,2025-02-16,,21.99,27.7572,87.3278,REAL_MPLADS
PRJ-2026-0057,Roads & Pathways Work 58,Construction and development of roads & pathways facilities.,29,29,5,29,29,Roads & Pathways,100312677.06,100312677.06,0.0,0.0,sanctioned,2024-02-28,2024-03-13,2025-02-27,,0.0,24.5052,86.7756,REAL_MPLADS
PRJ-2026-0058,Education Work 59,Construction and development of education facilities.,29,29,5,29,29,Education,46687322.94,46687322.94,46687322.94,46687322.94,completed,2024-01-21,2024-02-17,2025-01-20,2024-09-04,100.0,21.2443,82.2108,REAL_MPLADS
PRJ-2026-0059,Infrastructure Work 60,Construction and development of infrastructure facilities.,30,30,5,30,30,Infrastructure,79586014.64,79586014.64,0.0,0.0,recommended,2024-02-04,,2025-02-03,,0.0,22.4353,83.0164,REAL_MPLADS
PRJ-2026-0060,Water & Sanitation Work 61,Construction and development of water & sanitation facilities.,30,30,5,30,30,Water & Sanitation,67413985.36,67413985.36,47189789.752,19083550.98,stalled,2024-02-14,2024-03-06,2025-02-13,,40.44,22.5746,74.0417,REAL_MPLADS
PRJ-2026-0061,Roads & Pathways Work 62,Construction and development of roads & pathways facilities.,31,31,14,31,31,Roads & Pathways,83227020.83,83227020.83,58258914.58099999,43892266.25,stalled,2024-04-17,2024-05-17,2025-04-17,,75.34,25.8202,82.078,REAL_MPLADS
PRJ-2026-0062,Roads & Pathways Work 63,Construction and development of roads & pathways facilities.,31,31,14,31,31,Roads & Pathways,63772979.17,63772979.17,44641085.419,14646740.13,stalled,2024-03-30,2024-04-24,2025-03-30,,32.81,27.9433,82.4047,REAL_MPLADS
PRJ-2026-0063,Education Work 64,Construction and development of education facilities.,32,32,15,32,32,Education,87033282.59,87033282.59,60923297.813,24248466.7,ongoing,2024-02-16,2024-03-15,2025-02-15,,37.34,25.328,87.6747,REAL_MPLADS
PRJ-2026-0064,Infrastructure Work 65,Construction and development of infrastructure facilities.,32,32,15,32,32,Infrastructure,59966717.41,59966717.41,41976702.18699999,7967178.08,stalled,2024-02-29,2024-03-10,2025-02-28,,18.98,23.989,72.612,REAL_MPLADS
PRJ-2026-0065,Infrastructure Work 66,Construction and development of infrastructure facilities.,33,33,16,33,33,Infrastructure,47597465.31,47597465.31,0.0,0.0,stalled,2024-03-04,2024-03-26,2025-03-04,,21.23,22.6347,77.2036,REAL_MPLADS
PRJ-2026-0066,Water & Sanitation Work 67,Construction and development of water & sanitation facilities.,33,33,16,33,33,Water & Sanitation,50402534.69,50402534.69,35281774.28299999,6092216.73,ongoing,2024-03-26,2024-04-12,2025-03-26,,17.41,17.289,74.7729,REAL_MPLADS
PRJ-2026-0067,Healthcare Work 68,Construction and development of healthcare facilities.,34,34,8,34,34,Healthcare,93050482.91,93050482.91,65135338.03699999,42591321.47,ongoing,2024-02-04,2024-02-24,2025-02-03,,60.44,18.8291,87.9387,REAL_MPLADS
PRJ-2026-0068,Healthcare Work 69,Construction and development of healthcare facilities.,34,34,8,34,34,Healthcare,53949517.09,53949517.09,0.0,0.0,recommended,2024-03-28,,2025-03-28,,0.0,25.6447,77.1903,REAL_MPLADS
PRJ-2026-0069,Education Work 70,Construction and development of education facilities.,35,35,7,35,35,Education,96327682.35,96327682.35,67429377.645,18988112.74,stalled,2024-01-15,2024-02-07,2025-01-14,,28.16,18.2659,80.0718,REAL_MPLADS
PRJ-2026-0070,Healthcare Work 71,Construction and development of healthcare facilities.,35,35,7,35,35,Healthcare,50672317.650000006,50672317.650000006,0.0,0.0,sanctioned,2024-04-23,2024-05-03,2025-04-23,,0.0,20.627,86.5187,REAL_MPLADS
PRJ-2026-0071,Healthcare Work 72,Construction and development of healthcare facilities.,36,36,1,36,36,Healthcare,51038326.7,51038326.7,0.0,0.0,sanctioned,2024-03-19,2024-04-14,2025-03-19,,0.0,26.2706,77.3188,REAL_MPLADS
PRJ-2026-0072,Roads & Pathways Work 73,Construction and development of roads & pathways facilities.,36,36,1,36,36,Roads & Pathways,95961673.3,95961673.3,67173171.30999999,34231448.1,stalled,2024-03-20,2024-04-18,2025-03-20,,50.96,17.7255,87.3635,REAL_MPLADS
PRJ-2026-0073,Roads & Pathways Work 74,Construction and development of roads & pathways facilities.,37,37,9,37,37,Roads & Pathways,99313727.81,99313727.81,69519609.467,16573474.9,stalled,2024-03-30,2024-04-14,2025-03-30,,23.84,23.0294,73.2613,REAL_MPLADS
PRJ-2026-0074,Roads & Pathways Work 75,Construction and development of roads & pathways facilities.,37,37,9,37,37,Roads & Pathways,47686272.19,47686272.19,0.0,0.0,recommended,2024-04-19,,2025-04-19,,0.0,20.9201,84.0008,REAL_MPLADS
PRJ-2026-0075,Healthcare Work 76,Construction and development of healthcare facilities.,38,38,14,38,38,Healthcare,77181829.72,77181829.72,0.0,0.0,stalled,2024-03-24,2024-04-23,2025-03-24,,33.0,21.857,73.9437,REAL_MPLADS
PRJ-2026-0076,Education Work 77,Construction and development of education facilities.,38,38,14,38,38,Education,69818170.28,69818170.28,0.0,0.0,recommended,2024-04-13,,2025-04-13,,0.0,23.1529,80.33,REAL_MPLADS
PRJ-2026-0077,Water & Sanitation Work 78,Construction and development of water & sanitation facilities.,39,39,17,39,39,Water & Sanitation,91731148.33,91731148.33,64211803.83099999,36279669.16,stalled,2024-04-16,2024-04-26,2025-04-16,,56.5,24.5132,80.8563,REAL_MPLADS
PRJ-2026-0078,Water & Sanitation Work 79,Construction and development of water & sanitation facilities.,39,39,17,39,39,Water & Sanitation,74934783.47000001,74934783.47000001,52454348.429000005,16428701.93,stalled,2024-02-18,2024-03-03,2025-02-17,,31.32,25.7958,79.7973,REAL_MPLADS
PRJ-2026-0079,Infrastructure Work 80,Construction and development of infrastructure facilities.,40,40,5,40,40,Infrastructure,73485740.01,73485740.01,51440018.007,8142954.85,stalled,2024-03-13,2024-04-09,2025-03-13,,15.83,24.5017,81.4834,REAL_MPLADS
PRJ-2026-0080,Healthcare Work 81,Construction and development of healthcare facilities.,40,40,5,40,40,Healthcare,73514259.99,73514259.99,51459981.99299999,41226426.23,ongoing,2024-02-27,2024-03-15,2025-02-26,,75.48,26.4251,83.2691,REAL_MPLADS
PRJ-2026-0081,Education Work 82,Construction and development of education facilities.,41,41,6,41,41,Education,92242365.14,92242365.14,0.0,0.0,recommended,2024-02-10,,2025-02-09,,0.0,23.1508,80.7846,REAL_MPLADS
PRJ-2026-0082,Roads & Pathways Work 83,Construction and development of roads & pathways facilities.,41,41,6,41,41,Roads & Pathways,54757634.86,54757634.86,54757634.86,54757634.86,completed,2024-01-18,2024-02-03,2025-01-17,2024-08-21,100.0,26.5465,84.2001,REAL_MPLADS
PRJ-2026-0083,Water & Sanitation Work 84,Construction and development of water & sanitation facilities.,42,42,1,42,42,Water & Sanitation,102222132.96,102222132.96,0.0,0.0,recommended,2024-03-20,,2025-03-20,,0.0,27.8536,87.7488,REAL_MPLADS
PRJ-2026-0084,Healthcare Work 85,Construction and development of healthcare facilities.,42,42,1,42,42,Healthcare,44777867.04000001,44777867.04000001,0.0,0.0,recommended,2024-02-15,,2025-02-14,,0.0,22.5505,87.9993,REAL_MPLADS
PRJ-2026-0085,Education Work 86,Construction and development of education facilities.,43,43,5,43,43,Education,53264768.18,53264768.18,37285337.725999996,7740436.11,stalled,2024-01-18,2024-02-05,2025-01-17,,20.76,25.1617,80.9341,REAL_MPLADS
PRJ-2026-0086,Water & Sanitation Work 87,Construction and development of water & sanitation facilities.,43,43,5,43,43,Water & Sanitation,93735231.82,93735231.82,65614662.27399999,56265922.98,ongoing,2024-01-30,2024-02-15,2025-01-29,,82.09,26.0035,83.6109,REAL_MPLADS
PRJ-2026-0087,Healthcare Work 88,Construction and development of healthcare facilities.,44,44,18,44,44,Healthcare,60108825.99,60108825.99,42076178.192999996,26487758.9,ongoing,2024-03-27,2024-04-14,2025-03-27,,63.73,25.6827,72.3488,REAL_MPLADS
PRJ-2026-0088,Roads & Pathways Work 89,Construction and development of roads & pathways facilities.,44,44,18,44,44,Roads & Pathways,89461291.12,89461291.12,0.0,0.0,ongoing,2024-02-29,2024-03-26,2025-02-28,,8.41,23.9566,78.0602,REAL_MPLADS
PRJ-2026-0089,Healthcare Work 90,Construction and development of healthcare facilities.,45,45,11,45,45,Healthcare,57102587.24,57102587.24,0.0,0.0,recommended,2024-02-13,,2025-02-12,,0.0,27.266,80.0042,REAL_MPLADS
PRJ-2026-0090,Education Work 91,Construction and development of education facilities.,45,45,11,45,45,Education,89897412.75999999,89897412.75999999,0.0,0.0,sanctioned,2024-01-17,2024-02-13,2025-01-16,,0.0,25.3697,76.3159,REAL_MPLADS
PRJ-2026-0091,Education Work 92,Construction and development of education facilities.,46,46,3,46,46,Education,61016534.44,61016534.44,0.0,0.0,sanctioned,2024-02-08,2024-03-07,2025-02-07,,0.0,27.2318,83.16,REAL_MPLADS
PRJ-2026-0092,Water & Sanitation Work 93,Construction and development of water & sanitation facilities.,46,46,3,46,46,Water & Sanitation,133908086.67000002,133908086.67000002,133908086.67000002,127212682.34,ongoing,2024-04-23,2024-05-15,2025-04-23,,3.5,25.2366,73.1253,REAL_MPLADS
PRJ-2026-0093,Roads & Pathways Work 94,Construction and development of roads & pathways facilities.,47,47,5,47,47,Roads & Pathways,67398765.35,67398765.35,47179135.74499999,8600756.45,stalled,2024-03-16,2024-04-05,2025-03-16,,18.23,21.3779,78.3435,REAL_MPLADS
PRJ-2026-0094,Infrastructure Work 95,Construction and development of infrastructure facilities.,47,47,5,47,47,Infrastructure,79601234.65,79601234.65,55720864.255,15540549.04,stalled,2024-02-09,2024-03-01,2025-02-08,,27.89,27.427,77.4811,REAL_MPLADS
PRJ-2026-0095,Infrastructure Work 96,Construction and development of infrastructure facilities.,48,48,15,48,48,Infrastructure,76545458.99,76545458.99,0.0,0.0,recommended,2024-01-25,,2025-01-24,,0.0,17.4067,76.136,REAL_MPLADS
PRJ-2026-0096,Healthcare Work 97,Construction and development of healthcare facilities.,48,48,15,48,48,Healthcare,70454541.01,70454541.01,49318178.707,11283999.29,stalled,2024-01-16,2024-02-15,2025-01-15,,22.88,23.0769,77.1057,REAL_MPLADS
PRJ-2026-0097,Infrastructure Work 98,Construction and development of infrastructure facilities.,49,49,19,49,49,Infrastructure,62449207.09,62449207.09,43714444.963,28287582.14,ongoing,2024-04-22,2024-05-08,2025-04-22,,58.95,26.2797,82.1631,REAL_MPLADS
PRJ-2026-0098,Water & Sanitation Work 99,Construction and development of water & sanitation facilities.,49,49,19,49,49,Water & Sanitation,84550792.91,84550792.91,0.0,0.0,sanctioned,2024-02-18,2024-03-12,2025-02-17,,0.0,23.5276,72.3079,REAL_MPLADS
PRJ-2026-0099,Healthcare Work 100,Construction and development of healthcare facilities.,50,50,4,50,50,Healthcare,81225170.75,81225170.75,56857619.525,40846513.87,stalled,2024-03-31,2024-04-18,2025-03-31,,71.84,24.7004,83.9029,REAL_MPLADS
PRJ-2026-0100,Infrastructure Work 101,Construction and development of infrastructure facilities.,50,50,4,50,50,Infrastructure,65774829.25,65774829.25,46042380.474999994,6666936.69,stalled,2024-02-08,2024-03-09,2025-02-07,,14.48,22.4283,83.662,REAL_MPLADS
PRJ-2026-0101,Water & Sanitation Work 102,Construction and development of water & sanitation facilities.,51,51,19,51,51,Water & Sanitation,145559013.66,145559013.66,101891309.56199999,59840766.11,stalled,2024-02-26,2024-03-15,2025-02-25,,58.73,21.7827,80.3669,REAL_MPLADS
PRJ-2026-0102,Education Work 103,Construction and development of education facilities.,51,51,19,51,51,Education,135837341.45000002,135837341.45000002,135837341.45000002,135837341.45000002,completed,2024-02-24,2024-03-21,2025-02-23,2024-10-07,100.0,23.416,82.7985,REAL_MPLADS
PRJ-2026-0103,Infrastructure Work 104,Construction and development of infrastructure facilities.,52,52,1,52,52,Infrastructure,69602897.58,69602897.58,69602897.58,34801448.79,stalled,2024-03-26,2024-04-12,2025-03-26,,25.28,27.6184,87.1017,REAL_MPLADS
PRJ-2026-0104,Education Work 105,Construction and development of education facilities.,52,52,1,52,52,Education,77397102.42,77397102.42,54177971.694,34553997.62,ongoing,2024-04-03,2024-04-20,2025-04-03,,68.5,22.4388,87.9128,REAL_MPLADS
PRJ-2026-0105,Healthcare Work 106,Construction and development of healthcare facilities.,53,53,19,53,53,Healthcare,102622194.49,102622194.49,0.0,0.0,recommended,2024-01-29,,2025-01-28,,0.0,20.0016,83.2998,REAL_MPLADS
PRJ-2026-0106,Healthcare Work 107,Construction and development of healthcare facilities.,53,53,19,53,53,Healthcare,44377805.510000005,44377805.510000005,0.0,0.0,recommended,2024-04-15,,2025-04-15,,0.0,26.0203,83.0294,REAL_MPLADS
PRJ-2026-0107,Healthcare Work 108,Construction and development of healthcare facilities.,54,54,9,54,54,Healthcare,79693278.26,79693278.26,0.0,0.0,sanctioned,2024-02-18,2024-03-09,2025-02-17,,0.0,25.4644,84.686,REAL_MPLADS
PRJ-2026-0108,Education Work 109,Construction and development of education facilities.,54,54,9,54,54,Education,67306721.74,67306721.74,0.0,0.0,sanctioned,2024-02-06,2024-02-20,2025-02-05,,0.0,23.4847,75.0506,REAL_MPLADS
