Unnamed: 0,project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,data_source,source_file,released_amount_imputed
19,UT09323,Varanasi Constituency,Varanasi,Uttar Pradesh,500000,500000.0,415000.0,ongoing,365,2024-08-08,2025-08-08,,Zilla Parishad,road,35.0,synthetic,sample_projects_synthetic.csv,False
20,WE09726,Howrah Constituency,Howrah,West Bengal,2000000,2000000.0,1642860.43,ongoing,545,2023-12-09,2025-06-06,,Rural Dev Dept,community hall,36.8,synthetic,sample_projects_synthetic.csv,False
21,BI09920,Patna Constituency,Patna,Bihar,200000,100000.0,99359.58,completed,365,2024-05-17,2025-05-17,2025-05-22,Zilla Parishad,electricity,100.0,synthetic,sample_projects_synthetic.csv,False
22,RA10109,Jaipur Constituency,Jaipur,Rajasthan,200000,0.0,0.0,recommended,545,2024-06-24,2025-12-21,,Rural Dev Dept,community hall,,synthetic,sample_projects_synthetic.csv,False
25,BI09503,Patna Constituency,Patna,Bihar,2000000,2000000.0,1016233.73,sanctioned,545,2023-04-06,2024-10-02,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,False
26,AN10430,Guntur Constituency,Guntur,Andhra Pradesh,200000,200000.0,84461.61,ongoing,545,2023-02-26,2024-08-24,,Jal Nigam,irrigation,57.8,synthetic,sample_projects_synthetic.csv,False
28,TA09008,Coimbatore Constituency,Coimbatore,Tamil Nadu,2000000,0.0,0.0,recommended,365,2024-06-11,2025-06-11,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
30,AN09827,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1000000,700000.0,481535.02,stalled,365,2023-09-28,2024-09-27,,Jal Nigam,road,58.7,synthetic,sample_projects_synthetic.csv,True
31,UT09021,Lucknow Constituency,Lucknow,Uttar Pradesh,1500000,1500000.0,974972.86,ongoing,730,2023-05-06,2025-05-05,,Zilla Parishad,community hall,59.8,synthetic,sample_projects_synthetic.csv,False
32,RA09724,Jodhpur Constituency,Jodhpur,Rajasthan,750000,375000.0,169742.22,sanctioned,270,2024-05-13,2025-02-07,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv,False
33,BI09278,Muzaffarpur Constituency,Muzaffarpur,Bihar,2000000,2000000.0,1485686.15,completed,730,2023-12-22,2025-12-21,2025-12-21,Zilla Parishad,drinking water,100.0,synthetic,sample_projects_synthetic.csv,False
34,TA09848,Madurai Constituency,Madurai,Tamil Nadu,500000,350000.0,259118.02,sanctioned,270,2023-12-07,2024-09-02,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,True
35,RA09345,Jodhpur Constituency,Jodhpur,Rajasthan,300000,150000.0,64479.47,completed,365,2023-09-30,2024-09-29,2025-02-20,Rural Dev Dept,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
36,KE09542,Ernakulam Constituency,Ernakulam,Kerala,1000000,1000000.0,533731.18,stalled,270,2024-10-15,2025-07-12,,Jal Nigam,electricity,79.4,synthetic,sample_projects_synthetic.csv,False
37,KE10223,Kozhikode Constituency,Kozhikode,Kerala,300000,0.0,0.0,recommended,730,2023-03-03,2025-03-02,,Jal Nigam,irrigation,,synthetic,sample_projects_synthetic.csv,False
38,KE09424,Kozhikode Constituency,Kozhikode,Kerala,2000000,1000000.0,781940.55,stalled,180,2023-04-20,2023-10-17,,PWD,electricity,63.5,synthetic,sample_projects_synthetic.csv,False
40,KE09073,Ernakulam Constituency,Ernakulam,Kerala,750000,375000.0,229098.13,completed,365,2024-05-24,2025-05-24,2025-05-09,Zilla Parishad,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
41,UT09971,Varanasi Constituency,Varanasi,Uttar Pradesh,200000,140000.0,61729.09,ongoing,90,2024-06-25,2024-09-23,,Jal Nigam,school,53.4,synthetic,sample_projects_synthetic.csv,True
42,UT10462,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,750000,0.0,0.0,recommended,365,2024-05-18,2025-05-18,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv,False
43,KA09864,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,200000,200000.0,143361.19,sanctioned,365,2024-03-27,2025-03-27,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
44,TA10043,Madurai Constituency,Madurai,Tamil Nadu,500000,0.0,0.0,recommended,90,2024-06-05,2024-09-03,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
45,BI09944,Patna Constituency,Patna,Bihar,750000,750000.0,428293.95,stalled,90,2023-06-24,2023-09-22,,Rural Dev Dept,sanitation,37.9,synthetic,sample_projects_synthetic.csv,False
46,MA09843,Pune Constituency,Pune,Maharashtra,750000,375000.0,176250.0,completed,270,2023-05-12,2024-02-06,2024-04-21,Jal Nigam,drinking water,100.0,synthetic,sample_projects_synthetic.csv,False
47,TA10167,Coimbatore Constituency,Coimbatore,Tamil Nadu,200000,200000.0,97934.0,ongoing,730,2024-09-29,2026-09-29,,Rural Dev Dept,sanitation,38.6,synthetic,sample_projects_synthetic.csv,False
48,UT10298,Varanasi Constituency,Varanasi,Uttar Pradesh,500000,0.0,0.0,recommended,545,2023-11-14,2025-05-12,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
50,BI09990,Patna Constituency,Patna,Bihar,500000,250000.0,211015.21,stalled,180,2024-10-07,2025-04-05,,PWD,drinking water,35.3,synthetic,sample_projects_synthetic.csv,False
52,RA09090,Jaipur Constituency,Jaipur,Rajasthan,200000,100000.0,39000.0,completed,730,2024-04-29,2026-04-29,2026-07-11,Jal Nigam,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
53,AN09691,Krishna Constituency,Krishna,Andhra Pradesh,300000,150000.0,122416.12,sanctioned,90,2023-10-30,2024-01-28,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
54,BI09897,Patna Constituency,Patna,Bihar,750000,375000.0,181095.56,stalled,730,2024-03-05,2026-03-05,,PWD,drinking water,79.9,synthetic,sample_projects_synthetic.csv,False
55,KA10216,Mysuru Constituency,Mysuru,Karnataka,500000,500000.0,303998.61,ongoing,180,2024-06-27,2024-12-24,,Rural Dev Dept,community hall,93.2,synthetic,sample_projects_synthetic.csv,False
57,MA09777,Pune Constituency,Pune,Maharashtra,1000000,0.0,0.0,recommended,730,2024-11-01,2026-11-01,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv,False
58,TA09015,Coimbatore Constituency,Coimbatore,Tamil Nadu,300000,300000.0,258000.0,ongoing,365,2024-03-31,2025-03-31,,Jal Nigam,community hall,77.7,synthetic,sample_projects_synthetic.csv,False
59,BI10630,Muzaffarpur Constituency,Muzaffarpur,Bihar,1500000,0.0,0.0,recommended,730,2023-11-07,2025-11-06,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
60,AN10456,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,200000,200000.0,85840.73,sanctioned,365,2023-02-24,2024-02-24,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
62,RA09649,Jodhpur Constituency,Jodhpur,Rajasthan,2000000,2000000.0,1274943.24,completed,365,2024-09-21,2025-09-21,2025-12-30,Jal Nigam,community hall,100.0,synthetic,sample_projects_synthetic.csv,False
63,AN09455,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,750000,375000.0,228750.0,completed,90,2024-03-13,2024-06-11,2024-07-12,Jal Nigam,community hall,100.0,synthetic,sample_projects_synthetic.csv,False
64,AN09140,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,2000000,2000000.0,1560000.0,sanctioned,730,2023-09-16,2025-09-15,,Rural Dev Dept,school,,synthetic,sample_projects_synthetic.csv,False
65,MA10643,Pune Constituency,Pune,Maharashtra,300000,0.0,0.0,recommended,270,2024-10-25,2025-07-22,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,False
66,RA10336,Jaipur Constituency,Jaipur,Rajasthan,500000,500000.0,251087.07,stalled,730,2023-07-23,2025-07-22,,Rural Dev Dept,irrigation,71.1,synthetic,sample_projects_synthetic.csv,False
67,MA09177,Pune Constituency,Pune,Maharashtra,750000,750000.0,349864.01,sanctioned,365,2023-11-18,2024-11-17,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv,False
68,KA10334,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,750000.0,552834.48,stalled,180,2024-10-12,2025-04-10,,Zilla Parishad,road,28.2,synthetic,sample_projects_synthetic.csv,False
69,UT09980,Varanasi Constituency,Varanasi,Uttar Pradesh,1000000,1000000.0,643833.46,sanctioned,90,2024-06-22,2024-09-20,,Jal Nigam,electricity,,synthetic,sample_projects_synthetic.csv,False
70,AN09219,Guntur Constituency,Guntur,Andhra Pradesh,750000,375000.0,262500.0,ongoing,545,2024-05-04,2025-10-31,,PWD,school,12.2,synthetic,sample_projects_synthetic.csv,False
71,TA09553,Coimbatore Constituency,Coimbatore,Tamil Nadu,750000,375000.0,153875.02,stalled,90,2023-05-07,2023-08-05,,Zilla Parishad,school,15.8,synthetic,sample_projects_synthetic.csv,False
72,TA09136,Chennai Constituency,Chennai,Tamil Nadu,500000,500000.0,432090.08,ongoing,270,2024-03-23,2024-12-18,,Jal Nigam,irrigation,74.2,synthetic,sample_projects_synthetic.csv,False
73,MA09781,Nagpur Constituency,Nagpur,Maharashtra,2000000,0.0,0.0,recommended,365,2024-06-07,2025-06-07,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,False
74,MA10020,Nagpur Constituency,Nagpur,Maharashtra,200000,100000.0,67262.81,stalled,545,2024-07-28,2026-01-24,,Jal Nigam,irrigation,48.0,synthetic,sample_projects_synthetic.csv,False
75,BI10405,Gaya Constituency,Gaya,Bihar,750000,0.0,0.0,recommended,270,2023-05-04,2024-01-29,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv,False
76,KE09968,Ernakulam Constituency,Ernakulam,Kerala,300000,300000.0,297879.17,ongoing,180,2024-04-06,2024-10-03,,PWD,road,27.6,synthetic,sample_projects_synthetic.csv,False
77,KE10032,Kozhikode Constituency,Kozhikode,Kerala,200000,0.0,0.0,recommended,90,2024-08-09,2024-11-07,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
78,TA09296,Chennai Constituency,Chennai,Tamil Nadu,300000,150000.0,61500.0,ongoing,730,2023-09-04,2025-09-03,,PWD,sanitation,44.0,synthetic,sample_projects_synthetic.csv,False
79,AN09824,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1500000,0.0,0.0,recommended,90,2023-07-18,2023-10-16,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
81,WE09227,Howrah Constituency,Howrah,West Bengal,500000,250000.0,169262.81,completed,270,2024-06-19,2025-03-16,2025-03-13,Jal Nigam,road,100.0,synthetic,sample_projects_synthetic.csv,False
82,TA09945,Chennai Constituency,Chennai,Tamil Nadu,200000,200000.0,108000.0,sanctioned,90,2024-01-14,2024-04-13,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
83,KE09290,Ernakulam Constituency,Ernakulam,Kerala,300000,300000.0,283778.47,ongoing,730,2024-09-03,2026-09-03,,Zilla Parishad,school,18.1,synthetic,sample_projects_synthetic.csv,False
84,RA09753,Jaipur Constituency,Jaipur,Rajasthan,500000,0.0,0.0,recommended,270,2024-11-11,2025-08-08,,Jal Nigam,electricity,,synthetic,sample_projects_synthetic.csv,False
85,KA09938,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,300000,0.0,0.0,recommended,270,2023-08-31,2024-05-27,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
86,BI10231,Patna Constituency,Patna,Bihar,200000,0.0,0.0,recommended,545,2024-05-06,2025-11-02,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
87,WE09925,Howrah Constituency,Howrah,West Bengal,500000,0.0,0.0,recommended,270,2024-09-30,2025-06-27,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
88,AN09873,Guntur Constituency,Guntur,Andhra Pradesh,2000000,2000000.0,1232431.16,completed,270,2023-04-05,2023-12-31,2024-07-05,PWD,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
90,UT10075,Varanasi Constituency,Varanasi,Uttar Pradesh,750000,750000.0,528168.98,sanctioned,270,2023-12-30,2024-09-25,,Jal Nigam,road,,synthetic,sample_projects_synthetic.csv,False
91,MA09204,Pune Constituency,Pune,Maharashtra,500000,500000.0,210000.0,ongoing,90,2024-09-05,2024-12-04,,Jal Nigam,school,56.7,synthetic,sample_projects_synthetic.csv,False
92,TA09304,Madurai Constituency,Madurai,Tamil Nadu,200000,0.0,0.0,recommended,365,2023-10-11,2024-10-10,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
93,KE10422,Kozhikode Constituency,Kozhikode,Kerala,750000,375000.0,285000.0,sanctioned,270,2024-09-19,2025-06-16,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,False
94,UT09845,Varanasi Constituency,Varanasi,Uttar Pradesh,500000,500000.0,310439.44,ongoing,90,2023-12-02,2024-03-01,,PWD,electricity,58.4,synthetic,sample_projects_synthetic.csv,False
95,AN10469,Guntur Constituency,Guntur,Andhra Pradesh,1000000,0.0,0.0,recommended,365,2023-11-19,2024-11-18,,Zilla Parishad,road,,synthetic,sample_projects_synthetic.csv,False
96,UT10420,Lucknow Constituency,Lucknow,Uttar Pradesh,200000,140000.0,100800.0,stalled,270,2023-05-17,2024-02-11,,Rural Dev Dept,drinking water,93.8,synthetic,sample_projects_synthetic.csv,True
97,TA09054,Chennai Constituency,Chennai,Tamil Nadu,750000,375000.0,157659.42,stalled,365,2023-08-12,2024-08-11,,PWD,school,49.6,synthetic,sample_projects_synthetic.csv,False
98,AN10384,Guntur Constituency,Guntur,Andhra Pradesh,200000,100000.0,67450.8,stalled,270,2023-10-18,2024-07-14,,Zilla Parishad,electricity,92.0,synthetic,sample_projects_synthetic.csv,False
100,MA09499,Pune Constituency,Pune,Maharashtra,750000,0.0,0.0,recommended,270,2024-09-08,2025-06-05,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,False
101,AN09554,Guntur Constituency,Guntur,Andhra Pradesh,200000,0.0,0.0,recommended,90,2023-01-06,2023-04-06,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
102,BI09080,Gaya Constituency,Gaya,Bihar,200000,100000.0,44309.59,completed,90,2023-03-10,2023-06-08,2023-06-04,Rural Dev Dept,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
104,RA10379,Jodhpur Constituency,Jodhpur,Rajasthan,2000000,1000000.0,427347.12,completed,270,2023-02-15,2023-11-12,2024-03-04,Jal Nigam,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
106,RA10031,Jodhpur Constituency,Jodhpur,Rajasthan,200000,0.0,0.0,recommended,270,2023-10-16,2024-07-12,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
107,BI10566,Muzaffarpur Constituency,Muzaffarpur,Bihar,1000000,0.0,0.0,recommended,365,2023-09-04,2024-09-03,,Zilla Parishad,road,,synthetic,sample_projects_synthetic.csv,False
108,TA09289,Coimbatore Constituency,Coimbatore,Tamil Nadu,1000000,0.0,0.0,recommended,270,2024-04-13,2025-01-08,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,False
109,UT09887,Lucknow Constituency,Lucknow,Uttar Pradesh,500000,500000.0,492330.65,completed,270,2023-10-03,2024-06-29,2024-10-19,PWD,electricity,100.0,synthetic,sample_projects_synthetic.csv,False
110,WE10145,Kolkata Constituency,Kolkata,West Bengal,200000,200000.0,146828.1,stalled,270,2024-09-27,2025-06-24,,PWD,irrigation,77.5,synthetic,sample_projects_synthetic.csv,False
111,WE09430,Howrah Constituency,Howrah,West Bengal,500000,500000.0,240047.83,sanctioned,730,2023-07-02,2025-07-01,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,False
112,UT09017,Lucknow Constituency,Lucknow,Uttar Pradesh,1000000,1000000.0,690000.0,ongoing,545,2023-05-16,2024-11-11,,Rural Dev Dept,school,91.2,synthetic,sample_projects_synthetic.csv,False
113,WE09515,Kolkata Constituency,Kolkata,West Bengal,1500000,1500000.0,1290000.0,stalled,180,2024-09-10,2025-03-09,,Jal Nigam,irrigation,54.6,synthetic,sample_projects_synthetic.csv,False
114,UT10103,Lucknow Constituency,Lucknow,Uttar Pradesh,750000,0.0,0.0,recommended,90,2023-03-13,2023-06-11,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
115,MA09235,Pune Constituency,Pune,Maharashtra,1000000,1000000.0,650000.0,sanctioned,180,2024-05-09,2024-11-05,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
116,UT09277,Lucknow Constituency,Lucknow,Uttar Pradesh,2000000,2000000.0,1164903.24,completed,90,2023-06-10,2023-09-08,2024-02-27,Jal Nigam,school,100.0,synthetic,sample_projects_synthetic.csv,False
117,BI09831,Muzaffarpur Constituency,Muzaffarpur,Bihar,200000,0.0,0.0,recommended,730,2023-01-14,2025-01-13,,Jal Nigam,community hall,,synthetic,sample_projects_synthetic.csv,False
120,RA10340,Jodhpur Constituency,Jodhpur,Rajasthan,1000000,1000000.0,881462.33,ongoing,270,2023-10-05,2024-07-01,,PWD,drinking water,22.2,synthetic,sample_projects_synthetic.csv,False
121,KA10085,Mysuru Constituency,Mysuru,Karnataka,500000,500000.0,469570.31,ongoing,90,2024-10-12,2025-01-10,,Rural Dev Dept,irrigation,87.1,synthetic,sample_projects_synthetic.csv,False
122,KA10434,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,750000,750000.0,372314.44,stalled,365,2023-06-19,2024-06-18,,Jal Nigam,school,73.8,synthetic,sample_projects_synthetic.csv,False
123,KE09975,Kozhikode Constituency,Kozhikode,Kerala,1500000,0.0,0.0,recommended,270,2023-01-09,2023-10-06,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv,False
124,TA10494,Coimbatore Constituency,Coimbatore,Tamil Nadu,2000000,0.0,0.0,recommended,730,2024-11-29,2026-11-29,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
125,KA10024,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,2000000,1000000.0,730169.89,ongoing,545,2023-10-23,2025-04-20,,Rural Dev Dept,sanitation,30.3,synthetic,sample_projects_synthetic.csv,False
126,BI10380,Patna Constituency,Patna,Bihar,500000,0.0,0.0,recommended,730,2023-03-06,2025-03-05,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,False
127,KE10364,Ernakulam Constituency,Ernakulam,Kerala,500000,500000.0,245000.0,sanctioned,90,2023-10-17,2024-01-15,,PWD,electricity,,synthetic,sample_projects_synthetic.csv,False
128,KE10766,Ernakulam Constituency,Ernakulam,Kerala,500000,0.0,0.0,recommended,270,2023-04-08,2024-01-03,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
129,WE09535,Howrah Constituency,Howrah,West Bengal,1500000,1500000.0,694457.46,sanctioned,545,2024-08-23,2026-02-19,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
130,TA09614,Chennai Constituency,Chennai,Tamil Nadu,500000,500000.0,495439.21,ongoing,180,2024-04-03,2024-09-30,,PWD,community hall,25.1,synthetic,sample_projects_synthetic.csv,False
131,MA09098,Pune Constituency,Pune,Maharashtra,200000,0.0,0.0,recommended,545,2023-04-21,2024-10-17,,PWD,school,,synthetic,sample_projects_synthetic.csv,False
132,KE09261,Ernakulam Constituency,Ernakulam,Kerala,750000,375000.0,298265.51,completed,90,2024-04-20,2024-07-19,2024-07-23,Rural Dev Dept,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
133,AN09581,Guntur Constituency,Guntur,Andhra Pradesh,300000,150000.0,125476.78,completed,365,2024-03-02,2025-03-02,2025-02-21,PWD,school,100.0,synthetic,sample_projects_synthetic.csv,False
134,UT09577,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,750000,525000.0,304500.0,sanctioned,180,2024-11-20,2025-05-19,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,True
135,TA09835,Chennai Constituency,Chennai,Tamil Nadu,750000,750000.0,562500.0,stalled,90,2024-05-04,2024-08-02,,PWD,sanitation,12.1,synthetic,sample_projects_synthetic.csv,False
136,BI09545,Patna Constituency,Patna,Bihar,2000000,2000000.0,1737166.89,sanctioned,180,2023-09-18,2024-03-16,,PWD,school,,synthetic,sample_projects_synthetic.csv,False
137,MA09737,Nagpur Constituency,Nagpur,Maharashtra,750000,0.0,0.0,recommended,730,2024-11-10,2026-11-10,,PWD,sanitation,,synthetic,sample_projects_synthetic.csv,False
139,KA09811,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,750000.0,312126.79,ongoing,365,2024-06-17,2025-06-17,,PWD,school,66.6,synthetic,sample_projects_synthetic.csv,False
140,AN09541,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1000000,500000.0,383282.16,completed,180,2024-05-13,2024-11-09,2025-04-26,PWD,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
141,MA09363,Nagpur Constituency,Nagpur,Maharashtra,500000,500000.0,478622.42,completed,365,2023-10-26,2024-10-25,2025-03-02,PWD,school,100.0,synthetic,sample_projects_synthetic.csv,False
142,RA09171,Jodhpur Constituency,Jodhpur,Rajasthan,1500000,0.0,0.0,recommended,365,2023-08-25,2024-08-24,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
143,WE09276,Kolkata Constituency,Kolkata,West Bengal,300000,300000.0,254399.65,stalled,270,2024-07-21,2025-04-17,,Rural Dev Dept,community hall,88.6,synthetic,sample_projects_synthetic.csv,False
144,WE09517,Howrah Constituency,Howrah,West Bengal,1000000,1000000.0,470487.38,completed,270,2023-01-30,2023-10-27,2024-04-26,Jal Nigam,drinking water,100.0,synthetic,sample_projects_synthetic.csv,False
146,KA10423,Mysuru Constituency,Mysuru,Karnataka,1000000,500000.0,403252.46,sanctioned,365,2024-09-01,2025-09-01,,Zilla Parishad,road,,synthetic,sample_projects_synthetic.csv,False
147,RA09960,Jaipur Constituency,Jaipur,Rajasthan,500000,500000.0,383252.63,sanctioned,545,2024-10-01,2026-03-30,,PWD,road,,synthetic,sample_projects_synthetic.csv,False
148,TA09665,Chennai Constituency,Chennai,Tamil Nadu,1500000,0.0,0.0,recommended,730,2023-03-13,2025-03-12,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
149,AN09010,Guntur Constituency,Guntur,Andhra Pradesh,500000,500000.0,341895.06,stalled,365,2023-05-19,2024-05-18,,Rural Dev Dept,community hall,21.2,synthetic,sample_projects_synthetic.csv,False
150,AN09317,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,500000,250000.0,186154.41,sanctioned,180,2024-10-22,2025-04-20,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,False
151,RA09309,Jodhpur Constituency,Jodhpur,Rajasthan,750000,750000.0,659814.39,completed,365,2024-08-10,2025-08-10,2025-10-13,PWD,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
153,KE09483,Ernakulam Constituency,Ernakulam,Kerala,200000,200000.0,154178.91,sanctioned,270,2023-11-21,2024-08-17,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,False
154,TA09260,Chennai Constituency,Chennai,Tamil Nadu,1500000,1500000.0,899230.31,stalled,180,2023-10-14,2024-04-11,,Jal Nigam,drinking water,54.1,synthetic,sample_projects_synthetic.csv,False
156,UT10675,Lucknow Constituency,Lucknow,Uttar Pradesh,300000,0.0,0.0,recommended,90,2024-10-21,2025-01-19,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,False
157,AN09155,Guntur Constituency,Guntur,Andhra Pradesh,2000000,0.0,0.0,recommended,365,2023-03-11,2024-03-10,,Rural Dev Dept,community hall,,synthetic,sample_projects_synthetic.csv,False
160,WE09847,Kolkata Constituency,Kolkata,West Bengal,750000,375000.0,305610.94,ongoing,180,2024-10-01,2025-03-30,,Rural Dev Dept,sanitation,23.5,synthetic,sample_projects_synthetic.csv,False
161,KE09680,Ernakulam Constituency,Ernakulam,Kerala,300000,0.0,0.0,recommended,365,2023-08-27,2024-08-26,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,False
