district_id,district_name,state_id
370,LUCKNOW,5
371,PANCHMAHAL,22
372,DARJEELING,4
373,SITAPUR,5
374,DHUBRI,10
375,BASTI,5
376,SHRAWASTI,5
377,KHAMMAM,19
378,SALEMPUR,5
379,SULTANPUR,5
380,KANPUR,5
381,BIJAPUR(SC),21
382,JHANJHARPUR,3
383,SOUTH DELHI,20
384,Sonitpur,10
385,GURGAON,27
386,JAIPUR RURAL,12
387,PATNA SAHIB,3
388,MUMBAI NORTH WEST,1
389,GORAKHPUR,5
390,MIZORAM (ST),34
391,TIRUNELVELI,15
392,RAJGARH,9
393,MAHASAMUND,23
394,MORADABAD,5
395,DHENKANAL,14
396,NAGALAND,35
397,MADURAI,15
398,ARAKKONAM,15
399,DINDIGUL,15
400,BIDAR,21
401,TURA,16
402,PURI,14
403,BALLIA,5
404,MUMBAI NORTH EAST,1
405,PARBHANI,1
406,PASCHIM CHAMPARAN,3
407,KARIMNAGAR,19
408,RANCHI,17
409,YAVATMAL-WASHIM,1
410,BHARATPUR(SC),12
411,RAJNANDGAON,23
412,KORAPUT(ST),14
413,FARIDKOT(SC),13
414,TIRUVALLUR(SC),15
415,SONEPAT,27
416,BISHNUPUR(SC),4
417,DHAR(ST),9
418,JADAVPUR,4
419,SIRSA(SC),27
420,SALEM,15
421,NAGAPATTINAM(SC),15
422,VADAKARA,6
423,SAMASTIPUR(SC),3
424,INDORE,9
425,DEORIA,5
426,ASANSOL,4
427,FIROZPUR,13
428,MORENA,9
429,VIDISHA,9
430,BANGALORE NORTH,21
431,SABARKANTHA,22
432,HASSAN,21
433,BHIWANI MAHENDRAGARH,27
434,DIAMOND HARBOUR,4
435,FATEHGARH SAHIB(SC),13
436,GANDHINAGAR,22
437,UJJAIN(SC),9
438,BIKANER(SC),12
439,SHAHJAHANPUR(SC),5
440,SHIMOGA,21
441,CHALAKUDY,6
442,CUTTACK,14
443,GIRIDIH,17
444,GHATAL,4
445,AMRITSAR,13
446,NAGAUR,12
447,ERNAKULAM,6
448,MAHARAJGANJ_BR,3
449,SUNDARGARH (ST),14
450,JAMMU,2
451,PURULIA,4
452,SIVAGANGA,15
453,KANNUR,6
454,BANGALORE SOUTH,21
455,KOZHIKODE,6
456,VARANASI,5
457,KOLLAM,6
458,PALI,12
459,KASARAGOD,6
460,DIBRUGARH,10
461,ALIGARH,5
462,BANGAON(SC),4
463,MANDSOUR,9
464,MAVELIKKARA(SC),6
465,ARUNACHAL EAST,30
466,KANNIYAKUMARI,15
467,KALYAN,1
468,SATARA,1
469,NORTH GOA,26
470,MAVAL,1
471,RAMTEK(SC),1
472,VIJAYAWADA,11
473,BASIRHAT,4
474,JALGAON,1
475,MIRZAPUR,5
476,BHUBANESWAR,14
477,MAINPURI,5
478,BHATINDA,13
479,MATHURA,5
480,SHAHDOL (ST),9
481,JAMNAGAR,22
482,RAVER,1
483,KARUR,15
484,ULUBERIA,4
485,BHIND(SC),9
486,BOLANGIR,14
487,BIRBHUM,4
488,BARAMATI,1
489,VAISHALI,3
490,VISAKHAPATNAM,11
491,ARRAH,3
492,MAYILADUTHURAI,15
493,BUXAR,3
494,KOLKATA UTTAR,4
495,KANDHAMAL,14
496,LOHARDAGA(ST),17
497,GURDASPUR,13
498,CHAMARAJANAGAR(SC),21
499,RAIGAD,1
500,VALMIKI NAGAR,3
501,JAHANABAD,3
502,THRISSUR,6
503,SHIMLA (SC),18
504,ZAHIRABAD,19
505,UNNAO,5
506,CHENNAI SOUTH,15
507,KAKINADA,11
508,BARABANKI(SC),5
509,KATIHAR,3
510,SRIPERUMBUDUR,15
511,THENI,15
512,ARANI,15
513,CHENNAI CENTRAL,15
514,CHIDAMBARAM(SC),15
515,BILASPUR,23
516,HARDWAR,7
517,ALLAHABAD,5
518,BARMER,12
519,KHERI,5
520,NAMAKKAL,15
521,TUMKUR,21
522,Puducherry,36
523,PEDDAPALLE,19
524,AMBALA (SC),27
525,PALAKKAD,6
526,DURG,23
527,KUSHI NAGAR,5
528,RAJMAHAL(ST),17
529,SIWAN,3
530,KACHCHH(SC),22
531,BHADOHI,5
532,TIKAMGARH(SC),9
533,CHANDAULI,5
534,SANGLI,1
535,PALAMU(SC),17
536,KHAJURAHO,9
537,UTTARA KANNADA,21
538,NAWADA,3
539,KADAPA,11
540,MYSORE,21
541,NORTH WEST DELHI(SC),20
542,SAMBHAL,5
