Unnamed: 0,project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,data_source,source_file,drop_reason,released_amount_imputed,flag_reason
406,AN10515,Krishna Constituency,,Andhra Pradesh,500000,500000.0,366535.71,sanctioned,730,2024-08-27,2026-08-27,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
415,KE10520,Ernakulam Constituency,,Kerala,2000000,,768353.08,stalled,730,2023-01-18,2025-01-17,,PWD,electricity,82.6,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
446,KA10531,Bengaluru Urban Constituency,,Karnataka,200000,100000.0,92950.89,ongoing,90,2024-10-09,2025-01-07,,Jal Nigam,electricity,62.6,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
559,WE10542,Howrah Constituency,,West Bengal,1000000,1000000.0,832175.03,sanctioned,180,2023-05-31,2023-11-27,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
590,UT10521,Lucknow Constituency,,Uttar Pradesh,200000,100000.0,50505.36,sanctioned,90,2024-05-15,2024-08-13,,Jal Nigam,electricity,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
656,RA10519,Jaipur Constituency,,Rajasthan,750000,0.0,0.0,recommended,545,2023-12-06,2025-06-03,,PWD,school,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
668,RA10507,Jodhpur Constituency,,Rajasthan,750000,750000.0,591731.42,stalled,730,2024-03-07,2026-03-07,,Rural Dev Dept,sanitation,58.8,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
670,KA10537,Bengaluru Urban Constituency,,Karnataka,200000,0.0,0.0,recommended,730,2023-10-28,2025-10-27,,PWD,road,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
672,TA10536,Coimbatore Constituency,,Tamil Nadu,1000000,500000.0,485217.2,sanctioned,270,2024-09-11,2025-06-08,,Jal Nigam,electricity,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
708,BI10547,Gaya Constituency,,Bihar,1000000,500000.0,1241871.77,sanctioned,545,2023-12-04,2025-06-01,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
734,KE10512,Ernakulam Constituency,,Kerala,200000,200000.0,166754.98,completed,180,2024-05-10,2024-11-06,2024-10-10,PWD,irrigation,100.0,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
741,TA10540,Coimbatore Constituency,,Tamil Nadu,1500000,1500000.0,2644302.33,sanctioned,270,2023-10-22,2024-07-18,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
760,UT10504,Lucknow Constituency,,Uttar Pradesh,1000000,500000.0,359408.98,stalled,90,2023-12-30,2024-03-29,,PWD,community hall,33.9,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
798,RA10524,Jodhpur Constituency,,Rajasthan,750000,375000.0,325917.04,sanctioned,90,2024-04-15,2024-07-14,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
827,TA10546,Chennai Constituency,,Tamil Nadu,1000000,1000000.0,596629.26,stalled,180,2023-05-10,2023-11-06,,PWD,community hall,60.0,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
924,TA10505,Madurai Constituency,,Tamil Nadu,750000,0.0,0.0,recommended,180,2024-11-05,2025-05-04,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
944,UT10522,Varanasi Constituency,,Uttar Pradesh,1500000,0.0,2067594.87,recommended,270,2023-10-21,2024-07-17,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
947,RA10528,Jodhpur Constituency,,Rajasthan,500000,250000.0,742815.28,stalled,365,2024-07-03,2025-07-03,,Rural Dev Dept,sanitation,75.2,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1014,TA10544,Madurai Constituency,,Tamil Nadu,750000,750000.0,611888.88,stalled,270,2023-03-06,2023-12-01,,Zilla Parishad,sanitation,87.6,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1095,MA10509,Nagpur Constituency,,Maharashtra,1000000,500000.0,1314460.13,sanctioned,730,2023-01-10,2025-01-09,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1131,KA10545,Mysuru Constituency,,Karnataka,1500000,1500000.0,1447463.26,stalled,730,2023-08-22,2025-08-21,,Jal Nigam,sanitation,33.9,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1260,RA10541,Jaipur Constituency,,Rajasthan,1000000,1000000.0,821593.74,completed,730,2024-05-22,2026-05-22,2026-08-28,Rural Dev Dept,school,100.0,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1263,KE10506,Kozhikode Constituency,,Kerala,2000000,2000000.0,1981579.81,stalled,90,2023-10-23,2024-01-21,,Rural Dev Dept,community hall,22.2,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1308,MA10532,Pune Constituency,,Maharashtra,2000000,1000000.0,836279.07,stalled,365,2023-02-22,2024-02-22,,Jal Nigam,school,27.3,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1324,KA10529,Mysuru Constituency,,Karnataka,1500000,1500000.0,1830291.4,sanctioned,180,2024-06-12,2024-12-09,,PWD,road,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1448,AN10549,Krishna Constituency,,Andhra Pradesh,750000,750000.0,650238.37,ongoing,270,2024-03-29,2024-12-24,,Jal Nigam,irrigation,35.3,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1507,KA10539,Belagavi Constituency,,Karnataka,2000000,2000000.0,1054640.24,sanctioned,365,2024-06-24,2025-06-24,,Jal Nigam,community hall,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1544,WE10525,Howrah Constituency,,West Bengal,1500000,1500000.0,659932.49,stalled,90,2023-01-14,2023-04-14,,Jal Nigam,sanitation,64.2,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1638,TA10517,Coimbatore Constituency,,Tamil Nadu,750000,0.0,1301962.35,recommended,270,2024-11-13,2025-08-10,,Rural Dev Dept,community hall,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1641,UT10501,Varanasi Constituency,,Uttar Pradesh,1500000,1500000.0,634363.82,ongoing,545,2023-11-05,2025-05-03,,PWD,drinking water,16.8,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1665,TA10513,Madurai Constituency,,Tamil Nadu,1500000,1500000.0,2013291.79,sanctioned,180,2024-03-15,2024-09-11,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1692,BI10516,Muzaffarpur Constituency,,Bihar,300000,150000.0,464563.44,completed,180,2023-01-19,2023-07-18,2023-09-10,Rural Dev Dept,road,100.0,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1708,RA10514,Jaipur Constituency,,Rajasthan,1500000,0.0,0.0,recommended,270,2024-04-27,2025-01-22,,Jal Nigam,road,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1886,TA10511,Coimbatore Constituency,,Tamil Nadu,2000000,,0.0,recommended,365,2024-04-28,2025-04-28,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1892,WE10510,Howrah Constituency,,West Bengal,2000000,2000000.0,1652546.68,stalled,545,2024-07-01,2025-12-28,,Zilla Parishad,school,33.0,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1910,KA10508,Belagavi Constituency,,Karnataka,500000,500000.0,234198.4,stalled,365,2023-03-27,2024-03-26,,PWD,community hall,38.1,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1940,AN10523,Krishna Constituency,,Andhra Pradesh,750000,750000.0,408365.67,sanctioned,365,2023-09-16,2024-09-15,,Zilla Parishad,road,,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1950,BI10526,Muzaffarpur Constituency,,Bihar,200000,200000.0,194534.38,ongoing,270,2023-10-13,2024-07-09,,Jal Nigam,irrigation,50.4,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1976,TA10543,Madurai Constituency,,Tamil Nadu,500000,250000.0,175560.5,stalled,270,2023-12-23,2024-09-18,,Rural Dev Dept,school,38.5,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
1995,KE10502,Kozhikode Constituency,,Kerala,1000000,1000000.0,629320.96,ongoing,545,2023-04-26,2024-10-22,,PWD,school,54.1,synthetic,sample_projects_synthetic.csv,missing requried identifying fields,,
0,WE10551,Howrah Constituency,Howrah,West Bengal,1500000,0.0,1000.0,recommended,545,2023-06-14,2024-12-10,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
2,AN10752,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,300000,300000.0,477661.5,ongoing,730,2024-05-27,2026-05-27,,Rural Dev Dept,community hall,70.3,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
5,AN10558,Krishna Constituency,Krishna,Andhra Pradesh,300000,300000.0,171997.8,sanctioned,365,2023-01-19,2024-01-19,,PWD,school,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
9,BI10646,Gaya Constituency,Gaya,Bihar,200000,100000.0,99004.6,ongoing,180,2023-10-22,2024-04-19,,Jal Nigam,school,70.5,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
11,AN10647,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,300000,150000.0,222795.98,ongoing,730,2024-02-04,2026-02-03,,Jal Nigam,electricity,18.9,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
14,MA10575,Pune Constituency,Pune,Maharashtra,750000,750000.0,456261.3,stalled,545,2024-07-25,2026-01-21,,Jal Nigam,drinking water,59.8,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
23,BI10730,Gaya Constituency,Gaya,Bihar,200000,200000.0,193566.75,sanctioned,730,2024-10-02,2026-10-02,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
24,TA10606,Chennai Constituency,Chennai,Tamil Nadu,300000,300000.0,316321.22,completed,365,2024-05-30,2025-05-30,2025-08-29,Jal Nigam,school,100.0,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
27,AN10684,Krishna Constituency,Krishna,Andhra Pradesh,750000,750000.0,915326.84,sanctioned,365,2024-02-12,2025-02-11,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
29,TA10688,Madurai Constituency,Madurai,Tamil Nadu,2000000,2000000.0,2701629.83,stalled,90,2024-10-01,2024-12-30,,PWD,community hall,61.6,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
39,BI10750,Gaya Constituency,Gaya,Bihar,750000,375000.0,2090070.05,sanctioned,545,2023-10-05,2025-04-02,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
49,UT10710,Varanasi Constituency,Varanasi,Uttar Pradesh,300000,300000.0,286039.42,ongoing,180,2023-10-24,2024-04-21,,Zilla Parishad,electricity,58.7,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
51,UT10691,Lucknow Constituency,Lucknow,Uttar Pradesh,500000,250000.0,225450.18,stalled,545,2023-11-21,2025-05-19,,PWD,community hall,63.7,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
56,AN10558,Krishna Constituency,Krishna,Andhra Pradesh,300000,300000.0,120139.13,sanctioned,365,2023-01-19,2024-01-19,,PWD,school,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
59,BI10630,Muzaffarpur Constituency,Muzaffarpur,Bihar,1500000,0.0,1000.0,recommended,730,2023-11-07,2025-11-06,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
61,TA10757,Chennai Constituency,Chennai,Tamil Nadu,300000,300000.0,394735.43,sanctioned,90,2024-06-03,2024-09-01,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
65,MA10643,Pune Constituency,Pune,Maharashtra,300000,0.0,1000.0,recommended,270,2024-10-25,2025-07-22,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
80,RA10617,Jodhpur Constituency,Jodhpur,Rajasthan,1500000,750000.0,1185983.48,ongoing,180,2023-04-21,2023-10-18,,Rural Dev Dept,irrigation,60.3,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
89,WE10609,Kolkata Constituency,Kolkata,West Bengal,200000,200000.0,325006.52,ongoing,545,2024-08-26,2026-02-22,,PWD,irrigation,80.7,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
99,TA10676,Coimbatore Constituency,Coimbatore,Tamil Nadu,1000000,1000000.0,787399.81,sanctioned,180,2024-01-21,2024-07-19,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
103,WE10573,Howrah Constituency,Howrah,West Bengal,500000,250000.0,156388.88,completed,90,2023-08-12,2023-11-10,2023-11-19,Rural Dev Dept,irrigation,100.0,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
105,KE10581,Kozhikode Constituency,Kozhikode,Kerala,500000,500000.0,310936.57,sanctioned,90,2023-10-06,2024-01-04,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
107,BI10566,Muzaffarpur Constituency,Muzaffarpur,Bihar,1000000,0.0,2014009.48,recommended,365,2023-09-04,2024-09-03,,Zilla Parishad,road,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
118,AN10577,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1500000,750000.0,817324.44,stalled,270,2023-07-21,2024-04-16,,Zilla Parishad,electricity,83.3,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
128,KE10766,Ernakulam Constituency,Ernakulam,Kerala,500000,0.0,1000.0,recommended,270,2023-04-08,2024-01-03,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
138,BI10658,Gaya Constituency,Gaya,Bihar,200000,100000.0,73126.14,ongoing,730,2023-09-22,2025-09-21,,Zilla Parishad,community hall,15.6,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
145,TA10669,Chennai Constituency,Chennai,Tamil Nadu,1000000,0.0,746150.47,sanctioned,270,2023-09-15,2024-06-11,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,,True,"same project id , conflicting expenditure values"
152,UT10736,Lucknow Constituency,Lucknow,Uttar Pradesh,200000,100000.0,82497.71,sanctioned,90,2023-06-26,2023-09-24,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
155,RA10570,Jaipur Constituency,Jaipur,Rajasthan,1000000,500000.0,648921.01,completed,270,2024-08-07,2025-05-04,2025-07-06,Zilla Parishad,sanitation,100.0,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
156,UT10675,Lucknow Constituency,Lucknow,Uttar Pradesh,300000,0.0,0.0,recommended,90,2024-10-21,2025-01-19,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
158,RA10625,Jodhpur Constituency,Jodhpur,Rajasthan,500000,500000.0,484324.78,completed,90,2023-02-02,2023-05-03,2023-05-10,PWD,community hall,100.0,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
159,UT10608,Lucknow Constituency,Lucknow,Uttar Pradesh,1500000,1500000.0,992129.23,stalled,545,2023-09-21,2025-03-19,,Rural Dev Dept,electricity,62.5,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
162,UT10607,Lucknow Constituency,Lucknow,Uttar Pradesh,200000,100000.0,110866.57,sanctioned,180,2024-05-16,2024-11-12,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
165,TA10567,Madurai Constituency,Madurai,Tamil Nadu,750000,750000.0,747037.19,sanctioned,90,2023-09-06,2023-12-05,,Jal Nigam,community hall,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
166,AN10657,Krishna Constituency,Krishna,Andhra Pradesh,2000000,1000000.0,1265416.29,ongoing,180,2024-05-14,2024-11-10,,Zilla Parishad,road,56.8,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
169,AN10735,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,2000000,1000000.0,1316404.33,ongoing,730,2024-09-03,2026-09-03,,Rural Dev Dept,drinking water,48.1,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
174,KA10708,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,750000,375000.0,454411.08,ongoing,180,2024-07-25,2025-01-21,,PWD,sanitation,52.8,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
175,AN10701,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,2000000,1000000.0,3003903.71,ongoing,180,2023-07-19,2024-01-15,,Rural Dev Dept,sanitation,29.3,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
180,KE10602,Ernakulam Constituency,Ernakulam,Kerala,2000000,2000000.0,1904951.6,sanctioned,270,2024-02-21,2024-11-17,,PWD,school,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
181,BI10589,Muzaffarpur Constituency,Muzaffarpur,Bihar,1000000,0.0,0.0,recommended,545,2024-01-18,2025-07-16,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
185,WE10592,Howrah Constituency,Howrah,West Bengal,2000000,1000000.0,806536.44,sanctioned,730,2023-01-18,2025-01-17,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
187,AN10728,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1000000,500000.0,622115.36,completed,545,2023-09-24,2025-03-22,2025-03-17,Jal Nigam,sanitation,100.0,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
190,BI10773,Patna Constituency,Patna,Bihar,750000,0.0,2127935.08,recommended,545,2024-01-19,2025-07-17,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
191,BI10576,Patna Constituency,Patna,Bihar,1000000,1000000.0,855112.5,ongoing,270,2023-05-28,2024-02-22,,PWD,drinking water,54.6,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
204,MA10746,Nagpur Constituency,Nagpur,Maharashtra,500000,500000.0,707037.09,completed,270,2024-07-26,2025-04-22,2025-08-07,Zilla Parishad,sanitation,100.0,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
206,KA10723,Mysuru Constituency,Mysuru,Karnataka,1500000,1500000.0,2388158.86,stalled,730,2024-05-18,2026-05-18,,PWD,community hall,35.6,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
209,UT10720,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,1000000,1000000.0,630050.11,sanctioned,730,2023-12-09,2025-12-08,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
214,WE10692,Howrah Constituency,Howrah,West Bengal,1000000,0.0,1000.0,recommended,90,2024-11-02,2025-01-31,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
221,UT10736,Lucknow Constituency,Lucknow,Uttar Pradesh,200000,100000.0,54816.19,sanctioned,90,2023-06-26,2023-09-24,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
224,KE10560,Kozhikode Constituency,Kozhikode,Kerala,750000,0.0,1000.0,recommended,270,2024-02-19,2024-11-15,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
226,BI10612,Patna Constituency,Patna,Bihar,300000,150000.0,98470.4,ongoing,730,2023-12-02,2025-12-01,,PWD,drinking water,17.8,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
230,KE10713,Ernakulam Constituency,Ernakulam,Kerala,1000000,1000000.0,1224789.89,sanctioned,270,2023-07-10,2024-04-05,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
235,AN10756,Guntur Constituency,Guntur,Andhra Pradesh,200000,200000.0,156533.24,sanctioned,730,2023-01-17,2025-01-16,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
239,RA10740,Jodhpur Constituency,Jodhpur,Rajasthan,200000,200000.0,304285.31,ongoing,365,2024-03-15,2025-03-15,,Jal Nigam,school,27.3,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
245,UT10586,Varanasi Constituency,Varanasi,Uttar Pradesh,750000,0.0,1000.0,recommended,545,2024-04-17,2025-10-14,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
247,UT10720,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,1000000,1000000.0,465595.21,sanctioned,730,2023-12-09,2025-12-08,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
249,TA10774,Madurai Constituency,Madurai,Tamil Nadu,300000,300000.0,273708.31,sanctioned,730,2023-01-23,2025-01-22,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
250,UT10712,Varanasi Constituency,Varanasi,Uttar Pradesh,200000,200000.0,231228.69,completed,180,2024-11-02,2025-05-01,2025-04-07,PWD,irrigation,100.0,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
257,BI10611,Patna Constituency,Patna,Bihar,500000,500000.0,423843.0,sanctioned,270,2023-07-24,2024-04-19,,Rural Dev Dept,community hall,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
258,MA10738,Pune Constituency,Pune,Maharashtra,1500000,750000.0,1260361.41,stalled,730,2023-04-20,2025-04-19,,Jal Nigam,electricity,22.5,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
268,UT10610,Lucknow Constituency,Lucknow,Uttar Pradesh,1000000,0.0,1000.0,recommended,90,2023-03-05,2023-06-03,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
279,AN10707,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,500000,500000.0,318563.78,ongoing,90,2024-07-27,2024-10-25,,Rural Dev Dept,road,72.7,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
284,RA10732,Jaipur Constituency,Jaipur,Rajasthan,1500000,1500000.0,1541487.76,sanctioned,180,2024-02-04,2024-08-02,,Jal Nigam,community hall,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
293,RA10564,Jodhpur Constituency,Jodhpur,Rajasthan,750000,750000.0,1271642.21,sanctioned,270,2024-04-22,2025-01-17,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
296,MA10695,Pune Constituency,Pune,Maharashtra,1500000,750000.0,534263.76,sanctioned,545,2024-04-18,2025-10-15,,PWD,community hall,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
300,RA10594,Jodhpur Constituency,Jodhpur,Rajasthan,1000000,1000000.0,1349289.56,stalled,365,2024-07-05,2025-07-05,,Rural Dev Dept,school,52.8,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
303,KE10624,Ernakulam Constituency,Ernakulam,Kerala,1500000,750000.0,743778.32,sanctioned,90,2024-08-10,2024-11-08,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
304,BI10603,Patna Constituency,Patna,Bihar,750000,375000.0,248457.43,stalled,90,2024-07-14,2024-10-12,,PWD,drinking water,18.5,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
305,BI10771,Muzaffarpur Constituency,Muzaffarpur,Bihar,1500000,1500000.0,930091.59,ongoing,365,2023-07-10,2024-07-09,,Rural Dev Dept,drinking water,81.2,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
308,TA10698,Coimbatore Constituency,Coimbatore,Tamil Nadu,200000,0.0,0.0,recommended,180,2023-02-08,2023-08-07,,PWD,road,,synthetic,sample_projects_synthetic.csv,,False,"same project id , conflicting expenditure values"
