project_id,constituency,district,mp_name,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,released_amount_imputed
KE03055,Kozhikode Constituency,Kozhikode,Manoj Gowda,Kerala,1500000.0,750000.0,471517.07,completed,545.0,2023-04-21,2024-10-17,2024-11-22,PWD,sanitation,100.0,False
KA03056,Bengaluru Urban Constituency,Bengaluru Urban,Kavita Rao,Karnataka,500000.0,0.0,796312.97,recommended,365.0,2023-06-13,2024-06-12,,Zilla Parishad,community hall,,False
WE03057,Howrah Constituency,Howrah,Meena Singh,West Bengal,1000000.0,1000000.0,903267.08,sanctioned,365.0,2023-03-19,2024-03-18,,Rural Dev Dept,electricity,,False
KE03058,Ernakulam Constituency,Ernakulam,Priya Singh,Kerala,500000.0,0.0,0.0,recommended,180.0,2024-10-18,2025-04-16,,Rural Dev Dept,road,,False
OD03059,Cuttack Constituency,Cuttack,Rajesh Sharma,Odisha,500000.0,500000.0,588736.2,ongoing,730.0,2024-10-28,2026-10-28,,PWD,community hall,24.4,False
KA03060,Bengaluru Urban Constituency,Bengaluru Urban,Kavita Rao,Karnataka,500000.0,250000.0,649898.07,sanctioned,730.0,2024-02-04,2026-02-03,,Rural Dev Dept,electricity,,False
MA03061,Nagpur Constituency,Nagpur,Ramesh Reddy,Maharashtra,300000.0,300000.0,186591.46,completed,90.0,2024-02-24,2024-05-24,2024-06-01,Zilla Parishad,irrigation,100.0,False
OD03062,Cuttack Constituency,Cuttack,Rajesh Sharma,Odisha,1000000.0,1000000.0,768839.84,ongoing,365.0,2023-05-06,2024-05-05,,Zilla Parishad,irrigation,25.6,False
KA03063,Mysuru Constituency,Mysuru,Manoj Singh,Karnataka,200000.0,200000.0,78139.48,ongoing,730.0,2024-09-10,2026-09-10,,Zilla Parishad,sanitation,27.3,False
AN03064,Visakhapatnam Constituency,Visakhapatnam,Sanjay Reddy,Andhra Pradesh,300000.0,0.0,0.0,recommended,180.0,2024-09-18,2025-03-17,,Zilla Parishad,sanitation,,False
WE03065,Kolkata Constituency,Kolkata,Lakshmi Naidu,West Bengal,2500000.0,2500000.0,1264368.78,sanctioned,270.0,2023-03-08,2023-12-03,,PWD,community hall,,False
TA03066,Coimbatore Constituency,Coimbatore,Ramesh Naidu,Tamil Nadu,500000.0,500000.0,192254.13,stalled,90.0,2023-01-11,2023-04-11,,Zilla Parishad,irrigation,7.4,False
KE03067,Kozhikode Constituency,Kozhikode,Manoj Gowda,Kerala,2000000.0,2000000.0,1678211.12,stalled,730.0,2023-02-25,2025-02-24,,Zilla Parishad,irrigation,36.3,False
WE03068,Kolkata Constituency,Kolkata,Lakshmi Naidu,West Bengal,300000.0,300000.0,159126.12,ongoing,270.0,2023-04-26,2024-01-21,,Rural Dev Dept,electricity,23.1,False
TA03069,Coimbatore Constituency,Coimbatore,Ramesh Naidu,Tamil Nadu,750000.0,375000.0,360751.05,ongoing,180.0,2024-10-03,2025-04-01,,PWD,community hall,31.3,False
RA03070,Jodhpur Constituency,Jodhpur,Meena Verma,Rajasthan,750000.0,375000.0,258379.53,sanctioned,180.0,2024-04-01,2024-09-28,,Rural Dev Dept,road,,False
TA03071,Coimbatore Constituency,Coimbatore,Ramesh Naidu,Tamil Nadu,1000000.0,1000000.0,444555.35,ongoing,365.0,2023-09-08,2024-09-07,,PWD,community hall,68.3,False
BI03072,Muzaffarpur Constituency,Muzaffarpur,Priya Nair,Bihar,1500000.0,1500000.0,1068836.69,sanctioned,545.0,2024-06-22,2025-12-19,,Jal Nigam,drinking water,,False
RA03073,Jodhpur Constituency,Jodhpur,Meena Verma,Rajasthan,1500000.0,1500000.0,1186307.84,ongoing,90.0,2023-01-21,2023-04-21,,Jal Nigam,community hall,88.7,False
KE03074,Kozhikode Constituency,Kozhikode,Manoj Gowda,Kerala,300000.0,150000.0,59598.35,ongoing,365.0,2023-01-10,2024-01-10,,Jal Nigam,electricity,77.5,False
WE03075,Howrah Constituency,Howrah,Meena Singh,West Bengal,1000000.0,500000.0,400394.35,stalled,545.0,2023-04-19,2024-10-15,,PWD,drinking water,25.1,False
MA03076,Pune Constituency,Pune,Sunita Reddy,Maharashtra,300000.0,150000.0,127598.82,ongoing,270.0,2023-09-29,2024-06-25,,Jal Nigam,road,92.9,False
KA03077,Mysuru Constituency,Mysuru,Manoj Singh,Karnataka,2500000.0,2500000.0,1231974.32,completed,365.0,2023-06-02,2024-06-01,2024-06-21,Jal Nigam,irrigation,100.0,False
WE03078,Kolkata Constituency,Kolkata,Lakshmi Naidu,West Bengal,1500000.0,750000.0,2854962.22,completed,365.0,2024-05-14,2025-05-14,2025-10-03,Rural Dev Dept,electricity,100.0,False
TA03079,Chennai Constituency,Chennai,Manoj Rao,Tamil Nadu,2500000.0,1250000.0,1200905.96,completed,90.0,2023-10-09,2024-01-07,2024-03-27,Rural Dev Dept,irrigation,100.0,False
RA03080,Jaipur Constituency,Jaipur,Ramesh Kumar,Rajasthan,2500000.0,2500000.0,1286987.71,completed,180.0,2024-11-17,2025-05-16,2025-09-14,Jal Nigam,irrigation,100.0,False
PU03081,Ludhiana Constituency,Ludhiana,Ramesh Iyer,Punjab,2500000.0,2500000.0,1579278.85,stalled,545.0,2023-05-02,2024-10-28,,Rural Dev Dept,community hall,13.1,False
OD03082,Cuttack Constituency,Cuttack,Rajesh Sharma,Odisha,750000.0,750000.0,597969.52,completed,270.0,2023-10-02,2024-06-28,2024-08-19,Jal Nigam,electricity,100.0,False
AN03083,Krishna Constituency,Krishna,Priya Kumar,Andhra Pradesh,1500000.0,1500000.0,835327.13,ongoing,730.0,2023-06-07,2025-06-06,,Jal Nigam,sanitation,59.4,False
UT03084,Varanasi Constituency,Varanasi,Arjun Naidu,Uttar Pradesh,2500000.0,2500000.0,2370785.67,ongoing,730.0,2024-06-27,2026-06-27,,PWD,road,19.9,False
KA03085,Mysuru Constituency,Mysuru,Manoj Singh,Karnataka,2500000.0,1250000.0,569688.55,sanctioned,90.0,2023-01-08,2023-04-08,,Zilla Parishad,irrigation,,False
KA03086,Belagavi Constituency,Belagavi,Sanjay Gowda,Karnataka,2500000.0,2500000.0,3639948.67,ongoing,270.0,2024-03-24,2024-12-19,,PWD,sanitation,21.6,False
BI03087,Gaya Constituency,Gaya,Lakshmi Kumar,Bihar,300000.0,300000.0,99747.46,stalled,365.0,2023-05-19,2024-05-18,,Zilla Parishad,road,12.2,False
KE03088,Kozhikode Constituency,Kozhikode,Manoj Gowda,Kerala,500000.0,500000.0,443159.87,ongoing,545.0,2024-07-14,2026-01-10,,Jal Nigam,irrigation,76.5,False
KA03089,Mysuru Constituency,Mysuru,Manoj Singh,Karnataka,500000.0,0.0,0.0,recommended,180.0,2024-09-20,2025-03-19,,Zilla Parishad,sanitation,,False
TA03090,Coimbatore Constituency,Coimbatore,Ramesh Naidu,Tamil Nadu,1500000.0,1500000.0,1432779.53,ongoing,545.0,2023-06-20,2024-12-16,,Rural Dev Dept,irrigation,33.8,False
MA03091,Pune Constituency,Pune,Sunita Reddy,Maharashtra,1000000.0,500000.0,168531.69,ongoing,545.0,2024-05-10,2025-11-06,,Jal Nigam,road,63.5,False
AN03092,Guntur Constituency,Guntur,Arjun Gowda,Andhra Pradesh,1500000.0,1500000.0,684783.43,stalled,365.0,2023-12-09,2024-12-08,,Rural Dev Dept,drinking water,14.8,False
AN03093,Guntur Constituency,Guntur,Arjun Gowda,Andhra Pradesh,1500000.0,1500000.0,683485.64,sanctioned,545.0,2024-08-12,2026-02-08,,PWD,school,,False
MA03094,Nagpur Constituency,Nagpur,Ramesh Reddy,Maharashtra,1500000.0,750000.0,1889435.06,ongoing,730.0,2024-09-23,2026-09-23,,PWD,community hall,41.0,False
UT03095,Kanpur Nagar Constituency,Kanpur Nagar,Kavita Nair,Uttar Pradesh,1500000.0,750000.0,531217.09,ongoing,90.0,2023-05-28,2023-08-26,,Zilla Parishad,sanitation,20.9,False
TA03096,Madurai Constituency,Madurai,Anita Verma,Tamil Nadu,200000.0,200000.0,194564.37,completed,90.0,2024-05-07,2024-08-05,2024-07-10,Jal Nigam,electricity,100.0,False
MA03097,Nagpur Constituency,Nagpur,Ramesh Reddy,Maharashtra,2000000.0,2000000.0,737833.06,ongoing,730.0,2024-04-02,2026-04-02,,Jal Nigam,irrigation,58.6,False
OD03098,Cuttack Constituency,Cuttack,Rajesh Sharma,Odisha,1500000.0,750000.0,2218487.68,stalled,545.0,2023-11-29,2025-05-27,,PWD,irrigation,33.3,False
OD03099,Cuttack Constituency,Cuttack,Rajesh Sharma,Odisha,200000.0,0.0,0.0,recommended,90.0,2023-05-19,2023-08-17,,Jal Nigam,irrigation,,False
AN03100,Visakhapatnam Constituency,Visakhapatnam,Sanjay Reddy,Andhra Pradesh,750000.0,0.0,0.0,recommended,730.0,2023-05-01,2025-04-30,,Zilla Parishad,sanitation,,False
RA03101,Jaipur Constituency,Jaipur,Ramesh Kumar,Rajasthan,300000.0,300000.0,127919.48,sanctioned,730.0,2023-12-18,2025-12-17,,Zilla Parishad,electricity,,False
AN03102,Krishna Constituency,Krishna,Priya Kumar,Andhra Pradesh,200000.0,100000.0,321954.07,ongoing,365.0,2024-10-25,2025-10-25,,Zilla Parishad,school,77.6,False
UT03103,Lucknow Constituency,Lucknow,Sanjay Verma,Uttar Pradesh,1500000.0,1500000.0,559152.64,stalled,90.0,2024-09-30,2024-12-29,,PWD,school,19.1,False
KA03104,Belagavi Constituency,Belagavi,Sanjay Gowda,Karnataka,750000.0,375000.0,1107990.06,sanctioned,545.0,2024-04-07,2025-10-04,,PWD,irrigation,,False
KE03105,Ernakulam Constituency,Ernakulam,Priya Singh,Kerala,1000000.0,1000000.0,952365.96,sanctioned,730.0,2023-03-30,2025-03-29,,Jal Nigam,school,,False
RA03106,Jaipur Constituency,Jaipur,Ramesh Kumar,Rajasthan,2000000.0,2000000.0,1276367.24,completed,270.0,2023-12-19,2024-09-14,2025-01-22,Jal Nigam,electricity,100.0,False
AN03107,Visakhapatnam Constituency,Visakhapatnam,Sanjay Reddy,Andhra Pradesh,2000000.0,1000000.0,676683.61,completed,180.0,2023-01-03,2023-07-02,2023-08-21,Zilla Parishad,school,100.0,False
KA03108,Bengaluru Urban Constituency,Bengaluru Urban,Kavita Rao,Karnataka,2000000.0,1000000.0,711257.33,ongoing,270.0,2023-12-01,2024-08-27,,Jal Nigam,irrigation,39.9,False
KA03109,Mysuru Constituency,Mysuru,Manoj Singh,Karnataka,1500000.0,1500000.0,1497798.04,ongoing,730.0,2023-11-14,2025-11-13,,Zilla Parishad,road,90.2,False
UT03110,Varanasi Constituency,Varanasi,Arjun Naidu,Uttar Pradesh,2000000.0,2000000.0,1249714.23,ongoing,545.0,2024-09-19,2026-03-18,,PWD,electricity,85.3,False
AN03111,Visakhapatnam Constituency,Visakhapatnam,Sanjay Reddy,Andhra Pradesh,300000.0,0.0,0.0,recommended,270.0,2023-12-24,2024-09-19,,PWD,drinking water,,False
BI03112,Gaya Constituency,Gaya,Lakshmi Kumar,Bihar,300000.0,300000.0,251330.41,completed,545.0,2023-07-13,2025-01-08,2025-04-01,PWD,school,100.0,False
UT03113,Varanasi Constituency,Varanasi,Arjun Naidu,Uttar Pradesh,750000.0,375000.0,300355.6,sanctioned,180.0,2024-06-15,2024-12-12,,Jal Nigam,irrigation,,False
KE03114,Kozhikode Constituency,Kozhikode,Manoj Gowda,Kerala,300000.0,150000.0,136553.55,completed,270.0,2024-07-26,2025-04-22,2025-06-17,Zilla Parishad,electricity,100.0,False
TA03115,Madurai Constituency,Madurai,Anita Verma,Tamil Nadu,1500000.0,1500000.0,1218187.57,completed,545.0,2023-10-12,2025-04-09,2025-07-19,Jal Nigam,community hall,100.0,False
MA03116,Nagpur Constituency,Nagpur,Ramesh Reddy,Maharashtra,300000.0,300000.0,135990.66,stalled,180.0,2023-01-10,2023-07-09,,Rural Dev Dept,sanitation,33.4,False
OD03117,Cuttack Constituency,Cuttack,Rajesh Sharma,Odisha,2000000.0,2000000.0,1777761.76,ongoing,270.0,2023-10-03,2024-06-29,,Zilla Parishad,community hall,80.6,False
UT03118,Kanpur Nagar Constituency,Kanpur Nagar,Kavita Nair,Uttar Pradesh,750000.0,750000.0,689050.95,completed,365.0,2023-02-08,2024-02-08,2024-05-13,Rural Dev Dept,community hall,100.0,False
TA03119,Madurai Constituency,Madurai,Anita Verma,Tamil Nadu,300000.0,150000.0,488202.62,ongoing,90.0,2024-03-19,2024-06-17,,Jal Nigam,irrigation,32.4,False
AN03120,Krishna Constituency,Krishna,Priya Kumar,Andhra Pradesh,300000.0,150000.0,65727.54,completed,90.0,2023-07-14,2023-10-12,2024-01-10,Jal Nigam,irrigation,100.0,False
WE03121,Kolkata Constituency,Kolkata,Lakshmi Naidu,West Bengal,300000.0,300000.0,239421.19,ongoing,365.0,2024-05-31,2025-05-31,,Jal Nigam,community hall,38.5,False
AN03122,Visakhapatnam Constituency,Visakhapatnam,Sanjay Reddy,Andhra Pradesh,2500000.0,2500000.0,1069773.85,ongoing,730.0,2023-06-21,2025-06-20,,PWD,road,19.2,False
RA03123,Jaipur Constituency,Jaipur,Ramesh Kumar,Rajasthan,2500000.0,1250000.0,892856.49,completed,545.0,2024-09-09,2026-03-08,2026-02-07,Rural Dev Dept,irrigation,100.0,False
AN03124,Krishna Constituency,Krishna,Priya Kumar,Andhra Pradesh,750000.0,750000.0,495646.79,stalled,270.0,2023-01-16,2023-10-13,,Rural Dev Dept,road,36.9,False
TA03125,Madurai Constituency,Madurai,Anita Verma,Tamil Nadu,1500000.0,1500000.0,1470858.04,ongoing,180.0,2023-06-12,2023-12-09,,Jal Nigam,community hall,71.6,False
RA03126,Jaipur Constituency,Jaipur,Ramesh Kumar,Rajasthan,1000000.0,1000000.0,908002.87,ongoing,730.0,2023-12-26,2025-12-25,,Rural Dev Dept,road,20.0,False
TA03127,Madurai Constituency,Madurai,Anita Verma,Tamil Nadu,1000000.0,1000000.0,532060.37,sanctioned,365.0,2024-11-23,2025-11-23,,Jal Nigam,sanitation,,False
KE03128,Ernakulam Constituency,Ernakulam,Priya Singh,Kerala,2500000.0,2500000.0,2278352.71,stalled,90.0,2023-04-05,2023-07-04,,PWD,electricity,6.7,False
AN03129,Krishna Constituency,Krishna,Priya Kumar,Andhra Pradesh,500000.0,500000.0,290976.79,completed,545.0,2024-03-05,2025-09-01,2025-08-29,Rural Dev Dept,sanitation,100.0,False
BI03130,Gaya Constituency,Gaya,Lakshmi Kumar,Bihar,750000.0,375000.0,363954.55,ongoing,365.0,2023-10-02,2024-10-01,,Zilla Parishad,drinking water,58.6,False
KE03131,Kozhikode Constituency,Kozhikode,Manoj Gowda,Kerala,2000000.0,0.0,0.0,recommended,545.0,2023-02-09,2024-08-07,,Rural Dev Dept,drinking water,,False
KA03132,Belagavi Constituency,Belagavi,Sanjay Gowda,Karnataka,300000.0,150000.0,50871.08,ongoing,270.0,2023-10-24,2024-07-20,,Zilla Parishad,irrigation,78.0,False
AN03133,Guntur Constituency,Guntur,Arjun Gowda,Andhra Pradesh,2000000.0,2000000.0,865034.07,completed,365.0,2023-10-03,2024-10-02,2024-09-09,Zilla Parishad,road,100.0,False
PU03134,Ludhiana Constituency,Ludhiana,Ramesh Iyer,Punjab,1000000.0,500000.0,307982.1,ongoing,270.0,2023-09-09,2024-06-05,,Jal Nigam,irrigation,82.6,False
OD03135,Cuttack Constituency,Cuttack,Rajesh Sharma,Odisha,1500000.0,1500000.0,1407710.06,stalled,545.0,2023-07-05,2024-12-31,,PWD,sanitation,31.1,False
UT03136,Varanasi Constituency,Varanasi,Arjun Naidu,Uttar Pradesh,300000.0,300000.0,133234.93,ongoing,180.0,2023-09-19,2024-03-17,,Jal Nigam,school,17.7,False
UT03137,Varanasi Constituency,Varanasi,Arjun Naidu,Uttar Pradesh,300000.0,300000.0,141469.71,ongoing,365.0,2023-09-03,2024-09-02,,PWD,irrigation,68.6,False
KE03138,Kozhikode Constituency,Kozhikode,Manoj Gowda,Kerala,2500000.0,1250000.0,573614.16,ongoing,365.0,2024-06-27,2025-06-27,,Rural Dev Dept,drinking water,77.5,False
MA03139,Nagpur Constituency,Nagpur,Ramesh Reddy,Maharashtra,1500000.0,1500000.0,725681.24,sanctioned,180.0,2024-01-05,2024-07-03,,Rural Dev Dept,electricity,,False
KE03140,Ernakulam Constituency,Ernakulam,Priya Singh,Kerala,200000.0,100000.0,70928.06,ongoing,90.0,2024-10-10,2025-01-08,,PWD,electricity,25.7,False
MA03141,Pune Constituency,Pune,Sunita Reddy,Maharashtra,1000000.0,500000.0,192054.13,sanctioned,365.0,2023-07-05,2024-07-04,,Jal Nigam,drinking water,,False
AN03142,Guntur Constituency,Guntur,Arjun Gowda,Andhra Pradesh,1000000.0,1000000.0,717834.81,stalled,90.0,2024-06-01,2024-08-30,,Jal Nigam,road,29.2,False
UT03143,Varanasi Constituency,Varanasi,Arjun Naidu,Uttar Pradesh,2000000.0,2000000.0,1306071.94,stalled,180.0,2024-04-20,2024-10-17,,Rural Dev Dept,sanitation,39.8,False
KE03144,Ernakulam Constituency,Ernakulam,Priya Singh,Kerala,1500000.0,1500000.0,1370398.11,ongoing,270.0,2023-06-30,2024-03-26,,PWD,sanitation,57.9,False
