constituency_id,constituency_name,district_id
370,LUCKNOW,370
371,PANCHMAHAL,371
372,DARJEELING,372
373,SITAPUR,373
374,DHUBRI,374
375,BASTI,375
376,SHRAWASTI,376
377,KHAMMAM,377
378,SALEMPUR,378
379,SULTANPUR,379
380,KANPUR,380
381,BIJAPUR(SC),381
382,JHANJHARPUR,382
383,SOUTH DELHI,383
384,Sonitpur,384
385,GURGAON,385
386,JAIPUR RURAL,386
387,PATNA SAHIB,387
388,MUMBAI NORTH WEST,388
389,GORAKHPUR,389
390,MIZORAM (ST),390
391,TIRUNELVELI,391
392,RAJGARH,392
393,MAHASAMUND,393
394,MORADABAD,394
395,DHENKANAL,395
396,NAGALAND,396
397,MADURAI,397
398,ARAKKONAM,398
399,DINDIGUL,399
400,BIDAR,400
401,TURA,401
402,PURI,402
403,BALLIA,403
404,MUMBAI NORTH EAST,404
405,PARBHANI,405
406,PASCHIM CHAMPARAN,406
407,KARIMNAGAR,407
408,RANCHI,408
409,YAVATMAL-WASHIM,409
410,BHARATPUR(SC),410
411,RAJNANDGAON,411
412,KORAPUT(ST),412
413,FARIDKOT(SC),413
414,TIRUVALLUR(SC),414
415,SONEPAT,415
416,BISHNUPUR(SC),416
417,DHAR(ST),417
418,JADAVPUR,418
419,SIRSA(SC),419
420,SALEM,420
421,NAGAPATTINAM(SC),421
422,VADAKARA,422
423,SAMASTIPUR(SC),423
424,INDORE,424
425,DEORIA,425
426,ASANSOL,426
427,FIROZPUR,427
428,MORENA,428
429,VIDISHA,429
430,BANGALORE NORTH,430
431,SABARKANTHA,431
432,HASSAN,432
433,BHIWANI MAHENDRAGARH,433
434,DIAMOND HARBOUR,434
435,FATEHGARH SAHIB(SC),435
436,GANDHINAGAR,436
437,UJJAIN(SC),437
438,BIKANER(SC),438
439,SHAHJAHANPUR(SC),439
440,SHIMOGA,440
441,CHALAKUDY,441
442,CUTTACK,442
443,GIRIDIH,443
444,GHATAL,444
445,AMRITSAR,445
446,NAGAUR,446
447,ERNAKULAM,447
448,MAHARAJGANJ_BR,448
449,SUNDARGARH (ST),449
450,JAMMU,450
451,PURULIA,451
452,SIVAGANGA,452
453,KANNUR,453
454,BANGALORE SOUTH,454
455,KOZHIKODE,455
456,VARANASI,456
457,KOLLAM,457
458,PALI,458
459,KASARAGOD,459
460,DIBRUGARH,460
461,ALIGARH,461
462,BANGAON(SC),462
463,MANDSOUR,463
464,MAVELIKKARA(SC),464
465,ARUNACHAL EAST,465
466,KANNIYAKUMARI,466
467,KALYAN,467
468,SATARA,468
469,NORTH GOA,469
470,MAVAL,470
471,RAMTEK(SC),471
472,VIJAYAWADA,472
473,BASIRHAT,473
474,JALGAON,474
475,MIRZAPUR,475
476,BHUBANESWAR,476
477,MAINPURI,477
478,BHATINDA,478
479,MATHURA,479
480,SHAHDOL (ST),480
481,JAMNAGAR,481
482,RAVER,482
483,KARUR,483
484,ULUBERIA,484
485,BHIND(SC),485
486,BOLANGIR,486
487,BIRBHUM,487
488,BARAMATI,488
489,VAISHALI,489
490,VISAKHAPATNAM,490
491,ARRAH,491
492,MAYILADUTHURAI,492
493,BUXAR,493
494,KOLKATA UTTAR,494
495,KANDHAMAL,495
496,LOHARDAGA(ST),496
497,GURDASPUR,497
498,CHAMARAJANAGAR(SC),498
499,RAIGAD,499
500,VALMIKI NAGAR,500
501,JAHANABAD,501
502,THRISSUR,502
503,SHIMLA (SC),503
504,ZAHIRABAD,504
505,UNNAO,505
506,CHENNAI SOUTH,506
507,KAKINADA,507
508,BARABANKI(SC),508
509,KATIHAR,509
510,SRIPERUMBUDUR,510
511,THENI,511
512,ARANI,512
513,CHENNAI CENTRAL,513
514,CHIDAMBARAM(SC),514
515,BILASPUR,515
516,HARDWAR,516
517,ALLAHABAD,517
518,BARMER,518
519,KHERI,519
520,NAMAKKAL,520
521,TUMKUR,521
522,Puducherry,522
523,PEDDAPALLE,523
524,AMBALA (SC),524
525,PALAKKAD,525
526,DURG,526
527,KUSHI NAGAR,527
528,RAJMAHAL(ST),528
529,SIWAN,529
530,KACHCHH(SC),530
531,BHADOHI,531
532,TIKAMGARH(SC),532
533,CHANDAULI,533
534,SANGLI,534
535,PALAMU(SC),535
536,KHAJURAHO,536
537,UTTARA KANNADA,537
538,NAWADA,538
539,KADAPA,539
540,MYSORE,540
541,NORTH WEST DELHI(SC),541
542,SAMBHAL,542
