mp_id,name,constituency_id,state_id,parliamentary_house,active_period
47,ARUN GOVIL,47,5,Lok Sabha,2024-2029
48,ARUN NEHRU,48,15,Lok Sabha,2024-2029
49,ARUNA. D. K,49,19,Lok Sabha,2024-2029
50,ARUP CHAKRABORTY,50,4,Lok Sabha,2024-2029
51,Arvind Dharmapuri,51,19,Lok Sabha,2024-2029
52,Arvind Ganpat Sawant,52,1,Lok Sabha,2024-2029
53,Asaduddin Owaisi,53,19,Lok Sabha,2024-2029
54,ASHISH DUBEY,54,9,Lok Sabha,2024-2029
55,Ashok Kumar Rawat,55,5,Lok Sabha,2024-2029
56,Ashok Kumar Yadav,56,3,Lok Sabha,2024-2029
57,Asit Kumar Mal,57,4,Lok Sabha,2024-2029
58,ATUL GARG,58,5,Lok Sabha,2024-2029
59,AVIMANYU SETHI,59,14,Lok Sabha,2024-2029
60,AWADHESH PRASAD,60,5,Lok Sabha,2024-2029
61,AZAD KIRTI JHA,61,4,Lok Sabha,2024-2029
62,B K PARTHASARATHI,62,11,Lok Sabha,2024-2029
63,BABU SINGH KUSHWAHA,63,5,Lok Sabha,2024-2029
64,BACHHAV SHOBHA DINESH,64,1,Lok Sabha,2024-2029
65,BAG MITALI,65,4,Lok Sabha,2024-2029
66,BAIJAYANT PANDA,66,14,Lok Sabha,2024-2029
67,BAJRANG MANOHAR SONWANE,67,1,Lok Sabha,2024-2029
68,BALABHADRA MAJHI,68,14,Lok Sabha,2024-2029
69,Balashowry Vallabbhaneni,69,11,Lok Sabha,2024-2029
70,BALRAM NAIK PORIKA,70,19,Lok Sabha,2024-2029
71,BALWANT BASWANT WANKHADE,71,1,Lok Sabha,2024-2029
72,BALYA MAMA SURESH GOPINATH MHATRE,72,1,Lok Sabha,2024-2029
73,Bansuri Swaraj,73,20,Lok Sabha,2024-2029
74,BAPI HALDAR,74,4,Lok Sabha,2024-2029
75,BASAVARAJ BOMMAI,75,21,Lok Sabha,2024-2029
76,BASTIPATI NAGARAJU PANCHALINGALA,76,11,Lok Sabha,2024-2029
77,Bhagirath Chaudhary,77,12,Lok Sabha,2024-2029
78,BHAJAN LAL JATAV,78,12,Lok Sabha,2024-2029
79,BHARAT SINGH KUSHWAH,79,9,Lok Sabha,2024-2029
80,BHARATBHAI MANUBHAI SUTARIYA,80,22,Lok Sabha,2024-2029
81,Bharatsinhji Shankarji Dabhi,81,22,Lok Sabha,2024-2029
82,BHARTI PARDHI,82,9,Lok Sabha,2024-2029
83,BHASKAR MURLIDHAR BHAGARE,83,1,Lok Sabha,2024-2029
84,BHAUSAHEB RAJARAM WAKCHAURE,84,1,Lok Sabha,2024-2029
85,BHOJRAJ NAG,85,23,Lok Sabha,2024-2029
86,Bhola Singh,86,5,Lok Sabha,2024-2029
87,BHUMARE SANDIPANRAO ASARAM,87,1,Lok Sabha,2024-2029
88,Bhupathiraju Srinivasa varma,88,11,Lok Sabha,2024-2029
89,BHUPENDER YADAV,89,12,Lok Sabha,2024-2029
90,BIBHU PRASAD TARAI,90,14,Lok Sabha,2024-2029
91,Bidyut Baran Mahato,91,17,Lok Sabha,2024-2029
92,BIJULI KALITA MEDHI,92,10,Lok Sabha,2024-2029
93,BIPLAB KUMAR DEB,93,24,Lok Sabha,2024-2029
94,BISHNU PADA RAY,94,25,Lok Sabha,2024-2029
95,BRIJENDRA SINGH OLA,95,12,Lok Sabha,2024-2029
96,BRIJMOHAN AGRAWAL,96,23,Lok Sabha,2024-2029
97,BUNTY VIVEK SAHU,97,9,Lok Sabha,2024-2029
98,C R Patil,98,22,Lok Sabha,2024-2029
99,C.M.RAMESH,99,11,Lok Sabha,2024-2029
100,CAPTAIN BRIJESH CHOWTA,100,21,Lok Sabha,2024-2029
101,CAPTAIN VIRIATO FERNANDES,101,26,Lok Sabha,2024-2029
102,CHAMALA KIRAN KUMAR REDDY,102,19,Lok Sabha,2024-2029
103,CHANDAN CHAUHAN,103,5,Lok Sabha,2024-2029
104,Chandra Prakash Joshi,104,12,Lok Sabha,2024-2029
105,CHANDRA SHEKHAR,105,5,Lok Sabha,2024-2029
106,CHANDUBHAI CHHAGANBHAI SHIHORA,106,22,Lok Sabha,2024-2029
107,CHARANJIT SINGH CHANNI,107,13,Lok Sabha,2024-2029
108,CHAVAN VASANTRAO BALWANTRAO,108,1,Lok Sabha,2024-2029
109,CHHATRA PAL SINGH GANGWAR,109,5,Lok Sabha,2024-2029
110,CHHATRAPATI SHAHU SHAHAJI,110,1,Lok Sabha,2024-2029
111,CHHOTELAL,111,5,Lok Sabha,2024-2029
112,CHINTAMANI MAHARAJ,112,23,Lok Sabha,2024-2029
113,CHIRAG PASWAN,113,3,Lok Sabha,2024-2029
114,CN Annadurai,114,15,Lok Sabha,2024-2029
115,D M Kathir Anand,115,15,Lok Sabha,2024-2029
116,D Ravikumar,116,15,Lok Sabha,2024-2029
117,Daggubati Purandeshwari,117,11,Lok Sabha,2024-2029
118,DAGGUMALLA PRASADA RAO,118,11,Lok Sabha,2024-2029
119,DAMODAR AGARWAL,119,12,Lok Sabha,2024-2029
120,DAROGA PRASAD SAROJ,120,5,Lok Sabha,2024-2029
121,DARSHAN SINGH CHOUDHARY,121,9,Lok Sabha,2024-2029
122,DEEPENDER SINGH HOODA,122,27,Lok Sabha,2024-2029
123,Devendra Alias Bhole Singh,123,5,Lok Sabha,2024-2029
124,DEVESH CHANDRA THAKUR,124,3,Lok Sabha,2024-2029
125,DEVESH SHAKYA,125,5,Lok Sabha,2024-2029
126,Devusinh Jesingbhai Chauhan,126,22,Lok Sabha,2024-2029
127,Dhairyasheel Sambhajirao Mane,127,1,Lok Sabha,2024-2029
128,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,128,1,Lok Sabha,2024-2029
129,DHARMENDRA PRADHAN,129,14,Lok Sabha,2024-2029
130,DHARMENDRA YADAV,130,5,Lok Sabha,2024-2029
131,DHAVAL LAXMANBHAI PATEL,131,22,Lok Sabha,2024-2029
132,Dileshwar Kamait,132,3,Lok Sabha,2024-2029
133,Dilip Saikia,133,10,Lok Sabha,2024-2029
134,Dinesh Chandra Yadav,134,3,Lok Sabha,2024-2029
135,DINESHBHAI MAKWANA,135,22,Lok Sabha,2024-2029
136,DR BYREDDY SHABARI,136,11,Lok Sabha,2024-2029
137,DR C N MANJUNATH,137,21,Lok Sabha,2024-2029
138,Dr Chandra Sekhar Pemmasani,138,11,Lok Sabha,2024-2029
139,DR DHARAMVIRA GANDHI,139,13,Lok Sabha,2024-2029
140,Dr Jayanta Kumar Roy,140,4,Lok Sabha,2024-2029
141,DR KALGE SHIVAJI BANDAPPA,141,1,Lok Sabha,2024-2029
142,Dr Mohammad Jawed,142,3,Lok Sabha,2024-2029
143,DR RAJKUMAR SANGWAN,143,5,Lok Sabha,2024-2029
144,DR RANI SRI KUMAR,144,15,Lok Sabha,2024-2029
145,Dr Shashi Tharoor,145,6,Lok Sabha,2024-2029
146,Dr Sukanta Majumdar,146,4,Lok Sabha,2024-2029
147,DR. HEMANG JOSHI,147,22,Lok Sabha,2024-2029
148,DR. HEMANT VISHNU SAVARA,148,1,Lok Sabha,2024-2029
149,DR. KIRSAN NAMDEO,149,1,Lok Sabha,2024-2029
150,DR. LATA WANKHEDE,150,9,Lok Sabha,2024-2029
151,DR. M.P ABDUSSAMAD SAMADANI,151,6,Lok Sabha,2024-2029
152,DR. MANSUKH MANDAVIYA,152,22,Lok Sabha,2024-2029
153,DR. PRABHA MALLIKARJUN,153,21,Lok Sabha,2024-2029
154,DR. PRADEEP KUMAR PANIGRAHY,154,14,Lok Sabha,2024-2029
155,DR. PRASHANT YADAORAO PADOLE,155,1,Lok Sabha,2024-2029
156,DR. RAJ KUMAR CHABBEWAL,156,13,Lok Sabha,2024-2029
157,DR. RAJESH MISHRA,157,9,Lok Sabha,2024-2029
158,DR. S P SINGH,158,5,Lok Sabha,2024-2029
159,DR. SHARMILA SARKAR,159,4,Lok Sabha,2024-2029
160,DR.K.SUDHAKAR,160,21,Lok Sabha,2024-2029
161,DR.MALLU RAVI,161,19,Lok Sabha,2024-2029
162,DULU MAHATO,162,17,Lok Sabha,2024-2029
163,DURAI VAIKO,163,15,Lok Sabha,2024-2029
164,Durga Das Uikey,164,9,Lok Sabha,2024-2029
165,Dushyant Singh,165,12,Lok Sabha,2024-2029
166,E. TUKARAM,166,21,Lok Sabha,2024-2029
167,E.T. MOHAMMED BASHEER,167,6,Lok Sabha,2024-2029
168,EATALA RAJENDER,168,19,Lok Sabha,2024-2029
169,ESWARASAMY K,169,15,Lok Sabha,2024-2029
170,Faggan Singh Kulaste,170,9,Lok Sabha,2024-2029
171,G. KUMAR NAIK,171,21,Lok Sabha,2024-2029
172,GAIKWAD VARSHA EKNATH,172,1,Lok Sabha,2024-2029
173,Gajendra Singh Patel,173,9,Lok Sabha,2024-2029
174,Gajendra Singh Shekhawat,174,12,Lok Sabha,2024-2029
175,GANAPATHY RAJKUMAR P,175,15,Lok Sabha,2024-2029
176,Ganesan Selvam,176,15,Lok Sabha,2024-2029
177,Ganesh Singh,177,9,Lok Sabha,2024-2029
178,GAURAV GOGOI,178,10,Lok Sabha,2024-2029
179,GENIBEN NAGAJI THAKOR,179,22,Lok Sabha,2024-2029
180,Giridhari Yadav,180,3,Lok Sabha,2024-2029
181,Giriraj Singh,181,3,Lok Sabha,2024-2029
182,GM Harish Balayogi,182,11,Lok Sabha,2024-2029
183,GODAM NAGESH,183,19,Lok Sabha,2024-2029
184,GOPINATH K,184,15,Lok Sabha,2024-2029
185,GOVIND MAKTHAPPA KARJOL,185,21,Lok Sabha,2024-2029
186,Gumma Thanuja Rani,186,11,Lok Sabha,2024-2029
187,GURMEET SINGH MEET HAYER,187,13,Lok Sabha,2024-2029
188,Gyaneshwar Patil,188,9,Lok Sabha,2024-2029
189,H.D. KUMARASWAMY,189,21,Lok Sabha,2024-2029
190,HARENDRA SINGH MALIK,190,5,Lok Sabha,2024-2029
191,HARIBHAI PATEL,191,22,Lok Sabha,2024-2029
192,HARISH CHANDRA MEENA,192,12,Lok Sabha,2024-2029
193,Harsh Malhotra,193,20,Lok Sabha,2024-2029
194,Hasmukh Bhai Soma Bhai Patel,194,22,Lok Sabha,2024-2029
195,IMRAN MASOOD,195,5,Lok Sabha,2024-2029
196,Indra Hang Subba,196,28,Lok Sabha,2024-2029
197,IQRA CHOUDHARY,197,5,Lok Sabha,2024-2029
198,ISHA KHAN CHOUDHURY,198,4,Lok Sabha,2024-2029
199,JAGADISH CHANDRA BARMA BASUNIA,199,4,Lok Sabha,2024-2029
200,JAGADISH SHETTAR,200,21,Lok Sabha,2024-2029
201,Jagannath Sarkar,201,4,Lok Sabha,2024-2029
202,Jagdambika Pal,202,5,Lok Sabha,2024-2029
203,JAI PARKASH,203,27,Lok Sabha,2024-2029
204,Jai Prakash,204,5,Lok Sabha,2024-2029
205,Janardan Mishra,205,9,Lok Sabha,2024-2029
206,JASHUBHAI BHILUBHAI RATHVA,206,22,Lok Sabha,2024-2029
207,Jaswantsinh Sumanbhai Bhabhor,207,22,Lok Sabha,2024-2029
208,JITAN RAM MANJHI,208,3,Lok Sabha,2024-2029
209,JITENDRA KUMAR DOHARE,209,5,Lok Sabha,2024-2029
210,Jitendra Singh,210,2,Lok Sabha,2024-2029
211,JITIN PRASADA,211,5,Lok Sabha,2024-2029
212,JOBA MAJHI,212,17,Lok Sabha,2024-2029
213,JOYANTA BASUMATARY,213,10,Lok Sabha,2024-2029
214,JUNE MALIAH,214,4,Lok Sabha,2024-2029
215,JYOTIRADITYA M. SCINDIA,215,9,Lok Sabha,2024-2029
216,Jyotsna Charandas Mahant,216,23,Lok Sabha,2024-2029
217,K E PRAKASH,217,15,Lok Sabha,2024-2029
218,K RADHAKRISHNAN,218,6,Lok Sabha,2024-2029
219,K Subbarayan,219,15,Lok Sabha,2024-2029
220,K. C VENUGOPAL,220,6,Lok Sabha,2024-2029
221,K. RAJASHEKAR BASAVARAJ HITNAL,221,21,Lok Sabha,2024-2029
222,KADIYAM KAVYA,222,19,Lok Sabha,2024-2029
223,Kakoli Ghosh Dastidar,223,4,Lok Sabha,2024-2029
224,Kalaben Mohanbhai Delkar,224,29,Lok Sabha,2024-2029
225,Kalanidhi Veeraswamy,225,15,Lok Sabha,2024-2029
226,KALI CHARAN MUNDA,226,17,Lok Sabha,2024-2029
227,KALI CHARAN SINGH,227,17,Lok Sabha,2024-2029
228,KALIPADA SAREN,228,4,Lok Sabha,2024-2029
229,Kalyan Banerjee,229,4,Lok Sabha,2024-2029
230,KALYAN VAIJINATHRAO KALE,230,1,Lok Sabha,2024-2029
231,KAMAKHYA PRASAD TASA,231,10,Lok Sabha,2024-2029
232,Kamaljeet Sehrawat,232,20,Lok Sabha,2024-2029
233,KAMLESH JANGDE,233,23,Lok Sabha,2024-2029
234,Kamlesh Paswan,234,5,Lok Sabha,2024-2029
235,Kangana Ranaut,235,18,Lok Sabha,2024-2029
236,Kani K Navas,236,15,Lok Sabha,2024-2029
237,Kanimozhi Karunanidhi,237,15,Lok Sabha,2024-2029
238,KANWAR SINGH TANWAR,238,5,Lok Sabha,2024-2029
239,KARAN BHUSHAN SINGH,239,5,Lok Sabha,2024-2029
240,KARTICK CHANDRA PAUL,240,4,Lok Sabha,2024-2029
241,Kaushalendra Kumar,241,3,Lok Sabha,2024-2029
242,Khagen Murmu,242,4,Lok Sabha,2024-2029
243,Khalilur Rahaman,243,4,Lok Sabha,2024-2029
244,Kinjarapu Ram Mohan Naidu,244,11,Lok Sabha,2024-2029
245,Kiren Rijiju,245,30,Lok Sabha,2024-2029
246,Kirti Vardhan Singh,246,5,Lok Sabha,2024-2029
247,Kishan Reddy Gangapuram,247,19,Lok Sabha,2024-2029
248,KISHORI LAL,248,5,Lok Sabha,2024-2029
249,KONDA VISHWESHWAR REDDY,249,19,Lok Sabha,2024-2029
250,KOTA SRINIVAS POOJARY,250,21,Lok Sabha,2024-2029
251,Kripanath Mallah,251,10,Lok Sabha,2024-2029
252,Krishan Pal Gurjar,252,27,Lok Sabha,2024-2029
253,KRISHNA DEVI SHIVSHANKER PATEL,253,5,Lok Sabha,2024-2029
254,Krishna Prasad Tenneti,254,11,Lok Sabha,2024-2029
255,KRITI DEVI DEBBARMAN,255,24,Lok Sabha,2024-2029
256,KULDEEP INDORA,256,12,Lok Sabha,2024-2029
257,KUNDURU RAGHUVEER,257,19,Lok Sabha,2024-2029
258,LALJI VERMA,258,5,Lok Sabha,2024-2029
259,Lavu Sri Krishna Devarayalu,259,11,Lok Sabha,2024-2029
260,LAXMIKANT PAPPU NISHAD,260,5,Lok Sabha,2024-2029
261,LOVELY ANAND,261,3,Lok Sabha,2024-2029
262,LUMBARAM,262,12,Lok Sabha,2024-2029
263,M. MALLESH BABU,263,21,Lok Sabha,2024-2029
264,M.K. VISHNUPRASAD,264,15,Lok Sabha,2024-2029
265,Maddila Gurumoorthy,265,11,Lok Sabha,2024-2029
266,MADHAVANENI RAGHUNANDAN RAO,266,19,Lok Sabha,2024-2029
267,Magunta Sreenivasulu Reddy,267,11,Lok Sabha,2024-2029
268,Mahendra Singh Solanky,268,9,Lok Sabha,2024-2029
269,MAHESH KASHYAP,269,23,Lok Sabha,2024-2029
270,Mahesh Sharma,270,5,Lok Sabha,2024-2029
271,MAHIMA KUMARI MEWAR,271,12,Lok Sabha,2024-2029
272,Mala Rajya Laxmi Shah,272,7,Lok Sabha,2024-2029
273,Mala Roy,273,4,Lok Sabha,2024-2029
274,MALAIYARASAN D,274,15,Lok Sabha,2024-2029
275,MALVIKA DEVI,275,14,Lok Sabha,2024-2029
276,MALVINDER SINGH KANG,276,13,Lok Sabha,2024-2029
277,MANI. A.,277,15,Lok Sabha,2024-2029
278,Manickam Tagore B,278,15,Lok Sabha,2024-2029
279,MANISH JAISWAL,279,17,Lok Sabha,2024-2029
280,MANISH TEWARI,280,31,Lok Sabha,2024-2029
281,MANJU SHARMA,281,12,Lok Sabha,2024-2029
282,MANNA LAL RAWAT,282,12,Lok Sabha,2024-2029
283,MANOHAR LAL,283,27,Lok Sabha,2024-2029
284,MANOJ KUMAR,284,3,Lok Sabha,2024-2029
285,MANOJ TIGGA,285,4,Lok Sabha,2024-2029
286,Manoj Tiwari,286,20,Lok Sabha,2024-2029
287,Mansukhbhai Dhanjibhai Vasava,287,22,Lok Sabha,2024-2029
288,MIAN ALTAF AHMAD,288,2,Lok Sabha,2024-2029
289,Midhun Reddy,289,11,Lok Sabha,2024-2029
290,MISHA BHARTI,290,3,Lok Sabha,2024-2029
291,Mitesh Rameshbhai Bakabhai Patel,291,22,Lok Sabha,2024-2029
292,Mohamed Haneefa,292,32,Lok Sabha,2024-2029
293,MOHIBBULLAH,293,5,Lok Sabha,2024-2029
294,MOHITE PATIL DHAIRYASHEEL RAJSINH,294,1,Lok Sabha,2024-2029
295,Mr Gopal Jee Thakur,295,3,Lok Sabha,2024-2029
296,Ms Mahua Moitra,296,4,Lok Sabha,2024-2029
297,MUHAMMED HAMDULLAH SAYEED,297,33,Lok Sabha,2024-2029
298,Mukesh Rajput,298,5,Lok Sabha,2024-2029
299,MUKESHKUMAR CHANDRAKAANT DALAL,299,22,Lok Sabha,2024-2029
300,MURARI LAL MEENA,300,12,Lok Sabha,2024-2029
301,MURASOLI S,301,15,Lok Sabha,2024-2029
302,MURLIDHAR MOHOL,302,1,Lok Sabha,2024-2029
303,NABA CHARAN MAJHI,303,14,Lok Sabha,2024-2029
304,NALIN SOREN,304,17,Lok Sabha,2024-2029
305,NARAYAN DAS AHIRWAR,305,5,Lok Sabha,2024-2029
306,NARAYAN TATU RANE,306,1,Lok Sabha,2024-2029
307,NARESH CHANDRA UTTAM PATEL,307,5,Lok Sabha,2024-2029
308,NARESH GANPAT MHASKE,308,1,Lok Sabha,2024-2029
309,NAVEEN JINDAL,309,27,Lok Sabha,2024-2029
310,NEERAJ MAURYA,310,5,Lok Sabha,2024-2029
311,NILESH DNYANDEV LANKE,311,1,Lok Sabha,2024-2029
312,NIMUBEN JAYANTIBHAI BAMBHANIYA,312,22,Lok Sabha,2024-2029
313,Nishikant Dubey,313,17,Lok Sabha,2024-2029
314,Nitin Jairam Gadkari,314,1,Lok Sabha,2024-2029
315,Nityanand Rai,315,3,Lok Sabha,2024-2029
316,Om Birla,316,12,Lok Sabha,2024-2029
317,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,317,1,Lok Sabha,2024-2029
318,P C Mohan,318,21,Lok Sabha,2024-2029
319,Pankaj Chowdhary,319,5,Lok Sabha,2024-2029
320,PARIMAL SUKLABAIDYA,320,10,Lok Sabha,2024-2029
321,PARSHOTTAMBHAI RUPALA,321,22,Lok Sabha,2024-2029
322,PARTHA BHOWMICK,322,4,Lok Sabha,2024-2029
323,Parvatagouda Chandanagouda Gaddigoudar,323,21,Lok Sabha,2024-2029
324,PATEL UMESHBHAI BABUBHAI,324,29,Lok Sabha,2024-2029
325,PATHAN YUSUF,325,4,Lok Sabha,2024-2029
326,PHANI BHUSAN CHOUDHURY,326,10,Lok Sabha,2024-2029
327,Piyush Vedprakash Goyal,327,1,Lok Sabha,2024-2029
328,PRABHAKAR REDDY VEMIREDDY,328,11,Lok Sabha,2024-2029
329,Prabhubhai Nagarbhai Vasava,329,22,Lok Sabha,2024-2029
330,Pradan Baruah,330,10,Lok Sabha,2024-2029
331,Pradeep Kumar Singh,331,3,Lok Sabha,2024-2029
332,PRADEEP PUROHIT,332,14,Lok Sabha,2024-2029
333,Pradyut Bordoloi,333,10,Lok Sabha,2024-2029
334,Pralhad Venkatesh Joshi,334,21,Lok Sabha,2024-2029
335,PRANITI SUSHILKUMAR SHINDE,335,1,Lok Sabha,2024-2029
336,Prasun Banerjee,336,4,Lok Sabha,2024-2029
337,Pratap Chandra Sarangi,337,14,Lok Sabha,2024-2029
338,Prataprao Jadhav,338,1,Lok Sabha,2024-2029
339,Pratima Mondal,339,4,Lok Sabha,2024-2029
340,Praveen Khandelwal,340,20,Lok Sabha,2024-2029
341,PRAVEEN PATEL,341,5,Lok Sabha,2024-2029
342,PRIYA SAROJ,342,5,Lok Sabha,2024-2029
343,Priyanka Gandhi Vadra,343,6,Lok Sabha,2024-2029
344,PRIYANKA SATISH JARKIHOLI,344,21,Lok Sabha,2024-2029
345,Prof Sougata Ray,345,4,Lok Sabha,2024-2029
346,Prof SP Singh Baghel,346,5,Lok Sabha,2024-2029
347,PUSHPENDRA SAROJ,347,5,Lok Sabha,2024-2029
348,Putta Mahesh Kumar,348,11,Lok Sabha,2024-2029
349,R.K. CHAUDHARY,349,5,Lok Sabha,2024-2029
350,RABINDRA NARAYAN BEHERA,350,14,Lok Sabha,2024-2029
351,RACHNA BANERJEE,351,4,Lok Sabha,2024-2029
352,Radha Mohan Singh,352,3,Lok Sabha,2024-2029
353,RADHAKRISHNA,353,21,Lok Sabha,2024-2029
354,RADHE SHYAM RATHIYA,354,23,Lok Sabha,2024-2029
355,RAHUL GANDHI,355,5,Lok Sabha,2024-2029
356,Rahul Kaswan,356,12,Lok Sabha,2024-2029
357,RAHUL SINGH LODHI,357,9,Lok Sabha,2024-2029
358,RAJ BHUSHAN CHOUDHARY,358,3,Lok Sabha,2024-2029
359,RAJ KUMAR ROAT,359,12,Lok Sabha,2024-2029
360,RAJA RAM SINGH,360,3,Lok Sabha,2024-2029
361,RAJABHAU,361,1,Lok Sabha,2024-2029
362,RAJEEV BHARDWAJ,362,18,Lok Sabha,2024-2029
363,RAJEEV RAI,363,5,Lok Sabha,2024-2029
364,RAJESH RANJAN ALIAS PAPPU YADAV,364,3,Lok Sabha,2024-2029
365,RAJESH VERMA,365,3,Lok Sabha,2024-2029
366,Rajeshbhai Naranbhai Chudasama,366,22,Lok Sabha,2024-2029
367,Rajiv Pratap Rudy,367,3,Lok Sabha,2024-2029
368,Rajiv Ranjan (Lalan) Singh,368,3,Lok Sabha,2024-2029
369,Rajkumar Chahar,369,5,Lok Sabha,2024-2029
370,Rajnath Singh,370,5,Lok Sabha,2024-2029
371,RAJPALSINH MAHENDRASINH JADAV,371,22,Lok Sabha,2024-2029
372,Raju Bista,372,4,Lok Sabha,2024-2029
373,RAKESH RATHOR,373,5,Lok Sabha,2024-2029
374,RAKIBUL HUSSAIN,374,10,Lok Sabha,2024-2029
375,RAM PRASAD CHAUDHARY,375,5,Lok Sabha,2024-2029
376,Ram Shiromani,376,5,Lok Sabha,2024-2029
377,RAMASAHAYAM RAGHURAM REDDY,377,19,Lok Sabha,2024-2029
378,RAMASHANKAR RAJBHAR,378,5,Lok Sabha,2024-2029
379,RAMBHUAL NISHAD,379,5,Lok Sabha,2024-2029
380,RAMESH AWASTHI,380,5,Lok Sabha,2024-2029
381,Ramesh Chandappa Jigajinagi,381,21,Lok Sabha,2024-2029
382,Ramprit Mandal,382,3,Lok Sabha,2024-2029
383,Ramvir Singh Bidhuri,383,20,Lok Sabha,2024-2029
384,RANJIT DUTTA,384,10,Lok Sabha,2024-2029
385,Rao Inderjit Singh,385,27,Lok Sabha,2024-2029
386,Rao Rajendra Singh,386,12,Lok Sabha,2024-2029
387,Ravi Shankar Prasad,387,3,Lok Sabha,2024-2029
388,RAVINDRA DATTARAM WAIKAR,388,1,Lok Sabha,2024-2029
389,Ravindra Shyamnarayan Alias Ravi Kishan Shukla,389,5,Lok Sabha,2024-2029
390,Ravindra Vasantrao Chavan,108,1,Lok Sabha,2024-2029
391,RICHARD VANLALHMANGAIHA,390,34,Lok Sabha,2024-2029
392,ROBERT BRUCE C,391,15,Lok Sabha,2024-2029
393,Rodmal Nagar,392,9,Lok Sabha,2024-2029
394,ROOP KUMARI CHOUDHARY,393,23,Lok Sabha,2024-2029
395,RUCHI VIRA,394,5,Lok Sabha,2024-2029
396,RUDRA NARAYAN PANY,395,14,Lok Sabha,2024-2029
397,S SUPONGMEREN JAMIR,396,35,Lok Sabha,2024-2029
398,S Venkatesan,397,15,Lok Sabha,2024-2029
399,S. Jagathrakshakan,398,15,Lok Sabha,2024-2029
400,SACHITHANANTHAM R,399,15,Lok Sabha,2024-2029
401,SAGAR ESHWAR KHANDRE,400,21,Lok Sabha,2024-2029
402,SALENG A SANGMA,401,16,Lok Sabha,2024-2029
403,SAMBIT PATRA,402,14,Lok Sabha,2024-2029
404,SANATAN PANDEY,403,5,Lok Sabha,2024-2029
405,SANJAY DINA PATIL,404,1,Lok Sabha,2024-2029
406,Sanjay Haribhau Jadhav,405,1,Lok Sabha,2024-2029
407,Sanjay Jaiswal,406,3,Lok Sabha,2024-2029
408,Sanjay Kumar Bandi,407,19,Lok Sabha,2024-2029
