agency_id,agency_name,agency_type,district_id,status
70,PWD MAHABUBABAD,Government,70,ACTIVE
71,PWD AMRAVATI(SC),Government,71,ACTIVE
72,PWD BHIWANDI,Government,72,ACTIVE
73,PWD NEW DELHI,Government,73,ACTIVE
74,PWD MATHURAPUR(SC),Government,74,ACTIVE
75,PWD HAVERI,Government,75,ACTIVE
76,PWD KURNOOL,Government,76,ACTIVE
77,PWD AJMER,Government,77,ACTIVE
78,PWD KARAULI-DHOLPUR(SC),Government,78,ACTIVE
79,PWD GWALIOR,Government,79,ACTIVE
80,PWD AMRELI,Government,80,ACTIVE
81,PWD PATAN,Government,81,ACTIVE
82,PWD BALAGHAT,Government,82,ACTIVE
83,PWD DINDORI(ST),Government,83,ACTIVE
84,PWD SHIRDI(SC),Government,84,ACTIVE
85,PWD KANKER(ST),Government,85,ACTIVE
86,PWD BULANDSHAHR(SC),Government,86,ACTIVE
87,PWD AURANGABAD_MH,Government,87,ACTIVE
88,PWD NARASAPURAM,Government,88,ACTIVE
89,PWD ALWAR,Government,89,ACTIVE
90,PWD JAGATSINGHPUR(SC),Government,90,ACTIVE
91,PWD JAMSHEDPUR,Government,91,ACTIVE
92,PWD GUWAHATI,Government,92,ACTIVE
93,PWD TRIPURA WEST,Government,93,ACTIVE
94,PWD ANDAMAN AND NICOBAR ISLANDS,Government,94,ACTIVE
95,PWD JHUNJHUNU,Government,95,ACTIVE
96,PWD RAIPUR,Government,96,ACTIVE
97,PWD CHHINDWARA,Government,97,ACTIVE
98,PWD NAVSARI,Government,98,ACTIVE
99,PWD ANAKAPALLE,Government,99,ACTIVE
100,PWD DAKSHINA KANNADA,Government,100,ACTIVE
101,PWD SOUTH GOA,Government,101,ACTIVE
102,PWD BHONGIR,Government,102,ACTIVE
103,PWD BIJNOR,Government,103,ACTIVE
104,PWD CHITTORGARH,Government,104,ACTIVE
105,PWD NAGINA(SC),Government,105,ACTIVE
106,PWD SURENDRANAGAR,Government,106,ACTIVE
107,PWD JALANDHAR(SC),Government,107,ACTIVE
108,PWD NANDED,Government,108,ACTIVE
109,PWD BAREILLY,Government,109,ACTIVE
110,PWD KOLHAPUR,Government,110,ACTIVE
111,PWD ROBERTSGANJ(SC),Government,111,ACTIVE
112,PWD SARGUJA(ST),Government,112,ACTIVE
113,PWD HAJIPUR(SC),Government,113,ACTIVE
114,PWD TIRUVANNAMALAI,Government,114,ACTIVE
115,PWD VELLORE,Government,115,ACTIVE
116,PWD VILUPPURAM(SC),Government,116,ACTIVE
117,PWD RAJAHMUNDRY,Government,117,ACTIVE
118,PWD CHITTOOR,Government,118,ACTIVE
119,PWD BHILWARA,Government,119,ACTIVE
120,PWD LALGANJ (SC),Government,120,ACTIVE
121,PWD HOSHANGABAD,Government,121,ACTIVE
122,PWD ROHTAK,Government,122,ACTIVE
123,PWD AKBARPUR,Government,123,ACTIVE
124,PWD SITAMARHI,Government,124,ACTIVE
125,PWD ETAH,Government,125,ACTIVE
126,PWD KHEDA,Government,126,ACTIVE
127,PWD HATKANANGLE,Government,127,ACTIVE
128,PWD CHANDRAPUR,Government,128,ACTIVE
129,PWD SAMBALPUR,Government,129,ACTIVE
130,PWD AZAMGARH,Government,130,ACTIVE
131,PWD VALSAD(ST),Government,131,ACTIVE
132,PWD SUPAUL,Government,132,ACTIVE
133,PWD Darrang-Udalguri,Government,133,ACTIVE
134,PWD MADHEPURA,Government,134,ACTIVE
135,PWD AHMEDABAD WEST(SC),Government,135,ACTIVE
136,PWD NANDYAL,Government,136,ACTIVE
137,PWD BANGALORE RURAL,Government,137,ACTIVE
138,PWD GUNTUR,Government,138,ACTIVE
139,PWD PATIALA,Government,139,ACTIVE
140,PWD JALPAIGURI(SC),Government,140,ACTIVE
141,PWD LATUR(SC),Government,141,ACTIVE
142,PWD KISHANGANJ,Government,142,ACTIVE
143,PWD BAGHPAT,Government,143,ACTIVE
144,PWD TENKASI(SC),Government,144,ACTIVE
145,PWD THIRUVANANTHAPURAM,Government,145,ACTIVE
146,PWD BALURGHAT,Government,146,ACTIVE
147,PWD VADODARA,Government,147,ACTIVE
148,PWD PALGHAR(ST),Government,148,ACTIVE
149,PWD GADCHIROLI-CHIMUR(ST),Government,149,ACTIVE
150,PWD SAGAR,Government,150,ACTIVE
151,PWD PONNANI,Government,151,ACTIVE
152,PWD PORBANDAR,Government,152,ACTIVE
153,PWD DAVANAGERE,Government,153,ACTIVE
154,PWD BERHAMPUR,Government,154,ACTIVE
155,PWD BHANDARA-GONDIYA,Government,155,ACTIVE
156,PWD HOSHIARPUR(SC),Government,156,ACTIVE
157,PWD SIDHI,Government,157,ACTIVE
158,PWD PRATAPGARH,Government,158,ACTIVE
159,PWD BARDHAMAN PURBA(SC),Government,159,ACTIVE
160,PWD CHIKBALLAPUR,Government,160,ACTIVE
161,PWD NAGARKURNOOL(SC),Government,161,ACTIVE
162,PWD DHANBAD,Government,162,ACTIVE
163,PWD TIRUCHIRAPPALLI,Government,163,ACTIVE
164,PWD BETUL(ST),Government,164,ACTIVE
165,PWD JHALAWAR-BARAN,Government,165,ACTIVE
166,PWD BELLARY(ST),Government,166,ACTIVE
167,PWD MALAPPURAM,Government,167,ACTIVE
168,PWD MALKAJGIRI,Government,168,ACTIVE
169,PWD POLLACHI,Government,169,ACTIVE
170,PWD MANDLA(ST),Government,170,ACTIVE
171,PWD RAICHUR(ST),Government,171,ACTIVE
172,PWD MUMBAI NORTH-CENTRAL,Government,172,ACTIVE
173,PWD KHARGONE(ST),Government,173,ACTIVE
174,PWD JODHPUR,Government,174,ACTIVE
175,PWD COIMBATORE,Government,175,ACTIVE
176,PWD KANCHEEPURAM(SC),Government,176,ACTIVE
177,PWD SATNA,Government,177,ACTIVE
178,PWD JORHAT,Government,178,ACTIVE
179,PWD BANASKANTHA,Government,179,ACTIVE
180,PWD BANKA,Government,180,ACTIVE
181,PWD BEGUSARAI,Government,181,ACTIVE
182,PWD AMALAPURAM(SC),Government,182,ACTIVE
183,PWD ADILABAD(ST),Government,183,ACTIVE
184,PWD KRISHNAGIRI,Government,184,ACTIVE
185,PWD CHITRADURGA(SC),Government,185,ACTIVE
186,PWD ARAKU(ST),Government,186,ACTIVE
187,PWD SANGRUR,Government,187,ACTIVE
188,PWD KHANDWA,Government,188,ACTIVE
189,PWD MANDYA,Government,189,ACTIVE
190,PWD MUZAFFARNAGAR,Government,190,ACTIVE
191,PWD MAHESANA,Government,191,ACTIVE
192,PWD TONK-SAWAI MADHOPUR,Government,192,ACTIVE
193,PWD EAST DELHI,Government,193,ACTIVE
194,PWD AHMEDABAD EAST,Government,194,ACTIVE
195,PWD SAHARANPUR,Government,195,ACTIVE
196,PWD SIKKIM,Government,196,ACTIVE
197,PWD KAIRANA,Government,197,ACTIVE
198,PWD MALDAHA DAKSHIN,Government,198,ACTIVE
199,PWD COOCHBEHAR(SC),Government,199,ACTIVE
200,PWD BELGAUM,Government,200,ACTIVE
201,PWD RANAGHAT(SC),Government,201,ACTIVE
202,PWD DOMARIYAGANJ,Government,202,ACTIVE
203,PWD HISAR,Government,203,ACTIVE
204,PWD HARDOI (SC),Government,204,ACTIVE
205,PWD REWA,Government,205,ACTIVE
206,PWD CHHOTA UDAIPUR(ST),Government,206,ACTIVE
207,PWD DAHOD(ST),Government,207,ACTIVE
208,PWD GAYA (SC),Government,208,ACTIVE
209,PWD ETAWAH(SC),Government,209,ACTIVE
210,PWD UDHAMPUR,Government,210,ACTIVE
211,PWD PILIBHIT,Government,211,ACTIVE
212,PWD SINGHBHUM(ST),Government,212,ACTIVE
213,PWD KOKRAJHAR (ST),Government,213,ACTIVE
214,PWD MEDINIPUR,Government,214,ACTIVE
215,PWD GUNA,Government,215,ACTIVE
216,PWD KORBA,Government,216,ACTIVE
217,PWD ERODE,Government,217,ACTIVE
218,PWD ALATHUR(SC),Government,218,ACTIVE
219,PWD TIRUPPUR,Government,219,ACTIVE
220,PWD ALAPPUZHA,Government,220,ACTIVE
221,PWD KOPPAL,Government,221,ACTIVE
222,PWD WARANGEL(SC),Government,222,ACTIVE
223,PWD BARASAT,Government,223,ACTIVE
224,PWD DADRA & NAGAR HAVELI (ST),Government,224,ACTIVE
225,PWD CHENNAI NORTH,Government,225,ACTIVE
226,PWD KHUNTI(ST),Government,226,ACTIVE
227,PWD CHATRA,Government,227,ACTIVE
228,PWD JHARGRAM(ST),Government,228,ACTIVE
229,PWD SREERAMPUR,Government,229,ACTIVE
230,PWD JALNA,Government,230,ACTIVE
231,PWD Kaziranga,Government,231,ACTIVE
232,PWD WEST DELHI,Government,232,ACTIVE
233,PWD JANJGIR CHAMPA(SC),Government,233,ACTIVE
234,PWD BANSGAON(SC),Government,234,ACTIVE
235,PWD MANDI,Government,235,ACTIVE
236,PWD RAMANATHAPURAM,Government,236,ACTIVE
237,PWD THOOTHUKKUDI,Government,237,ACTIVE
238,PWD AMROHA,Government,238,ACTIVE
239,PWD KAISERGANJ,Government,239,ACTIVE
240,PWD RAIGANJ,Government,240,ACTIVE
241,PWD NALANDA,Government,241,ACTIVE
242,PWD MALDAHA UTTAR,Government,242,ACTIVE
243,PWD JANGIPUR,Government,243,ACTIVE
244,PWD SRIKAKULAM,Government,244,ACTIVE
245,PWD ARUNACHAL WEST,Government,245,ACTIVE
246,PWD GONDA,Government,246,ACTIVE
247,PWD SECUNDERABAD,Government,247,ACTIVE
248,PWD AMETHI,Government,248,ACTIVE
249,PWD CHELVELLA,Government,249,ACTIVE
250,PWD UDUPI CHIKMAGALUR,Government,250,ACTIVE
251,PWD KARIMGANJ (SC),Government,251,ACTIVE
252,PWD FARIDABAD,Government,252,ACTIVE
253,PWD BANDA,Government,253,ACTIVE
254,PWD BAPATLA,Government,254,ACTIVE
255,PWD TRIPURA EAST(ST),Government,255,ACTIVE
256,PWD GANGANAGAR(SC),Government,256,ACTIVE
257,PWD NALGONDA,Government,257,ACTIVE
258,PWD AMBEDKAR NAGAR,Government,258,ACTIVE
259,PWD NARASARAOPET,Government,259,ACTIVE
260,PWD SANT KABIR NAGAR,Government,260,ACTIVE
261,PWD SHEOHAR,Government,261,ACTIVE
262,PWD JALORE,Government,262,ACTIVE
263,PWD KOLAR(SC),Government,263,ACTIVE
264,PWD CUDDALORE,Government,264,ACTIVE
265,PWD TIRUPATI(SC),Government,265,ACTIVE
266,PWD MEDAK,Government,266,ACTIVE
267,PWD ONGOLE,Government,267,ACTIVE
268,PWD DEWAS(SC),Government,268,ACTIVE
269,PWD BASTAR(ST),Government,269,ACTIVE
270,PWD GAUTAM BUDDHA NAGAR,Government,270,ACTIVE
271,PWD RAJSAMAND,Government,271,ACTIVE
272,PWD TEHRI GARHWAL,Government,272,ACTIVE
273,PWD KOLKATA DAKSHIN,Government,273,ACTIVE
274,PWD KALLAKURICHI,Government,274,ACTIVE
275,PWD KALAHANDI,Government,275,ACTIVE
276,PWD ANANDPUR SAHIB,Government,276,ACTIVE
277,PWD DHARAMAPURI,Government,277,ACTIVE
278,PWD VIRUDHUNAGAR,Government,278,ACTIVE
279,PWD HAZARIBAGH,Government,279,ACTIVE
280,PWD CHANDIGARH,Government,280,ACTIVE
281,PWD JAIPUR,Government,281,ACTIVE
282,PWD UDAIPUR(ST),Government,282,ACTIVE
283,PWD KARNAL,Government,283,ACTIVE
284,PWD SASARAM(SC),Government,284,ACTIVE
285,PWD ALIPURDUARS(ST),Government,285,ACTIVE
286,PWD NORTH EAST DELHI,Government,286,ACTIVE
287,PWD BHARUCH,Government,287,ACTIVE
288,PWD ANANTNAG,Government,288,ACTIVE
289,PWD RAJAMPET,Government,289,ACTIVE
290,PWD PATALIPUTRA,Government,290,ACTIVE
291,PWD ANAND,Government,291,ACTIVE
292,PWD LADAKH,Government,292,ACTIVE
293,PWD RAMPUR,Government,293,ACTIVE
294,PWD MADHA,Government,294,ACTIVE
295,PWD DARBHANGA,Government,295,ACTIVE
296,PWD KRISHNANAGAR,Government,296,ACTIVE
297,PWD LAKSHADWEEP(ST),Government,297,ACTIVE
298,PWD FARRUKHABAD,Government,298,ACTIVE
299,PWD SURAT,Government,299,ACTIVE
300,PWD DAUSA(ST),Government,300,ACTIVE
301,PWD THANJAVUR,Government,301,ACTIVE
302,PWD PUNE,Government,302,ACTIVE
303,PWD MAYURBHANJ (ST),Government,303,ACTIVE
304,PWD DUMKA(ST),Government,304,ACTIVE
305,PWD JALAUN(SC),Government,305,ACTIVE
306,PWD RATNAGIRI-SINDHUDURG,Government,306,ACTIVE
307,PWD FATEHPUR,Government,307,ACTIVE
308,PWD THANE,Government,308,ACTIVE
309,PWD KURUKSHETRA,Government,309,ACTIVE
310,PWD AONLA,Government,310,ACTIVE
311,PWD AHMEDNAGAR,Government,311,ACTIVE
312,PWD BHAVNAGAR,Government,312,ACTIVE
313,PWD GODDA,Government,313,ACTIVE
314,PWD NAGPUR,Government,314,ACTIVE
315,PWD UJJARPUR,Government,315,ACTIVE
316,PWD KOTA,Government,316,ACTIVE
317,PWD OSMANABAD,Government,317,ACTIVE
318,PWD BANGALORE CENTRAL,Government,318,ACTIVE
319,PWD MAHARAJGANJ_UP,Government,319,ACTIVE
320,PWD SILCHAR,Government,320,ACTIVE
321,PWD RAJKOT,Government,321,ACTIVE
322,PWD BARRACKPUR,Government,322,ACTIVE
323,PWD BAGALKOT,Government,323,ACTIVE
324,PWD DAMAN and DIU,Government,324,ACTIVE
325,PWD BAHARAMPUR,Government,325,ACTIVE
326,PWD BARPETA,Government,326,ACTIVE
327,PWD MUMBAI NORTH,Government,327,ACTIVE
328,PWD NELLORE(SC),Government,328,ACTIVE
329,PWD BARDOLI(ST),Government,329,ACTIVE
330,PWD LAKHIMPUR,Government,330,ACTIVE
331,PWD ARARIA,Government,331,ACTIVE
332,PWD BARGARH,Government,332,ACTIVE
333,PWD NOWGONG,Government,333,ACTIVE
334,PWD DHARWAD,Government,334,ACTIVE
335,PWD SOLAPUR(SC),Government,335,ACTIVE
336,PWD HOWRAH,Government,336,ACTIVE
337,PWD BALASORE,Government,337,ACTIVE
338,PWD BULDHANA,Government,338,ACTIVE
339,PWD JOYNAGAR(SC),Government,339,ACTIVE
340,PWD CHANDINI CHOWK,Government,340,ACTIVE
341,PWD PHULPUR,Government,341,ACTIVE
342,PWD MACHHLISHAHR(SC),Government,342,ACTIVE
343,PWD WAYANAD,Government,343,ACTIVE
344,PWD CHIKKODI,Government,344,ACTIVE
345,PWD DUM DUM,Government,345,ACTIVE
346,PWD AGRA(SC),Government,346,ACTIVE
347,PWD KAUSHAMBI(SC),Government,347,ACTIVE
348,PWD ELURU,Government,348,ACTIVE
349,PWD MOHANLALGANJ(SC),Government,349,ACTIVE
350,PWD JAJPUR(SC),Government,350,ACTIVE
351,PWD HOOGHLY,Government,351,ACTIVE
352,PWD PURVI CHAMPARAN,Government,352,ACTIVE
353,PWD GULBARGA(SC),Government,353,ACTIVE
354,PWD RAIGARH(ST),Government,354,ACTIVE
355,PWD RAE BARELI,Government,355,ACTIVE
356,PWD CHURU,Government,356,ACTIVE
357,PWD DAMOH,Government,357,ACTIVE
358,PWD MUZAFFARPUR,Government,358,ACTIVE
359,PWD BANSWARA(ST),Government,359,ACTIVE
360,PWD KARAKAT,Government,360,ACTIVE
361,PWD NASHIK,Government,361,ACTIVE
362,PWD KANGRA,Government,362,ACTIVE
363,PWD GHOSI,Government,363,ACTIVE
364,PWD PURNEA,Government,364,ACTIVE
365,PWD KHAGARIA,Government,365,ACTIVE
366,PWD JUNAGADH,Government,366,ACTIVE
367,PWD SARAN,Government,367,ACTIVE
368,PWD MUNGER,Government,368,ACTIVE
369,PWD FATEHPUR SIKRI,Government,369,ACTIVE
370,PWD LUCKNOW,Government,370,ACTIVE
371,PWD PANCHMAHAL,Government,371,ACTIVE
372,PWD DARJEELING,Government,372,ACTIVE
373,PWD SITAPUR,Government,373,ACTIVE
374,PWD DHUBRI,Government,374,ACTIVE
375,PWD BASTI,Government,375,ACTIVE
376,PWD SHRAWASTI,Government,376,ACTIVE
377,PWD KHAMMAM,Government,377,ACTIVE
378,PWD SALEMPUR,Government,378,ACTIVE
379,PWD SULTANPUR,Government,379,ACTIVE
380,PWD KANPUR,Government,380,ACTIVE
381,PWD BIJAPUR(SC),Government,381,ACTIVE
382,PWD JHANJHARPUR,Government,382,ACTIVE
383,PWD SOUTH DELHI,Government,383,ACTIVE
384,PWD Sonitpur,Government,384,ACTIVE
385,PWD GURGAON,Government,385,ACTIVE
386,PWD JAIPUR RURAL,Government,386,ACTIVE
387,PWD PATNA SAHIB,Government,387,ACTIVE
388,PWD MUMBAI NORTH WEST,Government,388,ACTIVE
389,PWD GORAKHPUR,Government,389,ACTIVE
390,PWD MIZORAM (ST),Government,390,ACTIVE
391,PWD TIRUNELVELI,Government,391,ACTIVE
392,PWD RAJGARH,Government,392,ACTIVE
393,PWD MAHASAMUND,Government,393,ACTIVE
394,PWD MORADABAD,Government,394,ACTIVE
395,PWD DHENKANAL,Government,395,ACTIVE
396,PWD NAGALAND,Government,396,ACTIVE
397,PWD MADURAI,Government,397,ACTIVE
398,PWD ARAKKONAM,Government,398,ACTIVE
399,PWD DINDIGUL,Government,399,ACTIVE
400,PWD BIDAR,Government,400,ACTIVE
401,PWD TURA,Government,401,ACTIVE
402,PWD PURI,Government,402,ACTIVE
403,PWD BALLIA,Government,403,ACTIVE
404,PWD MUMBAI NORTH EAST,Government,404,ACTIVE
405,PWD PARBHANI,Government,405,ACTIVE
406,PWD PASCHIM CHAMPARAN,Government,406,ACTIVE
407,PWD KARIMNAGAR,Government,407,ACTIVE
408,PWD RANCHI,Government,408,ACTIVE
409,PWD YAVATMAL-WASHIM,Government,409,ACTIVE
410,PWD BHARATPUR(SC),Government,410,ACTIVE
411,PWD RAJNANDGAON,Government,411,ACTIVE
412,PWD KORAPUT(ST),Government,412,ACTIVE
413,PWD FARIDKOT(SC),Government,413,ACTIVE
414,PWD TIRUVALLUR(SC),Government,414,ACTIVE
415,PWD SONEPAT,Government,415,ACTIVE
416,PWD BISHNUPUR(SC),Government,416,ACTIVE
417,PWD DHAR(ST),Government,417,ACTIVE
418,PWD JADAVPUR,Government,418,ACTIVE
419,PWD SIRSA(SC),Government,419,ACTIVE
420,PWD SALEM,Government,420,ACTIVE
421,PWD NAGAPATTINAM(SC),Government,421,ACTIVE
422,PWD VADAKARA,Government,422,ACTIVE
423,PWD SAMASTIPUR(SC),Government,423,ACTIVE
424,PWD INDORE,Government,424,ACTIVE
425,PWD DEORIA,Government,425,ACTIVE
426,PWD ASANSOL,Government,426,ACTIVE
427,PWD FIROZPUR,Government,427,ACTIVE
428,PWD MORENA,Government,428,ACTIVE
429,PWD VIDISHA,Government,429,ACTIVE
430,PWD BANGALORE NORTH,Government,430,ACTIVE
431,PWD SABARKANTHA,Government,431,ACTIVE
432,PWD HASSAN,Government,432,ACTIVE
433,PWD BHIWANI MAHENDRAGARH,Government,433,ACTIVE
434,PWD DIAMOND HARBOUR,Government,434,ACTIVE
435,PWD FATEHGARH SAHIB(SC),Government,435,ACTIVE
436,PWD GANDHINAGAR,Government,436,ACTIVE
437,PWD UJJAIN(SC),Government,437,ACTIVE
438,PWD BIKANER(SC),Government,438,ACTIVE
439,PWD SHAHJAHANPUR(SC),Government,439,ACTIVE
440,PWD SHIMOGA,Government,440,ACTIVE
441,PWD CHALAKUDY,Government,441,ACTIVE
442,PWD CUTTACK,Government,442,ACTIVE
443,PWD GIRIDIH,Government,443,ACTIVE
444,PWD GHATAL,Government,444,ACTIVE
445,PWD AMRITSAR,Government,445,ACTIVE
446,PWD NAGAUR,Government,446,ACTIVE
447,PWD ERNAKULAM,Government,447,ACTIVE
448,PWD MAHARAJGANJ_BR,Government,448,ACTIVE
449,PWD SUNDARGARH (ST),Government,449,ACTIVE
450,PWD JAMMU,Government,450,ACTIVE
451,PWD PURULIA,Government,451,ACTIVE
452,PWD SIVAGANGA,Government,452,ACTIVE
453,PWD KANNUR,Government,453,ACTIVE
454,PWD BANGALORE SOUTH,Government,454,ACTIVE
455,PWD KOZHIKODE,Government,455,ACTIVE
456,PWD VARANASI,Government,456,ACTIVE
457,PWD KOLLAM,Government,457,ACTIVE
458,PWD PALI,Government,458,ACTIVE
459,PWD KASARAGOD,Government,459,ACTIVE
460,PWD DIBRUGARH,Government,460,ACTIVE
461,PWD ALIGARH,Government,461,ACTIVE
462,PWD BANGAON(SC),Government,462,ACTIVE
463,PWD MANDSOUR,Government,463,ACTIVE
464,PWD MAVELIKKARA(SC),Government,464,ACTIVE
465,PWD ARUNACHAL EAST,Government,465,ACTIVE
466,PWD KANNIYAKUMARI,Government,466,ACTIVE
467,PWD KALYAN,Government,467,ACTIVE
468,PWD SATARA,Government,468,ACTIVE
469,PWD NORTH GOA,Government,469,ACTIVE
470,PWD MAVAL,Government,470,ACTIVE
471,PWD RAMTEK(SC),Government,471,ACTIVE
472,PWD VIJAYAWADA,Government,472,ACTIVE
473,PWD BASIRHAT,Government,473,ACTIVE
474,PWD JALGAON,Government,474,ACTIVE
475,PWD MIRZAPUR,Government,475,ACTIVE
476,PWD BHUBANESWAR,Government,476,ACTIVE
477,PWD MAINPURI,Government,477,ACTIVE
478,PWD BHATINDA,Government,478,ACTIVE
479,PWD MATHURA,Government,479,ACTIVE
480,PWD SHAHDOL (ST),Government,480,ACTIVE
481,PWD JAMNAGAR,Government,481,ACTIVE
482,PWD RAVER,Government,482,ACTIVE
483,PWD KARUR,Government,483,ACTIVE
484,PWD ULUBERIA,Government,484,ACTIVE
485,PWD BHIND(SC),Government,485,ACTIVE
486,PWD BOLANGIR,Government,486,ACTIVE
487,PWD BIRBHUM,Government,487,ACTIVE
488,PWD BARAMATI,Government,488,ACTIVE
489,PWD VAISHALI,Government,489,ACTIVE
490,PWD VISAKHAPATNAM,Government,490,ACTIVE
491,PWD ARRAH,Government,491,ACTIVE
492,PWD MAYILADUTHURAI,Government,492,ACTIVE
493,PWD BUXAR,Government,493,ACTIVE
494,PWD KOLKATA UTTAR,Government,494,ACTIVE
495,PWD KANDHAMAL,Government,495,ACTIVE
496,PWD LOHARDAGA(ST),Government,496,ACTIVE
497,PWD GURDASPUR,Government,497,ACTIVE
498,PWD CHAMARAJANAGAR(SC),Government,498,ACTIVE
499,PWD RAIGAD,Government,499,ACTIVE
500,PWD VALMIKI NAGAR,Government,500,ACTIVE
501,PWD JAHANABAD,Government,501,ACTIVE
502,PWD THRISSUR,Government,502,ACTIVE
503,PWD SHIMLA (SC),Government,503,ACTIVE
504,PWD ZAHIRABAD,Government,504,ACTIVE
505,PWD UNNAO,Government,505,ACTIVE
506,PWD CHENNAI SOUTH,Government,506,ACTIVE
507,PWD KAKINADA,Government,507,ACTIVE
508,PWD BARABANKI(SC),Government,508,ACTIVE
509,PWD KATIHAR,Government,509,ACTIVE
510,PWD SRIPERUMBUDUR,Government,510,ACTIVE
511,PWD THENI,Government,511,ACTIVE
512,PWD ARANI,Government,512,ACTIVE
513,PWD CHENNAI CENTRAL,Government,513,ACTIVE
514,PWD CHIDAMBARAM(SC),Government,514,ACTIVE
515,PWD BILASPUR,Government,515,ACTIVE
516,PWD HARDWAR,Government,516,ACTIVE
517,PWD ALLAHABAD,Government,517,ACTIVE
518,PWD BARMER,Government,518,ACTIVE
519,PWD KHERI,Government,519,ACTIVE
520,PWD NAMAKKAL,Government,520,ACTIVE
521,PWD TUMKUR,Government,521,ACTIVE
522,PWD Puducherry,Government,522,ACTIVE
523,PWD PEDDAPALLE,Government,523,ACTIVE
524,PWD AMBALA (SC),Government,524,ACTIVE
525,PWD PALAKKAD,Government,525,ACTIVE
526,PWD DURG,Government,526,ACTIVE
527,PWD KUSHI NAGAR,Government,527,ACTIVE
528,PWD RAJMAHAL(ST),Government,528,ACTIVE
529,PWD SIWAN,Government,529,ACTIVE
530,PWD KACHCHH(SC),Government,530,ACTIVE
531,PWD BHADOHI,Government,531,ACTIVE
532,PWD TIKAMGARH(SC),Government,532,ACTIVE
533,PWD CHANDAULI,Government,533,ACTIVE
534,PWD SANGLI,Government,534,ACTIVE
535,PWD PALAMU(SC),Government,535,ACTIVE
