project_id,constituency,district,mp_name,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,released_amount_imputed
UT08024,Varanasi Constituency,Varanasi,Lakshmi Gowda,Uttar Pradesh,750000.0,750000.0,387652.67,stalled,730.0,2024-09-11,2026-09-11,,Rural Dev Dept,drinking water,17.8,False
TA08025,Coimbatore Constituency,Coimbatore,Kavita Rao,Tamil Nadu,2000000.0,2000000.0,870731.09,ongoing,545.0,2023-10-06,2025-04-03,,Rural Dev Dept,drinking water,73.6,False
KE08026,Kozhikode Constituency,Kozhikode,Sunita Verma,Kerala,750000.0,750000.0,616785.85,stalled,730.0,2023-06-29,2025-06-28,,Rural Dev Dept,sanitation,19.7,False
KA08027,Mysuru Constituency,Mysuru,Meena Iyer,Karnataka,200000.0,100000.0,238814.33,stalled,90.0,2024-05-23,2024-08-21,,Rural Dev Dept,sanitation,31.4,False
UT08028,Varanasi Constituency,Varanasi,Lakshmi Gowda,Uttar Pradesh,1000000.0,1000000.0,799234.79,sanctioned,90.0,2024-01-09,2024-04-08,,Zilla Parishad,road,,False
KA08029,Bengaluru Urban Constituency,Bengaluru Urban,Priya Iyer,Karnataka,1500000.0,1500000.0,655937.5,completed,180.0,2024-06-06,2024-12-03,2025-01-29,Jal Nigam,road,100.0,False
MA08030,Nagpur Constituency,Nagpur,Meena Nair,Maharashtra,500000.0,0.0,0.0,recommended,180.0,2024-09-23,2025-03-22,,Zilla Parishad,sanitation,,False
MA08031,Pune Constituency,Pune,Ramesh Patel,Maharashtra,1000000.0,1000000.0,532240.8,completed,730.0,2024-05-11,2026-05-11,2026-06-18,Rural Dev Dept,community hall,100.0,False
KA08032,Bengaluru Urban Constituency,Bengaluru Urban,Priya Iyer,Karnataka,1500000.0,750000.0,746073.69,ongoing,365.0,2023-03-04,2024-03-03,,Jal Nigam,sanitation,87.5,False
MA08033,Pune Constituency,Pune,Ramesh Patel,Maharashtra,500000.0,250000.0,219363.11,completed,365.0,2023-10-09,2024-10-08,2024-10-11,Rural Dev Dept,electricity,100.0,False
AN08034,Krishna Constituency,Krishna,Anita Reddy,Andhra Pradesh,300000.0,300000.0,138759.56,ongoing,90.0,2023-12-22,2024-03-21,,PWD,road,71.6,False
UT08035,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,200000.0,100000.0,96602.5,stalled,545.0,2023-09-18,2025-03-16,,Jal Nigam,community hall,39.6,False
KA08036,Bengaluru Urban Constituency,Bengaluru Urban,Priya Iyer,Karnataka,300000.0,300000.0,551119.75,ongoing,270.0,2023-01-07,2023-10-04,,Jal Nigam,drinking water,45.0,False
AN08037,Visakhapatnam Constituency,Visakhapatnam,Vikram Naidu,Andhra Pradesh,500000.0,0.0,0.0,recommended,270.0,2024-02-24,2024-11-20,,PWD,school,,False
TA08038,Chennai Constituency,Chennai,Meena Verma,Tamil Nadu,750000.0,750000.0,237434.16,stalled,270.0,2023-06-11,2024-03-07,,PWD,drinking water,36.5,False
WE08039,Howrah Constituency,Howrah,Anita Nair,West Bengal,1500000.0,1500000.0,728054.44,completed,545.0,2024-09-07,2026-03-06,2026-05-17,Zilla Parishad,electricity,100.0,False
AN08040,Visakhapatnam Constituency,Visakhapatnam,Vikram Naidu,Andhra Pradesh,2500000.0,2500000.0,2398935.64,stalled,365.0,2023-02-08,2024-02-08,,PWD,school,30.8,False
KE08041,Ernakulam Constituency,Ernakulam,Vikram Patel,Kerala,200000.0,0.0,0.0,recommended,545.0,2024-02-03,2025-08-01,,Rural Dev Dept,sanitation,,False
UT08042,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,1000000.0,1000000.0,336248.73,completed,545.0,2024-07-13,2026-01-09,2026-01-08,PWD,drinking water,100.0,False
KA08043,Belagavi Constituency,Belagavi,Deepa Reddy,Karnataka,500000.0,500000.0,272435.7,ongoing,365.0,2023-11-23,2024-11-22,,Jal Nigam,road,81.9,False
UT08044,Varanasi Constituency,Varanasi,Lakshmi Gowda,Uttar Pradesh,500000.0,500000.0,182552.13,ongoing,90.0,2024-10-09,2025-01-07,,Zilla Parishad,road,60.2,False
AN08045,Krishna Constituency,Krishna,Anita Reddy,Andhra Pradesh,750000.0,750000.0,583645.84,ongoing,545.0,2024-10-22,2026-04-20,,Zilla Parishad,community hall,19.1,False
UT08046,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,750000.0,750000.0,450517.04,ongoing,180.0,2024-09-21,2025-03-20,,Jal Nigam,sanitation,83.8,False
TA08047,Chennai Constituency,Chennai,Meena Verma,Tamil Nadu,750000.0,375000.0,374461.69,stalled,270.0,2024-04-30,2025-01-25,,Jal Nigam,sanitation,34.7,False
UT08048,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,300000.0,300000.0,215577.37,stalled,730.0,2023-01-09,2025-01-08,,Jal Nigam,community hall,23.9,False
WE08049,Howrah Constituency,Howrah,Anita Nair,West Bengal,500000.0,0.0,0.0,recommended,730.0,2024-06-11,2026-06-11,,Jal Nigam,drinking water,,False
TA08050,Coimbatore Constituency,Coimbatore,Kavita Rao,Tamil Nadu,300000.0,150000.0,76423.64,completed,365.0,2023-02-13,2024-02-13,2024-03-16,Rural Dev Dept,irrigation,100.0,False
UT08051,Varanasi Constituency,Varanasi,Lakshmi Gowda,Uttar Pradesh,750000.0,375000.0,156590.39,ongoing,270.0,2023-07-28,2024-04-23,,Zilla Parishad,irrigation,46.8,False
AN08052,Visakhapatnam Constituency,Visakhapatnam,Vikram Naidu,Andhra Pradesh,500000.0,250000.0,141772.9,completed,365.0,2024-01-08,2025-01-07,2025-06-23,PWD,road,100.0,False
UT08053,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,1500000.0,1500000.0,1296535.18,ongoing,180.0,2023-06-12,2023-12-09,,Rural Dev Dept,community hall,75.6,False
WE08054,Howrah Constituency,Howrah,Anita Nair,West Bengal,750000.0,750000.0,233497.34,completed,90.0,2023-11-21,2024-02-19,2024-05-30,Zilla Parishad,community hall,100.0,False
TA08055,Madurai Constituency,Madurai,Sunita Singh,Tamil Nadu,200000.0,100000.0,85964.87,ongoing,730.0,2024-03-09,2026-03-09,,PWD,electricity,86.4,False
TA08056,Chennai Constituency,Chennai,Meena Verma,Tamil Nadu,1000000.0,500000.0,169465.95,completed,545.0,2024-04-11,2025-10-08,2025-11-16,Rural Dev Dept,electricity,100.0,False
PU08057,Ludhiana Constituency,Ludhiana,Meena Rao,Punjab,1000000.0,500000.0,329966.47,completed,365.0,2023-11-27,2024-11-26,2025-05-10,PWD,road,100.0,False
BI08058,Patna Constituency,Patna,Arjun Verma,Bihar,300000.0,150000.0,128620.18,completed,545.0,2023-01-10,2024-07-08,2024-11-06,Rural Dev Dept,drinking water,100.0,False
TA08059,Madurai Constituency,Madurai,Sunita Singh,Tamil Nadu,300000.0,150000.0,127522.38,completed,180.0,2023-08-22,2024-02-18,2024-06-30,Zilla Parishad,community hall,100.0,False
MA08060,Pune Constituency,Pune,Ramesh Patel,Maharashtra,500000.0,0.0,0.0,recommended,270.0,2023-04-26,2024-01-21,,Jal Nigam,community hall,,False
PU08061,Ludhiana Constituency,Ludhiana,Meena Rao,Punjab,750000.0,375000.0,1098060.62,ongoing,730.0,2023-02-18,2025-02-17,,PWD,community hall,57.1,False
TA08062,Chennai Constituency,Chennai,Meena Verma,Tamil Nadu,2000000.0,2000000.0,1329087.93,ongoing,180.0,2024-05-09,2024-11-05,,Jal Nigam,school,15.1,False
UT08063,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,300000.0,0.0,0.0,recommended,90.0,2024-05-27,2024-08-25,,Jal Nigam,irrigation,,False
BI08064,Patna Constituency,Patna,Arjun Verma,Bihar,1000000.0,500000.0,1846193.73,stalled,365.0,2024-02-05,2025-02-04,,PWD,road,29.0,False
PU08065,Ludhiana Constituency,Ludhiana,Meena Rao,Punjab,750000.0,375000.0,236695.5,completed,90.0,2024-03-13,2024-06-11,2024-07-17,Rural Dev Dept,irrigation,100.0,False
OD08066,Cuttack Constituency,Cuttack,Suresh Singh,Odisha,1000000.0,1000000.0,963061.71,ongoing,90.0,2024-03-17,2024-06-15,,Rural Dev Dept,sanitation,78.8,False
TA08067,Madurai Constituency,Madurai,Sunita Singh,Tamil Nadu,2500000.0,2500000.0,2249749.31,stalled,180.0,2023-12-15,2024-06-12,,Zilla Parishad,community hall,16.4,False
OD08068,Cuttack Constituency,Cuttack,Suresh Singh,Odisha,1500000.0,1500000.0,607140.06,sanctioned,270.0,2024-10-24,2025-07-21,,Rural Dev Dept,road,,False
TA08069,Coimbatore Constituency,Coimbatore,Kavita Rao,Tamil Nadu,1000000.0,500000.0,358073.81,stalled,270.0,2024-10-18,2025-07-15,,Rural Dev Dept,community hall,38.8,False
RA08070,Jaipur Constituency,Jaipur,Kavita Verma,Rajasthan,200000.0,0.0,0.0,recommended,730.0,2023-04-24,2025-04-23,,Zilla Parishad,electricity,,False
KA08071,Mysuru Constituency,Mysuru,Meena Iyer,Karnataka,1000000.0,0.0,0.0,recommended,365.0,2024-04-23,2025-04-23,,PWD,community hall,,False
BI08072,Muzaffarpur Constituency,Muzaffarpur,Ramesh Verma,Bihar,1000000.0,1000000.0,937343.94,stalled,730.0,2023-03-04,2025-03-03,,PWD,electricity,37.5,False
UT08073,Varanasi Constituency,Varanasi,Lakshmi Gowda,Uttar Pradesh,500000.0,500000.0,267272.37,ongoing,270.0,2023-05-19,2024-02-13,,PWD,community hall,19.6,False
KA08074,Belagavi Constituency,Belagavi,Deepa Reddy,Karnataka,2500000.0,1250000.0,625494.38,ongoing,365.0,2024-12-01,2025-12-01,,Rural Dev Dept,drinking water,58.3,False
OD08075,Cuttack Constituency,Cuttack,Suresh Singh,Odisha,1500000.0,1500000.0,571052.99,completed,90.0,2023-11-08,2024-02-06,2024-02-28,Rural Dev Dept,sanitation,100.0,False
WE08076,Howrah Constituency,Howrah,Anita Nair,West Bengal,300000.0,300000.0,175843.66,ongoing,365.0,2024-08-12,2025-08-12,,Zilla Parishad,sanitation,75.4,False
KE08077,Kozhikode Constituency,Kozhikode,Sunita Verma,Kerala,500000.0,500000.0,427988.56,ongoing,545.0,2024-02-20,2025-08-18,,PWD,irrigation,77.9,False
KE08078,Kozhikode Constituency,Kozhikode,Sunita Verma,Kerala,200000.0,200000.0,142110.74,completed,270.0,2024-02-20,2024-11-16,2024-11-05,Jal Nigam,irrigation,100.0,False
AN08079,Visakhapatnam Constituency,Visakhapatnam,Vikram Naidu,Andhra Pradesh,1000000.0,1000000.0,591016.76,ongoing,180.0,2024-07-14,2025-01-10,,Rural Dev Dept,school,21.2,False
UT08080,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,200000.0,200000.0,126198.41,stalled,90.0,2023-05-17,2023-08-15,,Zilla Parishad,sanitation,18.7,False
MA08081,Nagpur Constituency,Nagpur,Meena Nair,Maharashtra,1000000.0,1000000.0,986055.92,ongoing,365.0,2023-03-06,2024-03-05,,PWD,school,67.9,False
KE08082,Ernakulam Constituency,Ernakulam,Vikram Patel,Kerala,1500000.0,750000.0,648544.28,ongoing,545.0,2023-08-25,2025-02-20,,Zilla Parishad,school,94.3,False
UT08083,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,200000.0,200000.0,70097.54,stalled,180.0,2024-01-15,2024-07-13,,Rural Dev Dept,community hall,34.1,False
WE08084,Kolkata Constituency,Kolkata,Priya Singh,West Bengal,1000000.0,1000000.0,441340.51,ongoing,270.0,2023-09-07,2024-06-03,,Jal Nigam,community hall,69.8,False
KA08085,Belagavi Constituency,Belagavi,Deepa Reddy,Karnataka,2500000.0,2500000.0,1609064.79,sanctioned,90.0,2023-06-30,2023-09-28,,PWD,sanitation,,False
UT08086,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,1000000.0,1000000.0,372773.11,stalled,180.0,2023-06-04,2023-12-01,,PWD,sanitation,38.6,False
AN08087,Guntur Constituency,Guntur,Priya Reddy,Andhra Pradesh,750000.0,750000.0,357695.68,ongoing,180.0,2024-04-21,2024-10-18,,Zilla Parishad,sanitation,87.5,False
UT08088,Varanasi Constituency,Varanasi,Lakshmi Gowda,Uttar Pradesh,750000.0,750000.0,604688.92,completed,730.0,2023-12-25,2025-12-24,2026-01-08,Rural Dev Dept,irrigation,100.0,False
BI08089,Patna Constituency,Patna,Arjun Verma,Bihar,1000000.0,500000.0,245817.85,completed,365.0,2024-01-09,2025-01-08,2024-12-26,Jal Nigam,road,100.0,False
BI08090,Muzaffarpur Constituency,Muzaffarpur,Ramesh Verma,Bihar,300000.0,150000.0,106280.29,ongoing,545.0,2024-02-21,2025-08-19,,Rural Dev Dept,community hall,56.9,False
RA08091,Jodhpur Constituency,Jodhpur,Kavita Nair,Rajasthan,500000.0,500000.0,227277.46,completed,180.0,2024-08-22,2025-02-18,2025-03-19,Rural Dev Dept,sanitation,100.0,False
UT08092,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,1500000.0,1500000.0,487163.01,sanctioned,180.0,2023-02-16,2023-08-15,,Rural Dev Dept,school,,False
UT08093,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,1500000.0,1500000.0,932195.38,stalled,545.0,2024-08-06,2026-02-02,,PWD,school,14.1,False
RA08094,Jodhpur Constituency,Jodhpur,Kavita Nair,Rajasthan,1000000.0,1000000.0,949884.26,completed,365.0,2024-01-14,2025-01-13,2025-01-04,Jal Nigam,sanitation,100.0,False
BI08095,Patna Constituency,Patna,Arjun Verma,Bihar,200000.0,200000.0,112572.01,ongoing,365.0,2023-07-04,2024-07-03,,Jal Nigam,community hall,78.1,False
WE08096,Howrah Constituency,Howrah,Anita Nair,West Bengal,200000.0,100000.0,33769.72,stalled,180.0,2024-04-07,2024-10-04,,Jal Nigam,school,25.5,False
RA08097,Jodhpur Constituency,Jodhpur,Kavita Nair,Rajasthan,300000.0,300000.0,155423.87,sanctioned,545.0,2024-05-29,2025-11-25,,Zilla Parishad,road,,False
KE08098,Kozhikode Constituency,Kozhikode,Sunita Verma,Kerala,2000000.0,2000000.0,619629.65,ongoing,180.0,2023-12-28,2024-06-25,,Rural Dev Dept,sanitation,19.0,False
MA08099,Nagpur Constituency,Nagpur,Meena Nair,Maharashtra,2000000.0,2000000.0,1893953.96,sanctioned,180.0,2023-10-24,2024-04-21,,Rural Dev Dept,community hall,,False
RA08100,Jodhpur Constituency,Jodhpur,Kavita Nair,Rajasthan,1500000.0,1500000.0,508318.58,sanctioned,180.0,2023-01-08,2023-07-07,,Jal Nigam,road,,False
AN08101,Krishna Constituency,Krishna,Anita Reddy,Andhra Pradesh,500000.0,250000.0,81023.33,stalled,545.0,2024-02-04,2025-08-02,,PWD,sanitation,39.3,False
TA08102,Madurai Constituency,Madurai,Sunita Singh,Tamil Nadu,750000.0,750000.0,690541.24,ongoing,90.0,2023-01-22,2023-04-22,,Jal Nigam,road,65.4,False
MA08103,Nagpur Constituency,Nagpur,Meena Nair,Maharashtra,750000.0,750000.0,231530.38,completed,180.0,2024-08-01,2025-01-28,2025-03-20,Jal Nigam,road,100.0,False
KA08104,Belagavi Constituency,Belagavi,Deepa Reddy,Karnataka,200000.0,200000.0,339154.32,ongoing,270.0,2024-11-16,2025-08-13,,PWD,community hall,40.6,False
KE08105,Kozhikode Constituency,Kozhikode,Sunita Verma,Kerala,500000.0,500000.0,439223.85,ongoing,90.0,2024-04-01,2024-06-30,,PWD,road,84.0,False
AN08106,Visakhapatnam Constituency,Visakhapatnam,Vikram Naidu,Andhra Pradesh,750000.0,375000.0,307468.41,stalled,365.0,2023-03-23,2024-03-22,,Zilla Parishad,electricity,29.8,False
UT08107,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,2500000.0,0.0,0.0,recommended,90.0,2024-10-16,2025-01-14,,Jal Nigam,sanitation,,False
MA08108,Nagpur Constituency,Nagpur,Meena Nair,Maharashtra,2500000.0,2500000.0,807435.04,completed,545.0,2024-08-15,2026-02-11,2026-02-08,Jal Nigam,road,100.0,False
AN08109,Visakhapatnam Constituency,Visakhapatnam,Vikram Naidu,Andhra Pradesh,750000.0,375000.0,175466.92,stalled,270.0,2023-01-28,2023-10-25,,PWD,school,19.7,False
KA08110,Bengaluru Urban Constituency,Bengaluru Urban,Priya Iyer,Karnataka,1500000.0,1500000.0,522345.76,ongoing,730.0,2024-11-09,2026-11-09,,Rural Dev Dept,sanitation,38.4,False
TA08111,Coimbatore Constituency,Coimbatore,Kavita Rao,Tamil Nadu,2500000.0,2500000.0,1704172.42,completed,545.0,2024-11-11,2026-05-10,2026-07-27,PWD,drinking water,100.0,False
MA08112,Nagpur Constituency,Nagpur,Meena Nair,Maharashtra,1500000.0,1500000.0,1197689.41,stalled,180.0,2023-05-17,2023-11-13,,PWD,irrigation,29.7,False
TA08113,Coimbatore Constituency,Coimbatore,Kavita Rao,Tamil Nadu,1500000.0,0.0,0.0,recommended,180.0,2024-04-13,2024-10-10,,PWD,sanitation,,False
AN08114,Guntur Constituency,Guntur,Priya Reddy,Andhra Pradesh,2500000.0,2500000.0,1023191.5,completed,90.0,2024-09-14,2024-12-13,2024-11-23,PWD,school,100.0,False
BI08115,Muzaffarpur Constituency,Muzaffarpur,Ramesh Verma,Bihar,1500000.0,750000.0,2207047.16,sanctioned,180.0,2024-04-15,2024-10-12,,Rural Dev Dept,sanitation,,False
BI08116,Muzaffarpur Constituency,Muzaffarpur,Ramesh Verma,Bihar,300000.0,300000.0,195185.16,ongoing,180.0,2024-03-31,2024-09-27,,Rural Dev Dept,sanitation,45.4,False
MA08117,Nagpur Constituency,Nagpur,Meena Nair,Maharashtra,1500000.0,1500000.0,692158.15,completed,90.0,2024-09-09,2024-12-08,2025-06-25,Jal Nigam,irrigation,100.0,False
TA08118,Madurai Constituency,Madurai,Sunita Singh,Tamil Nadu,750000.0,750000.0,404992.36,stalled,90.0,2024-11-14,2025-02-12,,Rural Dev Dept,drinking water,25.4,False
KA08119,Bengaluru Urban Constituency,Bengaluru Urban,Priya Iyer,Karnataka,750000.0,750000.0,917450.49,ongoing,180.0,2023-10-12,2024-04-09,,Rural Dev Dept,sanitation,70.1,False
UT08120,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,500000.0,500000.0,247155.71,sanctioned,730.0,2023-09-19,2025-09-18,,Rural Dev Dept,drinking water,,False
UT08121,Kanpur Nagar Constituency,Kanpur Nagar,Anita Iyer,Uttar Pradesh,300000.0,300000.0,91137.1,completed,90.0,2024-04-01,2024-06-30,2024-10-12,Jal Nigam,irrigation,100.0,False
RA08122,Jodhpur Constituency,Jodhpur,Kavita Nair,Rajasthan,1000000.0,1000000.0,1594919.28,stalled,180.0,2023-06-26,2023-12-23,,Zilla Parishad,road,33.1,False
AN08123,Guntur Constituency,Guntur,Priya Reddy,Andhra Pradesh,1000000.0,1000000.0,688131.48,stalled,365.0,2023-08-28,2024-08-27,,PWD,road,32.6,False
PU08124,Ludhiana Constituency,Ludhiana,Meena Rao,Punjab,1500000.0,1500000.0,489956.58,stalled,180.0,2023-02-03,2023-08-02,,Rural Dev Dept,irrigation,21.8,False
BI08125,Muzaffarpur Constituency,Muzaffarpur,Ramesh Verma,Bihar,2500000.0,2500000.0,1120032.93,stalled,270.0,2024-01-17,2024-10-13,,Rural Dev Dept,electricity,11.7,False
PU08126,Ludhiana Constituency,Ludhiana,Meena Rao,Punjab,1000000.0,500000.0,269974.05,stalled,270.0,2024-11-23,2025-08-20,,Zilla Parishad,drinking water,11.5,False
AN08127,Visakhapatnam Constituency,Visakhapatnam,Vikram Naidu,Andhra Pradesh,1500000.0,1500000.0,1369793.51,stalled,90.0,2023-09-29,2023-12-28,,Zilla Parishad,community hall,39.2,False
UT08128,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,2500000.0,1250000.0,1172358.36,ongoing,730.0,2023-01-07,2025-01-06,,Zilla Parishad,sanitation,69.6,False
WE08129,Kolkata Constituency,Kolkata,Priya Singh,West Bengal,300000.0,300000.0,476559.84,stalled,545.0,2024-06-06,2025-12-03,,Zilla Parishad,school,9.3,False
KA08130,Mysuru Constituency,Mysuru,Meena Iyer,Karnataka,1500000.0,1500000.0,840652.21,ongoing,270.0,2024-08-05,2025-05-02,,Rural Dev Dept,irrigation,31.1,False
MA08131,Nagpur Constituency,Nagpur,Meena Nair,Maharashtra,2500000.0,2500000.0,1138995.51,ongoing,365.0,2023-07-18,2024-07-17,,Zilla Parishad,electricity,64.6,False
BI08132,Patna Constituency,Patna,Arjun Verma,Bihar,200000.0,200000.0,161609.61,completed,365.0,2023-01-11,2024-01-11,2024-02-29,PWD,sanitation,100.0,False
BI08133,Patna Constituency,Patna,Arjun Verma,Bihar,500000.0,500000.0,336497.45,stalled,365.0,2024-07-30,2025-07-30,,PWD,drinking water,27.8,False
KA08134,Belagavi Constituency,Belagavi,Deepa Reddy,Karnataka,1500000.0,1500000.0,620131.81,completed,270.0,2024-03-16,2024-12-11,2024-12-22,Rural Dev Dept,drinking water,100.0,False
RA08135,Jodhpur Constituency,Jodhpur,Kavita Nair,Rajasthan,1500000.0,750000.0,418402.25,sanctioned,270.0,2024-03-06,2024-12-01,,PWD,sanitation,,False
MA08136,Pune Constituency,Pune,Ramesh Patel,Maharashtra,500000.0,500000.0,402076.74,sanctioned,180.0,2023-08-24,2024-02-20,,Jal Nigam,drinking water,,False
UT08137,Lucknow Constituency,Lucknow,Kavita Iyer,Uttar Pradesh,750000.0,750000.0,227993.28,ongoing,180.0,2023-12-25,2024-06-22,,Zilla Parishad,community hall,86.1,False
AN08138,Guntur Constituency,Guntur,Priya Reddy,Andhra Pradesh,2000000.0,0.0,0.0,recommended,730.0,2024-03-27,2026-03-27,,Jal Nigam,school,,False
WE08139,Howrah Constituency,Howrah,Anita Nair,West Bengal,1500000.0,1500000.0,2709955.84,ongoing,180.0,2024-10-28,2025-04-26,,Zilla Parishad,irrigation,33.3,False
KE08140,Kozhikode Constituency,Kozhikode,Sunita Verma,Kerala,300000.0,300000.0,268483.77,sanctioned,365.0,2024-06-30,2025-06-30,,PWD,community hall,,False
AN08141,Krishna Constituency,Krishna,Anita Reddy,Andhra Pradesh,2500000.0,2500000.0,2286088.99,ongoing,90.0,2024-07-04,2024-10-02,,Rural Dev Dept,sanitation,86.1,False
AN08142,Krishna Constituency,Krishna,Anita Reddy,Andhra Pradesh,1000000.0,500000.0,454592.45,ongoing,270.0,2023-01-31,2023-10-28,,Jal Nigam,school,61.8,False
AN08143,Guntur Constituency,Guntur,Priya Reddy,Andhra Pradesh,750000.0,375000.0,290159.07,ongoing,90.0,2023-01-27,2023-04-27,,PWD,electricity,61.4,False
TA08144,Coimbatore Constituency,Coimbatore,Kavita Rao,Tamil Nadu,2500000.0,2500000.0,919994.63,completed,90.0,2024-07-15,2024-10-13,2025-04-16,PWD,irrigation,100.0,False
